nome,id_dep,partido,uf
Luiza Erundina,74784,psb,SP
Roberto Alves,152610,prb,SP
Lázaro Botelho,141480,pp,TO
Sérgio Brito,73808,psd,BA
Erivelton Santana,99654,psc,BA
Osmar Serraglio,73463,pmdb,PR
Bruno Araújo,141394,psdb,PE
Cacá Leão,93083,pp,BA
Dimas Fabiano,160599,pp,MG
Chico D Angelo,141439,pt,RJ
Hélio Leite,178909,dem,PA
Maria do Rosário,74398,pt,RS
Odorico Monteiro,178868,pt,CE
Carlos Gomes,178962,prb,RS
Wolney Queiroz,74439,pdt,PE
João Rodrigues,160571,psd,SC
Rubens Pereira Júnior,178887,pcdob,MA
Ricardo Tripoli,141472,psdb,SP
Jozi Rocha,178851,ptb,AP
Dr. Jorge Silva,160643,pros,ES
Roney Nemer,178870,pmdb,DF
Dulce Miranda,178994,pmdb,TO
Décio Lima,141413,pt,SC
Adelmo Carneiro Leão,178890,pt,MG
Eduardo Bolsonaro,92346,psc,SP
Luiz Carlos Hauly,73778,psdb,PR
Luiz Couto,74041,pt,PB
Afonso Florence,160508,pt,BA
Hugo Leal,141450,pros,RJ
Arthur Lira,160541,pp,AL
Aelton Freitas,141372,pr,MG
Jarbas Vasconcelos,131943,pmdb,PE
Elcione Barbalho,74075,pmdb,PA
Alan Rick,178836,prb,AC
Odelmo Leão,74752,pp,MG
Marcos Soares,178943,pr,RJ
Alessandro Molon,160511,pt,RJ
Felipe Maia,141429,dem,RN
João Marcelo Souza,112437,pmdb,MA
Vanderlei Macris,141553,psdb,SP
Remídio Monai,178960,pr,RR
Roberto Góes,178995,pdt,AP
Aliel Machado,178927,pcdob,PR
Francisco Chapadinha,178907,psd,PA
Fausto Pinato,66828,prb,SP
Leonardo Picciani,74254,pmdb,RJ
Sérgio Moraes,141542,ptb,RS
Jhonatan de Jesus,160531,prb,RR
Paulo Maluf,132056,pp,SP
Hugo Motta,160674,pmdb,PB
Vicente Candido,160622,pt,SP
Daniel Almeida,74060,pcdob,BA
Esperidião Amin,160649,pp,SC
Cristiane Brasil,93472,ptb,RJ
Enio Verri,132504,pt,PR
Fábio Faria,141428,psd,RN
Delegado Waldir,164359,psdb,GO
Helder Salomão,178873,pt,ES
Antonio Balhmann,74213,pros,CE
Nelson Marquezelli,73553,ptb,SP
José Reinaldo,73714,psb,MA
Valmir Prascidelli,113247,pt,SP
Ricardo Barros,73788,pp,PR
Janete Capiberibe,73926,psb,AP
Miguel Haddad,178984,psdb,SP
Jovair Arantes,73666,ptb,GO
Laercio Oliveira,151208,solidaried,SE
Delegado Edson Moreira,178893,ptn,MG
Adalberto Cavalcanti,178914,ptb,PE
Soraya Santos,178946,pmdb,RJ
Gorete Pereira,129618,pr,CE
Jandira Feghali,74848,pcdob,RJ
Paulo Pereira da Silva,141518,solidaried,SP
Adelson Barreto,178968,ptb,SE
Alexandre Baldy,178875,psdb,GO
Pauderney Avelino,74095,dem,AM
Paulão,171617,pt,AL
Raquel Muniz,178998,psc,MG
Jose Stédile,160607,psb,RS
Tiririca,160976,pr,SP
Pr. Marco Feliciano,160601,psc,SP
Weliton Prado,160518,pt,MG
Alexandre Leite,160545,dem,SP
Goulart,178980,psd,SP
Fernando Francischini,160646,solidaried,PR
Genecias Noronha,160669,solidaried,CE
Darcísio Perondi,73891,pmdb,RS
Caetano,178853,pt,BA
Arnaldo Faria de Sá,73434,ptb,SP
Ronaldo Fonseca,160637,pros,DF
Shéridan,178961,psdb,RR
Washington Reis,160620,pmdb,RJ
Cesar Souza,73720,psd,SC
Flavinho,178978,psb,SP
Reginaldo Lopes,74161,pt,MG
Vicentinho,74283,pt,SP
Aníbal Gomes,74212,pmdb,CE
Delegado Éder Mauro,178908,psd,PA
Leopoldo Meyer,160663,psb,PR
Jorge Boeira,74388,pp,SC
José Airton Cirilo,141464,pt,CE
Joaquim Passarinho,178910,psd,PA
Professora Marcivania,160641,pt,AP
Zé Silva,160632,solidaried,MG
Leo de Brito,178825,pt,AC
Edmar Arruda,160578,psc,PR
Manoel Junior,141490,pmdb,PB
Sarney Filho,74210,pv,MA
Geraldo Resende,74374,pmdb,MS
Herculano Passos,178981,psd,SP
Gilberto Nascimento,74270,psc,SP
Evandro Roman,178930,psd,PR
Eduardo da Fonte,141421,pp,PE
Zé Geraldo,73931,pt,PA
Efraim Filho,141422,dem,PB
Milton Monti,74787,pr,SP
Luiz Sérgio,74688,pt,RJ
Luiz Carlos Ramos,178802,psdc,RJ
Covatti Filho,178963,pp,RS
Marcos Reategui,178852,psc,AP
César Halum,160576,prb,TO
Izalci,4931,psdb,DF
Henrique Fontana,73482,pt,RS
Josi Nunes,114941,pmdb,TO
Eduardo Cury,178977,psdb,SP
Átila Lira,74459,psb,PI
Christiane de Souza Yared,178928,ptn,PR
Luciana Santos,160628,pcdob,PE
Eduardo Cunha,74173,pmdb,RJ
Vander Loubet,74376,pt,MS
Evair de Melo,178871,pv,ES
Bacelar,69871,ptn,BA
Marcos Montes,141500,psd,MG
Pedro Cunha Lima,178912,psdb,PB
Geovania de Sá,178966,psdb,SC
Roberto Sales,178944,prb,RJ
Angelim,178837,pt,AC
Mauro Mariani,141507,pmdb,SC
Caio Narcio,178891,psdb,MG
Nelson Meurer,73781,pp,PR
Betinho Gomes,178915,psdb,PE
Rossoni,178935,psdb,PR
Diego Andrade,160588,psd,MG
