id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
73579,Alberto Fraga,dem,DF,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
160545,Alexandre Leite,dem,SP,1,-2,1,1,1,1,1,0,1,0,1,1,1,1,1
74651,Carlos Melles,dem,MG,0,1,1,1,1,1,1,-1,0,1,0,1,1,1,1
74537,Claudio Cajado,dem,BA,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1
141422,Efraim Filho,dem,PB,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
160532,Eli Corrêa Filho,dem,SP,-1,1,-1,1,-1,1,1,0,1,0,0,1,1,1,1
178854,Elmar Nascimento,dem,BA,1,0,1,1,1,1,1,-1,1,1,0,1,1,1,1
141429,Felipe Maia,dem,RN,1,-2,1,1,1,1,1,0,1,0,0,1,1,1,1
178909,Hélio Leite,dem,PA,0,0,0,1,1,1,1,0,0,0,0,1,1,1,-1
73535,Jorge Tadeu Mudalen,dem,SP,0,-2,1,1,0,1,1,0,1,0,0,1,1,1,1
74553,José Carlos Aleluia,dem,BA,0,-1,0,1,1,1,1,1,0,1,0,1,1,1,1
160633,Mandetta,dem,MS,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1
160660,Marcelo Aguiar,dem,SP,0,-2,1,1,1,1,1,1,1,1,1,-1,1,1,1
74428,Mendonça Filho,dem,PE,0,-1,1,1,1,1,1,0,0,0,0,-1,1,1,1
178895,Misael Varella,dem,MG,1,0,1,1,0,1,1,-1,1,1,1,1,1,1,1
74457,Moroni Torgan,dem,CE,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1
74399,Onyx Lorenzoni,dem,RS,0,0,-1,-1,-1,1,1,-1,-1,0,0,1,1,1,1
180545,Osmar Bertoldi,dem,PR,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,1,-1,-1
74095,Pauderney Avelino,dem,AM,0,-2,1,1,1,1,1,0,1,0,0,1,1,1,1
178860,Paulo Azi,dem,BA,0,-2,1,1,1,1,1,-1,1,1,1,1,1,1,1
160639,Professora Dorinha Seabra Rezende,dem,TO,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1
74693,Rodrigo Maia,dem,RJ,0,-2,1,1,1,1,1,1,1,1,0,1,1,1,1
74057,Alice Portugal,pcdob,BA,0,1,1,0,0,0,-1,-1,1,1,0,0,0,0,1
178927,Aliel Machado,pcdob,PR,0,1,1,0,0,0,0,1,1,0,0,0,0,-1,1
74474,Carlos Eduardo Cadoca,pcdob,PE,0,1,1,0,0,0,0,1,1,1,0,1,0,1,-1
141440,Chico Lopes,pcdob,CE,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
74060,Daniel Almeida,pcdob,BA,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
101309,Davidson Magalhães,pcdob,BA,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
74848,Jandira Feghali,pcdob,RJ,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
178965,João Derly,pcdob,RS,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
141503,Jô Moraes,pcdob,MG,0,-1,1,0,0,0,0,1,1,1,0,0,0,0,-1
160628,Luciana Santos,pcdob,PE,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
178987,Orlando Silva,pcdob,SP,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
