nome,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
dem,-1,-1,1,1,1,1,1,0,1,0,0,1,1,1,1
pcdob,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1
pdt,-1,1,0,0,0,0,0,0,1,0,1,1,-1,0,1
pen,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
phs,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
pmdb,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
pmn,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
pp,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
pps,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1
pr,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
prb,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
pros,1,-1,-1,1,-1,0,0,1,1,1,1,-1,1,0,1
prp,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
prtb,0,-1,0,1,0,1,1,1,1,1,0,-10,1,0,1
psb,1,-1,0,-1,-1,0,0,0,1,0,1,1,0,0,1
psc,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
psd,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,1
psdb,0,-1,-1,1,1,1,1,0,1,0,1,1,1,0,1
psdc,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
psl,0,-1,0,1,0,-10,-10,1,1,1,0,-1,1,0,1
psol,0,1,0,-3,0,0,-3,0,1,0,1,0,0,0,1
pt,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
ptb,-1,-1,1,1,1,1,1,1,1,1,-1,1,1,-1,1
ptc,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
ptdob,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
ptn,0,-1,0,1,0,1,1,1,1,1,0,-1,1,0,1
pv,-1,1,0,1,0,0,0,-1,1,-1,-1,1,0,1,1
s.part.,-5,-10,-10,-5,-10,-5,-5,-10,-5,-10,-5,-10,-10,-5,-10
solidaried,1,-1,1,1,1,1,1,0,1,0,1,1,1,0,1
