ideCadastro,comissão,idParlamentar,nomeParlamentar,partido
74848,governista,5830367,JANDIRA FEGHALI,PCdoB
178835,governista,5830619,AFONSO MOTTA,PDT
141411,governista,5830399,DAGOBERTO,PDT
178885,governista,5830432,JUNIOR MARRECA,PEN
141552,governista,5830648,VALTENIR PEREIRA,PMB
141405,governista,5830413,CELSO MALDANER,PMDB
144523,governista,5830692,DANIEL VILELA,PMDB
178884,governista,5830656,HILDO ROCHA,PMDB
160573,governista,5830612,JOÃO ARRUDA,PMDB
74079,governista,5830495,JOSÉ PRIANTE,PMDB
74254,governista,5830339,LEONARDO PICCIANI,PMDB
178897,governista,5830584,RODRIGO PACHECO,PMDB
160620,governista,5830491,WASHINGTON REIS,PMDB
178950,governista,5830587,ANTÔNIO JÁCOME,PMN
141421,governista,5830517,EDUARDO DA FONTE,PP
92699,governista,5830812,FERNANDO MONTEIRO,PP
67138,governista,5830389,IRACEMA PORTELLA,PP
141529,governista,5830608,ROBERTO BRITTO,PP
141372,governista,5830322,AELTON FREITAS,PR
141484,governista,5830567,LÚCIO VALE,PR
178983,governista,5830720,MARCIO ALVINO,PR
74050,governista,5830618,MAURÍCIO QUINTELLA LESSA,PR
160531,governista,5830341,JHONATAN DE JESUS,PRB
141555,governista,5830631,VINICIUS CARVALHO,PRB
74558,governista,5830400,GIVALDO CARIMBÃO,PROS
141450,governista,5830320,HUGO LEAL,PROS
4930,governista,5830641,SILVIO COSTA,PSC
160588,governista,5830547,DIEGO ANDRADE,PSD
81232,governista,5830444,IRAJÁ ABREU,PSD
74317,governista,5830694,JÚLIO CESAR,PSD
74574,governista,5830592,PAULO MAGALHÃES,PSD
73531,governista,5830668,IVAN VALENTE,PSOL
73433,governista,5830761,ARLINDO CHINAGLIA,PT
73482,governista,5830527,HENRIQUE FONTANA,PT
141470,governista,5830597,JOSÉ GUIMARÃES,PT
74275,governista,5830475,JOSÉ MENTOR,PT
141488,governista,5830635,PAULO TEIXEIRA,PT
160613,governista,5830795,SIBÁ MACHADO,PT
160622,governista,5830344,VICENTE CANDIDO,PT
189593,governista,5830842,WADIH DAMOUS,PT
93472,governista,5830347,CRISTIANE BRASIL,PTB
