"id_dep","nome","uf","partido","clust"
178957,"Abel Mesquita Jr.","RR","pdt","1"
178864,"Adail Carneiro","CE","phs","1"
178914,"Adalberto Cavalcanti","PE","ptb","1"
178890,"Adelmo Carneiro Leão","MG","pt","1"
141372,"Aelton Freitas","MG","pr","1"
160508,"Afonso Florence","BA","pt","1"
178835,"Afonso Motta","RS","pdt","1"
160527,"Aguinaldo Ribeiro","PB","pp","1"
178836,"Alan Rick","AC","prb","1"
160582,"Alberto Filho","MA","pmdb","1"
160511,"Alessandro Molon","RJ","rede","1"
178936,"Alexandre Valle","RJ","prp","1"
73458,"Alex Canziani","PR","ptb","1"
178846,"Alfredo Nascimento","AM","pr","1"
74057,"Alice Portugal","BA","pcdob","1"
178927,"Aliel Machado","PR","rede","1"
178937,"Altineu Côrtes","RJ","pr","1"
178881,"Aluisio Mendes","MA","pmb","1"
178973,"Ana Perugini","SP","pt","1"
160551,"Anderson Ferreira","PE","pr","1"
178831,"André Abdon","AP","prb","1"
133439,"André Figueiredo","CE","pdt","1"
178882,"André Fufuca","MA","pen","1"
160543,"Andre Moura","SE","psc","1"
178974,"Andres Sanchez","SP","pt","1"
178837,"Angelim","AC","pt","1"
74212,"Aníbal Gomes","CE","pmdb","1"
74213,"Antonio Balhmann","CE","pros","1"
160553,"Antonio Brito","BA","ptb","1"
141383,"Antonio Bulhões","SP","prb","1"
73433,"Arlindo Chinaglia","SP","pt","1"
74291,"Arnon Bezerra","CE","ptb","1"
160541,"Arthur Lira","AL","pp","1"
159237,"Assis Carvalho","PI","pt","1"
74378,"Assis do Couto","PR","pt","1"
74090,"Átila Lins","AM","psd","1"
74459,"Átila Lira","PI","psb","1"
69871,"Bacelar","BA","ptn","1"
178975,"Baleia Rossi","SP","pmdb","1"
73701,"Benedita da Silva","RJ","pt","1"
141335,"Beto Faro","PA","pt","1"
73437,"Beto Mansur","SP","prb","1"
178948,"Beto Rosado","RN","pp","1"
178906,"Beto Salame","PA","pros","1"
141513,"Bilac Pinto","MG","pr","1"
160538,"Bohn Gass","RS","pt","1"
178999,"Brunny","MG","pmb","1"
178865,"Cabo Sabino","CE","pr","1"
105112,"Cabuçu Borges","AP","pmdb","1"
93083,"Cacá Leão","BA","pp","1"
178853,"Caetano","BA","pt","1"
178829,"Capitão Augusto","SP","pr","1"
178958,"Carlos Andrade","RR","phs","1"
141401,"Carlos Bezerra","MT","pmdb","1"
74474,"Carlos Eduardo Cadoca","PE","pcdob","1"
178962,"Carlos Gomes","RS","prb","1"
178993,"Carlos Henrique Gaguim","TO","pmb","1"
178900,"Carlos Marun","MS","pmdb","1"
141398,"Carlos Zarattini","SP","pt","1"
73568,"Celso Jacob","RJ","pmdb","1"
141405,"Celso Maldaner","SC","pmdb","1"
72912,"Celso Pansera","RJ","pmdb","1"
73441,"Celso Russomanno","SP","prb","1"
160576,"César Halum","TO","prb","1"
73720,"Cesar Souza","SC","psd","1"
141439,"Chico D Angelo","RJ","pt","1"
141440,"Chico Lopes","CE","pcdob","1"
178928,"Christiane de Souza Yared","PR","ptn","1"
178841,"Cícero Almeida","AL","psd","1"
141408,"Cleber Verde","MA","prb","1"
178848,"Conceição Sampaio","AM","pp","1"
141411,"Dagoberto","MS","pdt","1"
74467,"Damião Feliciano","PB","pdt","1"
178892,"Dâmina Pereira","MG","pmn","1"
74060,"Daniel Almeida","BA","pcdob","1"
144523,"Daniel Vilela","GO","pmdb","1"
62881,"Danilo Forte","CE","psb","1"
160552,"Danrlei de Deus Hinterholz","RS","psd","1"
73891,"Darcísio Perondi","RS","pmdb","1"
101309,"Davidson Magalhães","BA","pcdob","1"
141413,"Décio Lima","SC","pt","1"
178908,"Delegado Éder Mauro","PA","psd","1"
178893,"Delegado Edson Moreira","MG","ptn","1"
160588,"Diego Andrade","MG","psd","1"
178929,"Diego Garcia","PR","phs","1"
73768,"Dilceu Sperafico","PR","pp","1"
143632,"Domingos Neto","CE","pmb","1"
178940,"Dr. João","RJ","pr","1"
160643,"Dr. Jorge Silva","ES","pros","1"
178994,"Dulce Miranda","TO","pmdb","1"
73447,"Edinho Araújo","SP","pmdb","1"
73793,"Edinho Bez","SC","pmdb","1"
141417,"Edio Lopes","RR","pmdb","1"
160578,"Edmar Arruda","PR","psc","1"
141421,"Eduardo da Fonte","PE","pp","1"
74075,"Elcione Barbalho","PA","pmdb","1"
132504,"Enio Verri","PR","pt","1"
160575,"Erika Kokay","DF","pt","1"
160640,"Eros Biondini","MG","ptb","1"
178930,"Evandro Roman","PR","psd","1"
178904,"Ezequiel Fonseca","MT","pp","1"
146829,"Fabiano Horta","RJ","pt","1"
141428,"Fábio Faria","RN","psd","1"
178969,"Fábio Mitidieri","SE","psd","1"
141427,"Fábio Ramalho","MG","pv","1"
171623,"Fabio Reis","SE","pmdb","1"
190149,"Fabricio Oliveira","SC","psb","1"
66828,"Fausto Pinato","SP","prb","1"
141430,"Felipe Bornier","RJ","psd","1"
160666,"Félix Mendonça Júnior","BA","pdt","1"
163831,"Fernando Jordão","RJ","pmdb","1"
73481,"Fernando Marroni","RS","pt","1"
92699,"Fernando Monteiro","PE","pp","1"
160676,"Fernando Torres","BA","psd","1"
160598,"Flávia Morais","GO","pdt","1"
141434,"Flaviano Melo","AC","pmdb","1"
178907,"Francisco Chapadinha","PA","psd","1"
160677,"Francisco Floriano","RJ","pr","1"
129037,"Gabriel Guimarães","MG","pt","1"
74374,"Geraldo Resende","MS","pmdb","1"
74383,"Giacobo","PR","pr","1"
160673,"Giovani Cherini","RS","pdt","1"
74558,"Givaldo Carimbão","AL","pros","1"
178872,"Givaldo Vieira","ES","pt","1"
129618,"Gorete Pereira","CE","pr","1"
178980,"Goulart","SP","psd","1"
160667,"Guilherme Mussi","SP","pp","1"
178873,"Helder Salomão","ES","pt","1"
73482,"Henrique Fontana","RS","pt","1"
178981,"Herculano Passos","SP","psd","1"
160596,"Heuler Cruvinel","GO","psd","1"
178884,"Hildo Rocha","MA","pmdb","1"
178959,"Hiran Gonçalves","RR","pmn","1"
141450,"Hugo Leal","RJ","pros","1"
160674,"Hugo Motta","PB","pmdb","1"
141389,"Indio da Costa","RJ","psd","1"
67138,"Iracema Portella","PI","pp","1"
81232,"Irajá Abreu","TO","psd","1"
74665,"Jaime Martins","MG","psd","1"
74848,"Jandira Feghali","RJ","pcdob","1"
73926,"Janete Capiberibe","AP","psb","1"
178839,"Jéssica Sales","AC","pmdb","1"
160531,"Jhonatan de Jesus","RR","prb","1"
160573,"João Arruda","PR","pmdb","1"
141458,"João Carlos Bacelar","BA","pr","1"
178970,"João Daniel","SE","pt","1"
178965,"João Derly","RS","rede","1"
112437,"João Marcelo Souza","MA","pmdb","1"
178910,"Joaquim Passarinho","PA","psd","1"
141503,"Jô Moraes","MG","pcdob","1"
178971,"Jony Marcos","SE","prb","1"
160572,"Jorge Côrte Real","PE","ptb","1"
178857,"Jorge Solla","BA","pt","1"
160509,"Jorginho Mello","SC","pr","1"
141464,"José Airton Cirilo","CE","pt","1"
74140,"José Carlos Araújo","BA","psd","1"
131966,"José Fogaça","RS","pmdb","1"
141470,"José Guimarães","CE","pt","1"
74275,"José Mentor","SP","pt","1"
160619,"José Nunes","BA","psd","1"
74079,"José Priante","PA","pmdb","1"
74554,"José Rocha","BA","pr","1"
114941,"Josi Nunes","TO","pmdb","1"
74351,"Josué Bengtson","PA","ptb","1"
73666,"Jovair Arantes","GO","ptb","1"
178851,"Jozi  Araújo","AP","ptb","1"
74317,"Júlio Cesar","PI","psd","1"
74253,"Julio Lopes","RJ","pp","1"
178885,"Junior Marreca","MA","pen","1"
178886,"Juscelino Filho","MA","pmb","1"
178918,"Kaio Maniçoba","PE","phs","1"
141478,"Laerte Bessa","DF","pr","1"
178894,"Laudivio Carvalho","MG","pmdb","1"
141480,"Lázaro Botelho","TO","pp","1"
141562,"Lelo Coimbra","ES","pmdb","1"
178825,"Leo de Brito","AC","pt","1"
74156,"Leonardo Monteiro","MG","pt","1"
74254,"Leonardo Picciani","RJ","pmdb","1"
141482,"Leonardo Quintão","MG","pmdb","1"
74299,"Leônidas Cristino","CE","pros","1"
74585,"Lincoln Portela","MG","pr","1"
141483,"Lindomar Garçon","RO","pmdb","1"
160628,"Luciana Santos","PE","pcdob","1"
178954,"Lucio Mosquini","RO","pmdb","1"
141484,"Lúcio Vale","PA","pr","1"
94931,"Lucio Vieira Lima","BA","pmdb","1"
160510,"Luis Tibé","MG","ptdob","1"
74784,"Luiza Erundina","SP","psb","1"
141485,"Luiz Carlos Busato","RS","ptb","1"
178802,"Luiz Carlos Ramos","RJ","pmb","1"
178955,"Luiz Cláudio","RO","pr","1"
74041,"Luiz Couto","PB","pt","1"
141487,"Luiz Fernando Faria","MG","pp","1"
178866,"Luizianne Lins","CE","pt","1"
162332,"Luiz Nishimori","PR","pr","1"
74688,"Luiz Sérgio","RJ","pt","1"
178867,"Macedo","CE","pmb","1"
166402,"Magda Mofatto","GO","pr","1"
151965,"Mainha","PI","solidaried","1"
178826,"Major Olimpio","SP","pdt","1"
141490,"Manoel Junior","PB","pmdb","1"
179000,"Marcelo Álvaro Antônio","MG","prp","1"
146788,"Marcelo Aro","MG","phs","1"
74460,"Marcelo Castro","PI","pmdb","1"
76287,"Marcelo Matos","RJ","pdt","1"
118594,"Marcelo Squassoni","SP","prb","1"
178983,"Marcio Alvino","SP","pr","1"
150418,"Márcio Marinho","BA","prb","1"
133373,"Marco Maia","RS","pt","1"
160535,"Marcon","RS","pt","1"
141500,"Marcos Montes","MG","psd","1"
178852,"Marcos Reategui","AP","psc","1"
167722,"Marcos Rogério","RO","pdt","1"
178850,"Marcos Rotta","AM","pmdb","1"
178943,"Marcos Soares","RJ","pr","1"
74235,"Marcus Vicente","ES","pp","1"
171619,"Margarida Salomão","MG","pt","1"
74398,"Maria do Rosário","RS","pt","1"
74177,"Marinha Raupp","RO","pmdb","1"
74158,"Mário Heringer","MG","pdt","1"
178858,"Mário Negromonte Jr.","BA","pp","1"
181315,"Marquinho Mendes","RJ","pmdb","1"
178843,"Marx Beltrão","AL","pmdb","1"
74050,"Maurício Quintella Lessa","AL","pr","1"
74749,"Mauro Lopes","MG","pmdb","1"
141507,"Mauro Mariani","SC","pmdb","1"
124411,"Mauro Pereira","RS","pmdb","1"
178985,"Miguel Lombardi","SP","pr","1"
74787,"Milton Monti","SP","pr","1"
178859,"Moema Gramacho","BA","pt","1"
73553,"Nelson Marquezelli","SP","ptb","1"
73781,"Nelson Meurer","PR","pp","1"
178896,"Newton Cardoso Jr","MG","pmdb","1"
74359,"Nilton Capixaba","RO","ptb","1"
178986,"Nilto Tatto","SP","pt","1"
178868,"Odorico Monteiro","CE","pt","1"
178987,"Orlando Silva","SP","pcdob","1"
73463,"Osmar Serraglio","PR","pmdb","1"
73692,"Osmar Terra","RS","pmdb","1"
160556,"Padre João","MG","pt","1"
74319,"Paes Landim","PI","ptb","1"
186775,"Pastor Franklin","MG","pmb","1"
171617,"Paulão","AL","pt","1"
74017,"Paulo Feijó","RJ","pr","1"
160558,"Paulo Freire","SP","pr","1"
74574,"Paulo Magalhães","BA","psd","1"
132056,"Paulo Maluf","SP","pp","1"
74400,"Paulo Pimenta","RS","pt","1"
141488,"Paulo Teixeira","SP","pt","1"
74812,"Pedro Chaves","GO","pmdb","1"
74449,"Pedro Fernandes","MA","ptb","1"
160604,"Pedro Uczai","SC","pt","1"
80920,"Penna","SP","pv","1"
73486,"Pompeo de Mattos","RS","pdt","1"
160641,"Professora Marcivania","AP","pt","1"
178951,"Rafael Motta","RN","pros","1"
74161,"Reginaldo Lopes","MG","pt","1"
178960,"Remídio Monai","RR","pr","1"
178989,"Renata Abreu","SP","ptn","1"
141527,"Renato Molling","RS","pp","1"
73788,"Ricardo Barros","PR","pp","1"
160655,"Ricardo Izar","SP","psd","1"
