id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178864;AdailCarneiro;Adail Carneiro;phs;CE;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;não;sim;não;SIM
178914;AdalbertoCavalcanti;Adalberto Cavalcanti;ptb;PE;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;não votou;não votou;sim;sim;sim;sim;NAO
178890;AdelmoCarneiroLeao;Adelmo Carneiro Leão;pt;MG;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;não votou;não votou;NAO
178968;AdelsonBarreto;Adelson Barreto;ptb;SE;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não;sim;sim;sim;sim;SIM
178903;AdiltonSachetti;Adilton Sachetti;psb;MT;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;não;sim;sim;sim;sim;SIM
141372;AeltonFreitas;Aelton Freitas;pr;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;NAO
160508;AfonsoFlorence;Afonso Florence;pt;BA;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
136811;AfonsoHamm;Afonso Hamm;pp;RS;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;não;não;não;sim;não;sim;sim;SIM
178835;AfonsoMotta;Afonso Motta;pdt;RS;sim;não;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;NAO
160527;AguinaldoRibeiro;Aguinaldo Ribeiro;pp;PB;sim;sim;sim;não;não votou;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;SIM
178836;AlanRick;Alan Rick;prb;AC;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
160582;AlbertoFilho;Alberto Filho;pmdb;MA;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
73579;AlbertoFraga;Alberto Fraga;dem;DF;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;não;sim;sim;SIM
160559;AlceuMoreira;Alceu Moreira;pmdb;RS;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
160511;AlessandroMolon;Alessandro Molon;pt;RJ;não votou;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
160511;AlessandroMolon;Alessandro Molon;rede;RJ;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO
178875;AlexandreBaldy;Alexandre Baldy;psdb;GO;sim;não votou;sim;não votou;sim;sim;não votou;não votou;sim;não votou;sim;não votou;abstenção;não;não;sim;sim;sim;não;SIM
160545;AlexandreLeite;Alexandre Leite;dem;SP;sim;não votou;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;abstenção;não;não;sim;sim;sim;sim;SIM
178833;AlexandreSerfiotis;Alexandre Serfiotis;psd;RJ;não;sim;não;sim;sim;sim;sim;sim;sim;não;não;sim;não votou;sim;não;não;não;sim;não;SIM
178936;AlexandreValle;Alexandre Valle;prp;RJ;sim;sim;sim;sim;não votou;não votou;sim;sim;sim;não;sim;sim;sim;sim;não;sim;sim;sim;não;SIM
73458;AlexCanziani;Alex Canziani;ptb;PR;sim;não votou;sim;não votou;não;não;sim;sim;sim;não;sim;não;sim;sim;sim;não;não votou;sim;não;SIM
178972;AlexManente;Alex Manente;pps;SP;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;sim;sim;não;não;não;sim;sim;não;SIM
141454;AlfredoKaefer;Alfredo Kaefer;psdb;PR;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não;não;sim;não;sim;não;SIM
178846;AlfredoNascimento;Alfredo Nascimento;pr;AM;sim;sim;sim;sim;não votou;não votou;sim;sim;sim;não;sim;sim;não votou;sim;sim;não votou;não votou;não votou;não votou;SIM
74057;AlicePortugal;Alice Portugal;pcdob;BA;não;não;sim;não votou;não;não votou;não;não;não;sim;não;sim;sim;não votou;sim;não;não;sim;não;NAO
178927;AlielMachado;Aliel Machado;rede;PR;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO
178927;AlielMachado;Aliel Machado;pcdob;PR;não votou;sim;sim;não;não;não;não;não;não;sim;não;sim;sim;sim;não;não;não votou;sim;não;NAO
178937;AltineuCortes;Altineu Côrtes;pr;RJ;sim;sim;não votou;sim;sim;sim;não votou;sim;sim;não;sim;sim;não votou;sim;não votou;sim;não;sim;sim;SIM
178881;AluisioMendes;Aluisio Mendes;psdc;MA;sim;sim;sim;não;sim;sim;sim;não;sim;não;sim;sim;não;sim;sim;não;não;não;sim;NAO
178973;AnaPerugini;Ana Perugini;pt;SP;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
160551;AndersonFerreira;Anderson Ferreira;pr;PE;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não votou;sim;não;SIM
178831;AndreAbdon;André Abdon;prb;AP;sim;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;não;sim;sim;não;não;sim;não;SIM
178882;AndreFufuca;André Fufuca;pen;MA;sim;não;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
160543;AndreMoura;Andre Moura;psc;SE;não votou;não votou;não;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;não votou;não;sim;não votou;sim;sim;SIM
178974;AndresSanchez;Andres Sanchez;pt;SP;não;sim;sim;sim;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
178837;Angelim;Angelim;pt;AC;não;abstção;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
74212;AnibalGomes;Aníbal Gomes;pmdb;CE;sim;não votou;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;não;sim;sim;não votou;não votou;sim;não votou;AUSEN
160553;AntonioBrito;Antonio Brito;ptb;BA;abstenção;não votou;sim;sim;não;não;sim;sim;sim;sim;sim;sim;abstenção;não;abstenção;não;não;sim;sim;NAO
141383;AntonioBulhoes;Antonio Bulhões;prb;SP;sim;sim;sim;sim;sim;sim;sim;não;não;não;sim;sim;não;sim;sim;não;não;sim;não;SIM
160530;AntonioImbassahy;Antonio Imbassahy;psdb;BA;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não;não;não;sim;sim;não;SIM
178950;AntonioJacome;Antônio Jácome;pmn;RN;não;sim;sim;sim;sim;sim;sim;não;não votou;não;sim;sim;não votou;não;não;não;sim;sim;sim;SIM
74103;AriostoHolanda;Ariosto Holanda;pros;CE;;;;;;;;;;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO
73433;ArlindoChinaglia;Arlindo Chinaglia;pt;SP;não;não votou;sim;não votou;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
73434;ArnaldoFariadeSa;Arnaldo Faria de Sá;ptb;SP;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não;não;não;sim;sim;não;SIM
160602;ArnaldoJordy;Arnaldo Jordy;pps;PA;sim;não votou;não votou;sim;não;não;não;não;não;não;não;sim;sim;não;não;não;sim;sim;não;SIM
74291;ArnonBezerra;Arnon Bezerra;ptb;CE;sim;não votou;não votou;sim;sim;não;sim;sim;sim;sim;sim;não;não votou;sim;sim;não votou;não votou;sim;não votou;NAO
160541;ArthurLira;Arthur Lira;pp;AL;sim;não;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não votou;não votou;não votou;SIM
160600;ArthurOliveiraMaia;Arthur Oliveira Maia;solidaried;BA;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;abstenção;não;não;não votou;não votou;sim;não votou;SIM
178847;ArthurVirgilioBisneto;Arthur Virgílio Bisneto;psdb;AM;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;sim;não;sim;não;SIM
159237;AssisCarvalho;Assis Carvalho;pt;PI;sim;sim;sim;não;não votou;não votou;não;não;não;não;não;sim;não votou;sim;sim;sim;não;não votou;não;NAO
74378;AssisdoCouto;Assis do Couto;pt;PR;sim;não;sim;abstção;não;não;não;não;não;não;não;sim;sim;sim;não votou;sim;não;sim;sim;NAO
74090;AtilaLins;Átila Lins;psd;AM;não votou;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;não;sim;sim;não votou;não votou;sim;sim;SIM
