"Palavra";"frequency.sim";"top";"frequency.nao";"top_nao";"destaque_top";"diff";"destaque";"top_sim";"top_nao1";"TopSim";"TopNao"
"que";528;1;262;2;TRUE;1;FALSE;-0,0601028086487084;-0,105737865344468;-0,0601028086487084;-0,105737865344468
"sim";392;2;8;120;TRUE;118;TRUE;-0,0597033727750654;0,0193599947807933;-0,0597033727750654;0,0193599947807933
"voto";384;3;152;3;TRUE;0;FALSE;-0,0593039369014223;-0,104677713987474;-0,0593039369014223;-0,104677713987474
"presidente";370;4;119;4;TRUE;0;FALSE;-0,0589045010277792;-0,10361756263048;-0,0589045010277792;-0,10361756263048
"meu";360;5;69;10;TRUE;5;FALSE;-0,0585050651541362;-0,0972566544885177;-0,0585050651541362;-0,0972566544885177
"pelo";335;6;57;13;TRUE;7;FALSE;-0,0581056292804931;-0,0940762004175365;-0,0581056292804931;-0,0940762004175365
"brasil";271;7;47;17;TRUE;10;FALSE;-0,05770619340685;-0,0898355949895616;-0,05770619340685;-0,0898355949895616
"minha";261;8;44;20;TRUE;12;FALSE;-0,0573067575332069;-0,0866551409185804;-0,0573067575332069;-0,0866551409185804
"pela";253;9;72;9;TRUE;0;FALSE;-0,0569073216595639;-0,0983168058455115;-0,0569073216595639;-0,0983168058455115
"por";241;10;87;6;TRUE;-4;FALSE;-0,0565078857859208;-0,101497259916493;-0,0565078857859208;-0,101497259916493
"povo";192;11;54;14;TRUE;3;FALSE;-0,0561084499122777;-0,0930160490605428;-0,0561084499122777;-0,0930160490605428
"para";189;12;58;11;TRUE;-1;FALSE;-0,0557090140386347;-0,096196503131524;-0,0557090140386347;-0,096196503131524
"estado";136;13;22;42;TRUE;29;FALSE;-0,0553095781649916;-0,0633318110647181;-0,0553095781649916;-0,0633318110647181
"com";129;14;57;12;TRUE;-2;FALSE;-0,0549101422913485;-0,0951363517745303;-0,0549101422913485;-0,0951363517745303
"não";126;15;275;1;TRUE;-14;FALSE;-0,0545107064177055;-0,106798016701461;-0,0545107064177055;-0,106798016701461
"país";114;16;35;25;TRUE;9;FALSE;-0,0541112705440624;-0,0813543841336117;-0,0541112705440624;-0,0813543841336117
"pelos";108;17;19;52;TRUE;35;FALSE;-0,0537118346704193;-0,0527302974947808;-0,0537118346704193;-0,0527302974947808
"família";105;18;8;110;TRUE;92;FALSE;-0,0533123987967762;0,00875848121085595;-0,0533123987967762;0,00875848121085595
"nome";105;19;30;29;TRUE;10;FALSE;-0,0529129629231332;-0,0771137787056367;-0,0529129629231332;-0,0771137787056367
"meus";99;20;5;192;TRUE;172;TRUE;-0,0525135270494901;0,0956908924843424;-0,0525135270494901;0,0956908924843424
"impeachment";92;21;36;24;TRUE;3;FALSE;-0,052114091175847;-0,0824145354906054;-0,052114091175847;-0,0824145354906054
"aqui";86;22;36;23;TRUE;1;FALSE;-0,051714655302204;-0,0834746868475992;-0,051714655302204;-0,0834746868475992
"dos";86;23;48;16;TRUE;-7;FALSE;-0,0513152194285609;-0,0908957463465553;-0,0513152194285609;-0,0908957463465553
"nosso";80;24;15;63;TRUE;39;FALSE;-0,0509157835549178;-0,0410686325678497;-0,0509157835549178;-0,0410686325678497
"brasileiro";79;25;29;30;TRUE;5;FALSE;-0,0505163476812747;-0,076053627348643;-0,0505163476812747;-0,076053627348643
"uma";74;26;54;15;TRUE;-11;FALSE;-0,0501169118076317;-0,091955897703549;-0,0501169118076317;-0,091955897703549
"todos";72;27;16;60;TRUE;33;FALSE;-0,0497174759339886;-0,0442490866388309;-0,0497174759339886;-0,0442490866388309
"respeito";68;28;38;22;TRUE;-6;FALSE;-0,0493180400603455;-0,0845348382045929;-0,0493180400603455;-0,0845348382045929
"contra";64;29;86;7;TRUE;-22;FALSE;-0,0489186041867025;-0,100437108559499;-0,0489186041867025;-0,100437108559499
"nós";61;30;21;45;TRUE;15;FALSE;-0,0485191683130594;-0,0601513569937369;-0,0485191683130594;-0,0601513569937369
"dilma";58;31;45;19;TRUE;-12;FALSE;-0,0481197324394163;-0,0877152922755741;-0,0481197324394163;-0,0877152922755741
"este";58;32;15;62;TRUE;30;FALSE;-0,0477202965657733;-0,0421287839248434;-0,0477202965657733;-0,0421287839248434
"esperança";53;33;4;222;TRUE;189;TRUE;-0,0473208606921302;0,127495433194154;-0,0473208606921302;0,127495433194154
"deputados";52;34;18;54;TRUE;20;FALSE;-0,0469214248184871;-0,0506099947807933;-0,0469214248184871;-0,0506099947807933
"mais";52;35;20;50;TRUE;15;FALSE;-0,0465219889448441;-0,0548506002087683;-0,0465219889448441;-0,0548506002087683
"brasileiros";51;36;11;85;TRUE;49;FALSE;-0,046122553071201;-0,0177453027139875;-0,046122553071201;-0,0177453027139875
