"Palavra";"frequency.sim";"top";"frequency.nao";"top_nao";"destaque_top";"diff";"destaque"
"sr presidente";301;1;78;1;TRUE;0;FALSE
"voto sim";208;2;2;334;TRUE;332;FALSE
"voto é";109;5;43;2;TRUE;-3;FALSE
"povo brasileiro";62;6;23;5;TRUE;-1;FALSE
"brasil voto";60;7;3;90;TRUE;83;FALSE
"sim impeachment";57;8;1;2960;TRUE;2952;TRUE
"presidente sr";37;9;7;32;TRUE;23;FALSE
"sras srs";32;10;7;35;TRUE;25;FALSE
"srs deputados";32;11;11;18;TRUE;7;FALSE
"minas gerais";27;12;3;114;TRUE;102;FALSE
"presidente sras";27;13;6;39;TRUE;26;FALSE
"impeachment sr";25;14;3;109;TRUE;95;FALSE
"presidente dilma";24;15;13;15;TRUE;0;FALSE
"rio janeiro";21;16;1;2825;TRUE;2809;TRUE
"presidente voto";18;17;7;33;TRUE;16;FALSE
"contra corrupção";17;18;2;160;TRUE;142;FALSE
"nesta casa";17;19;7;30;TRUE;11;FALSE
"neste momento";17;20;4;79;TRUE;59;FALSE
"crime responsabilidade";14;22;13;13;TRUE;-9;FALSE
"impeachment presidente";14;25;3;108;TRUE;83;FALSE
"brasileiro voto";13;27;5;43;TRUE;16;FALSE
"deste país";13;28;11;17;TRUE;-11;FALSE
"quero dizer";13;29;10;19;TRUE;-10;FALSE
"sim brasil";13;30;1;2955;TRUE;2925;TRUE
"brasil sr";12;31;1;639;TRUE;608;FALSE
"dilma rousseff";12;32;1;1223;TRUE;1191;TRUE
"país voto";12;33;7;31;TRUE;-2;FALSE
"presidente nome";12;34;2;278;TRUE;244;FALSE
"deus abençoe";11;36;1;1161;TRUE;1125;FALSE
"milhões brasileiros";11;38;3;113;TRUE;75;FALSE
"presidente república";11;39;5;54;TRUE;15;FALSE
"presidente respeito";11;40;2;280;TRUE;240;FALSE
"mato grosso";10;44;1;2049;TRUE;2005;TRUE
"nome família";10;45;2;254;TRUE;209;FALSE
"respeito constituição";10;46;10;20;TRUE;-26;FALSE
"brasil melhor";9;47;2;145;TRUE;98;FALSE
"todos brasileiros";9;50;1;3090;TRUE;3040;TRUE
"votar sim";9;51;3;132;TRUE;81;FALSE
"srs parlamentares";8;58;2;309;TRUE;251;FALSE
"brasileiros voto";7;60;1;612;TRUE;552;FALSE
"brasil estado";7;61;1;615;TRUE;554;FALSE
"desta casa";7;63;2;189;TRUE;126;FALSE
"família filhos";7;66;1;1521;TRUE;1455;TRUE
"hoje é";7;67;2;231;TRUE;164;FALSE
"respeito família";7;72;1;2777;TRUE;2705;TRUE
"brasil família";6;76;1;616;TRUE;540;FALSE
"cometeu crime";6;78;4;59;TRUE;-19;FALSE
"constituição federal";6;79;2;157;TRUE;78;FALSE
"é dia";6;81;1;1326;TRUE;1245;TRUE
"é voto";6;84;1;1480;TRUE;1396;TRUE
"filhos netos";6;86;2;218;TRUE;132;FALSE
"fim corrupção";6;87;1;1583;TRUE;1496;TRUE
"portanto voto";6;89;2;265;TRUE;176;FALSE
"povo brasil";6;90;1;2501;TRUE;2411;TRUE
"presidenta dilma";6;92;16;10;TRUE;-82;FALSE
"presidente brasil";6;93;2;271;TRUE;178;FALSE
"presidente quero";6;94;2;279;TRUE;185;FALSE
"querido estado";6;95;2;289;TRUE;194;FALSE
"quero aqui";6;96;1;2688;TRUE;2592;TRUE
"segunda vez";6;97;3;124;TRUE;27;FALSE
"todo povo";6;99;1;3087;TRUE;2988;TRUE
"voto favor";6;100;1;3310;TRUE;3210;TRUE
"brasil é";5;103;3;88;TRUE;-15;FALSE
"constituição brasileira";5;105;3;92;TRUE;-13;FALSE
"eduardo cunha";5;111;23;4;TRUE;-107;FALSE
"neste país";5;121;4;80;TRUE;-41;FALSE
"aqui hoje";4;140;3;85;TRUE;-55;FALSE
"estado democrático";4;156;5;50;TRUE;-106;FALSE
"lula dilma";4;165;4;74;TRUE;-91;FALSE
"brasileiros brasileiras";3;205;3;89;TRUE;-116;FALSE
"democrático direito";3;223;5;48;TRUE;-175;FALSE
"dilma cometeu";3;229;7;27;TRUE;-202;FALSE
"michel temer";3;265;13;14;TRUE;-251;FALSE
"milhões votos";3;267;4;75;TRUE;-192;FALSE
"democracia voto";2;434;12;16;TRUE;-418;FALSE
"homenagem povo";2;555;5;51;TRUE;-504;FALSE
"impeachment é";2;559;5;52;TRUE;-507;FALSE
"voto sr";2;801;20;6;TRUE;-795;FALSE
"contra golpe";1;2142;28;3;TRUE;-2139;FALSE
"contra impeachment";1;2143;7;25;TRUE;-2118;FALSE
"defesa constituição";1;2390;5;47;TRUE;-2343;FALSE
"democracia contra";1;2418;8;22;TRUE;-2396;TRUE
"democracia país";1;2420;4;68;TRUE;-2352;TRUE
"deputadas deputados";1;2445;4;69;TRUE;-2376;TRUE
"deputado eduardo";1;2451;5;49;TRUE;-2402;TRUE
"deram vida";1;2501;3;97;TRUE;-2404;TRUE
"dilma é";1;2695;7;28;TRUE;-2667;TRUE
"é contra";1;2842;6;37;TRUE;-2805;TRUE
"é golpe";1;2867;17;8;TRUE;-2859;TRUE
"golpe estado";1;3723;4;73;TRUE;-3650;TRUE
"movimentos sociais";1;4797;4;76;TRUE;-4721;TRUE
"presidente defesa";1;5940;4;81;TRUE;-5859;TRUE
"processo impeachment";1;6069;7;34;TRUE;-6035;TRUE
"supremo tribunal";1;7047;5;56;TRUE;-6991;TRUE
"tribunal federal";1;7266;5;58;TRUE;-7208;TRUE
"voto impeachment";1;7582;6;42;TRUE;-7540;TRUE
