Deputado,Partido,Estado,Voto,Gênero,Fala,
Abel Mesquita Jr.,DEM,RR,Sim,M,"Roraima, verás que o filho teu não foge à luta! O povo brasileiro merece respeito! Por um Brasil com justiça, igualdade social e sem corrupção, por uma Roraima desacorrentada, para que possamos exercer o direito constitucional de ir e vir e por todas as famílias roraimenses, eu voto sim, Sr. Presidente.",
Carlos Andrade,PHS,RR,Sim,M,"Sr. Presidente, esta não é uma história de ricos contra pobres nem da direita contra a esquerda, mas é da Nação contra a corrupção. Eu voto sim, Sr. Presidente!",
Edio Lopes,PR,RR,Não,M,"Sr. Presidente, o meu voto é contra o prosseguimento do processo de impedimento da Sra. Presidente da República.",
Hiran Gonçalves,PP,RR,Sim,M,"Sr. Presidente, meu querido Brasil, pela minha família; pelos que me fizeram chegar até aqui; pelos médicos do Brasil, para que sejam respeitados pelo próximo governo; pelos maçons do Brasil e pelo bem do povo brasileiro, eu voto sim, Sr. Presidente.",
Jhonatan de Jesus,PRB,RR,Sim,M,"Sr. Presidente, nem a favor do PMDB nem a favor do PT, com a consciência do povo brasileiro eu voto sim. Eu digo, ao meu Estado de Roraima e aos médicos brasileiros, sim, contra a corrupção.",
Maria Helena,PSB,RR,Sim,F,Por Roraima e pelo povo brasileiro que foi às ruas pedindo mudanças e um Brasil melhor, não podemos desistir do Brasil. Eu voto sim.
Remídio Monai,PR,RR,Sim,M,"Com a minha consciência, pela minha família, por Roraima e pelo Brasil, eu voto sim, Sr. Presidente.",
Shéridan,PSDB,RR,Sim,F,"Pelo resgate da esperança que foi roubada do povo brasileiro, por esta geração, pelas próximas gerações, pelo meu Estado de Roraima, eu voto sim. Eu voto pelo Brasil.",
Afonso Hamm,PP,RS,Sim,M,"Em nome do povo gaúcho, povo do meu Estado, em nome do povo brasileiro, para votarmos a favor da mudança, a favor da esperança, sim ao impeachment!",
Afonso Motta,PDT,RS,Não,M,"Pelo legado de Getúlio, Jango e Brizola, pela democracia e o Estado Democrático de Direito, pelo Brasil, o PDT vota não.",
Alceu Moreira,PMDB,RS,Sim,M,"Pelo fim do populismo irresponsável e corrupto, pelo fim da vagabundização remunerada, pela valorização do trabalho, da produção, da pesquisa, tecnologia e inovação, eu voto sim.",
Bohn Gass,PT,RS,Não,M,"Eu tenho nojo e horror do golpismo. O poder édo povo, e o povo elegeu a Presidenta. Ela é honesta e não pode ser afastada por um processo ilegítimo, conduzido por um réu da Lava-Jato. Pela democracia e pelo País, é não.",
Carlos Gomes,PRB,RS,Sim,M,"Sr. Presidente, em nome das famílias gaúchas, em nome das pessoas que, com trabalho, constroem este País, eu voto sim.",
Covatti Filho,PP,RS,Sim,M,"O meu sangue farroupilha é motivo de orgulho, orgulho porque o nosso Estado defendeu suas ideologias e por elas sempre lutou. Como diz o hino rio-grandense, um povo sem virtude acaba por ser escravo. Honrando esse Rio Grande do Sul, eu voto sim ao impeachment, Presidente.",
Danrlei de Deus Hinterholz,PSD,RS,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, foi-me dada a honra, pelo povo do Rio Grande do Sul, de estar nesta Casa. E é carregando a esperança de todos os gaúchos que eu voto sim.",
Darcísio Perondi,PSD,RS,Sim,M,"Pelos direitos das crianças, dos jovens, das mulheres, de todos os brasileiros; por um Governo decente e, acima de tudo, por mais esperança para os brasileiros, voto sim.",
Giovani Cherini,PDT,RS,Sim,M,"Gente de bom coração, pelo amor ao Brasil, pelo amor a esta bandeira, pelo amor à vida, pelo amor aos 115.294 eleitores, pelo fim da corrupção, Sr. Presidente, eu voto sim.",
Heitor Schuch,PSB,RS,Sim,M,"Pela retomada do crescimento econômico e social do Brasil, pelo bem do Brasil, meu voto é sim.",
Henrique Fontana,PT,RS,Não,M,"Contra a conspiração e a corrupção representadas por Eduardo Cunha e Temer; contra o golpe; em defesa da democracia e do respeito ao voto do cidadão brasileiro, eu voto com toda convicção não a esse golpe, não a esse impeachment!",
Jerônimo Goergen,PP,RS,Sim,M,"Para que meu filho ou minha filha que vão chegar vivam num país de futuro, pelo Rio Grande e pelo Brasil, sim ao impeachment!",
João Derly,Rede,RS,Sim,M,"Com a minha consciência tranquila, pelo Rio Grande, pelo meu Brasil, eu voto sim.",
José Fogaça,PMDB,RS,Sim,M,Que o Brasil tenha responsabilidade e sabedoria coletiva paraenfrentar os momentos que virão, o voto é sim!
José Otávio Germano,PP,RS,Sim,M,"Em homenagem à minha família, aos meus amigos, aos gaúchos e às gaúchas e, especialmente, ao povo de Cachoeira do Sul, o voto é sim.",
Jose Stédile,PSB,RS,Sim,M,"Os dois lados da rua pedem ética na política. Hoje, nós vamos dar o primeiro passo. Em nome dos desempregados e da indústria nacional, eu voto sim.",
Luis Carlos Heinze,PP,RS,Sim,M,"Pelos gaúchos que represento; para combater o projeto de poder e de corrupção do Lula e do PT; e pelos agricultores brasileiros, voto sim pelo impeachment.",
Luiz Carlos Busato,PTB,RS,Sim,M,"Sr. Presidente, este é o momento de reescrever a ética e a democracia brasileira. Pela minha família, pela minha Canoas, pelos gaúchos e pelo Brasil, voto sim!",
Marco Maia,PT,RS,Não,M,"Pelos trabalhadores e trabalhadoras do nosso Brasil, pela democraciae pelo respeito ao voto soberano do povo brasileiro, que elegeu a Presidenta Dilma com 54 milhões votos, o meu voto é não a esse golpe.",
Marcon,PT,RS,Não,M,"Sou brasileiro e, em defesa dos pequenos, dos pobres, dos trabalhadores e em defesa dos movimentos sociais, da reforma agrária e da reforma urbana, pela democracia, e para que todos os réus da Lava-Jato estejam na prisão, voto contra o golpe. O meu voto é não.",
Maria do Rosário,PT,RS,Não,M,"Pela democracia, pela soberania do voto popular, pela dignidade humana, por todos os que lutaram contra a ditadura militar, pelo Deputado Rubens Paiva, cassado e morto pela ditadura, pelas novas gerações, eu voto nãoa este golpe, e sim ao Brasil.",
Mauro Pereira,PMDB,RS,Sim,M,"Pelo povo da minha Caxias do Sul, da Serra Gaúcha, do Rio Grande do Sul, do Brasil, pela dignidade e pela esperança do povo brasileiro, eu voto sim. Viva o Brasil! Viva o Sérgio Moro!",
Nelson Marchezan Junior,PSDB,RS,Sim,M,"Para corresponder, Sr. Presidente, às expectativas dos meus eleitores, dos brasileiros, às expectativas de um Brasil melhor, para combater a corrupção, para possamos olhar para a frente, para um Brasil diferente e separar o que é legal do que é ilegal e pela nossa Constituição, o meu voto só poderia ser, e será, sim ao impeachment da Presidente Dilma.",
Onyx Lorenzoni,DEM,RS,Sim,M,"Diz o hino rio-grandense: Sirvam nossas façanhas de modelo a toda terra. Estamos legitimados pelo povo brasileiro para dizer um basta para a roubalheira. É sim, de esperança num novo futuro para o nosso Brasil.",
Osmar Terra,PMDB,RS,Sim,M,"Pela minha família, minha esposa, meus filhos, pelas famílias brasileiras, pelas crianças do Brasil, pela minha Santa Rosa, meu povo do Rio Grande, pelo Brasil, é sim, Sr. Presidente!",
Paulo Pimenta,PT,RS,Não,M,"Eu não reconheço legitimidade de Eduardo Cunha para presidir este processo. Não reconheço legitimidade de o conspirador Michel Temer para presidir este País. Não acredito em político demagogo, que fala em combater a corrupção e se alia com corruptos — aquilo que de pior o Brasil tem. Contra o golpe, contra os golpistas, eu voto não.",
Pepe Vargas,PT,RS,Não,M,"Contra o acordão de Eduardo Cunha, Michel Temer e Aécio Neves, que querem abafar o combate à corrupção, contra os golpistas, que não prezam a democracia e os direitos dos trabalhadores, pela Constituição, que jurei cumprir, pela democracia e pela legalidade, meu voto é não ao golpe.",
Pompeo de Mattos,PDT,RS,Abstenção,M,"Presidente, nem Dilma, nem Temer, nem Cunha. Eu quero eleições limpas e honestas para limpar mais que a sujeira, limpar a alma do País. Cumpro decisão do meu partido: não posso votar a favor, mas não voto contra. Eu voto pela abstenção, contra a corrupção.",
Renato Molling,PP,RS,Sim,M,"Existe espaço também na política para quem é sério e fala a verdade. Vamos crescer pelo trabalho. O exemplo tem que vir de cima. Pelo Rio Grande, pelo Brasil, voto sim.",
Ronaldo Nogueira,PTB,RS,Sim,M,"Pelos fundamentos do cristianismo, em defesa dos princípios da administração pública, porque ninguém está acima da lei, eu voto sim.",
Sérgio Moraes,PTB,RS,Sim,M,"Sr. Presidente, em respeito ao suor e à mão calejada dos meus fumicultores e dos trabalhadores da indústria fumageira do meu Estado, Rio Grande do Sul, eu voto sim. Feliz aniversário, Ana, minha neta!",
Carmen Zanotto,PPS,SC,Sim,F,"Com serenidade e convicção, pelo meu Estado de Santa Catarina, pelo fim da corrupção em todos os espaços de poder, eu voto sim.",
Celso Maldaner,PMDB,SC,Sim,M,Eu voto sim.,
Cesar Souza,PSD,SC,Sim,M,"Sr. Presidente, em 1992, eu aqui estava e votei a favor do impeachment. Agora, o País está clamando por mudança. Estou aqui, em nome do povo de Florianópolis, em nome do povo de Santa Catarina e do Brasil, pela segunda vez neste plenário, e o meu voto é sim.",
Décio Lima,PT,SC,Não,M,"Sr. Presidente, pelos trabalhadores do campo e da cidade; por todos aqueles que lutaram pela democracia e tombaram nesta luta; pelo Deputado Paulo Wright, do meu Estado, que foi assassinado pela ditadura; contra o golpe, voto não.",
Esperidião Amin,PP,SC,Sim,M,"Para honrar a ampla maioria da vontade do povo catarinense e para dar uma chance ao Brasil, eu voto sim.",
Geovania de Sá,PSDB,SC,Sim,F,"Sr. Presidente, pela honra da minha família, pela minha cidade, Criciúma, por Santa Catarina e pela libertação do povo brasileiro, eu digo sim.",
João Paulo Kleinübing,PSD,SC,Sim,M,"Sr. Presidente, com a esperança de um futuro melhor, pela brava gente de Santa Catarina e da minha Blumenau, eu voto sim, Sr. Presidente.",
João Rodrigues,PSD,SC,Sim,M,"Sr. Presidente, por minha família, pela minha guerreira Chapecó, pelo meu Estado de Santa Catarina e para quebrar a espinha dorsal dessa quadrilha, eu voto sim, Sr. Presidente.",
Jorge Boeira,PP,SC,Sim,M,"Pelos princípios que ensinei às minhas filhas da ética, da honestidade, da moral, os quais eu quero elas ensinem aos meus netos; pelo povo de Santa Catarina, que vai às ruas protestar contra a corrupção, eu voto sim.",
Jorginho Mello,PR,SC,Sim,M,"Sr. Presidente, pelos meus filhos, Bruno e Felipe, pelo privilégio de ser de Santa Catarina, por entender que corrupção não combina com democracia, por Santa Catarina e pelo Brasil, eu voto sim.",
Marco Tebaldi,PSDB,SC,Sim,M,"Em nome de Joinville, de Santa Catarina, pelo meu neto Pedro, que nasceu há10 dias, pelo futuro dele e por todas as famílias de bem do Brasil, meu voto é sim.",
Mauro Mariani,PMDB,SC,Sim,M,"Para traduzir um sentimento majoritário do povo e da gente de Santa Catarina,e na esperança de que este momento inaugure um novo tempo na política brasileira, o meu voto é sim",
Pedro Uczai,PT,SC,Não,M,"Sr. Presidente, voto com Lula, o melhor Presidente deste País; com Dilma, mulher valente e honesta; pelo Brasil e pela democracia. Não ao golpe! Fora, golpistas! O voto é não, pelo Brasil.",
Rogério Peninha Mendonça,PMDB,SC,Sim,M,"Pelo Brasil; pela cidade de Ituporanga, que me adotou; por Nova Trento, onde eu nasci; por toda Santa Catarina; pela mudança do Estatuto do Desarmamento; pelos nossos agricultores e pelo fim da corrupção no Brasil, eu voto sim.",
Ronaldo Benedet,PMDB,SC,Sim,M,"Pela minha cidade Criciúma, pela maioria do povo do meu Estado e por uma esperança para o Brasil, voto sim.",
Valdir Colatto,PMDB,SC,Sim,M,"Por todos aqueles brasileiros que foram enganados por este Governo, por Santa Catarina, pelo meu oeste catarinense, por Xanxerê, por Chapecó, por todos aqueles que produzem e trabalham neste Brasil, pelos nossos agricultores que nos alimentam todos os dias, porque se o agricultor não planta, ninguém almoça, nem janta, voto sim, Sr. Presidente.",
André Abdon,PP,AP,Sim,M,"Sr. Presidente, o caráter e o valor de um homem não se faz com ouro, nem prata, se faz pela sua posição. Pelo Brasil, pelo meu Estado do Amapá, eu voto sim.",
Cabuçu Borges,PMDB,AP,Sim,M,"Sr. Presidente, pelo Brasil e pelo meu querido Estado do Amapá, pela minha família, pelos meus amigos, pelos meus eleitores que votaram em mim de forma espontânea, por esse povo maravilhoso do Estado do Amapá, pela paz, pela harmonia e pela concórdia, eu voto sim.",
Janete Capiberibe,PSB,AP,Não,F,"Em defesa do voto popular e das regras democráticas, eu voto não a esse impeachment, porque não existe crime. Fora, Cunha!",
Jozi Araújo,PTN,AP,Não,F,"Pelo Amapá, pela democracia e pelos votos válidos, eu voto não, senhores.",
Marcos Reategui,PSD,AP,Sim,M,"Sr. Presidente, Srs. Parlamentares, o momento é histórico e de um Brasil passado a limpo. Considerando essa situação e a minha origem de delegado da Polícia Federal, eu quero dizer que, no meu Amapá, Justiça e Ministério Público retiveram, sem recolher, mais de 350 milhões de reais devidos ao Fisco. Se nós queremos consertar o Brasil, nós precisamos ir até ao final. Eu estou propondo aqui uma CPI para que nós possamos realmente passar o Brasil a limpo. O voto é sim à CPI e sim também ao impeachment.",
Professora Marcivania,PCdoB,AP,Não,F,"Eu acho que eu nunca vi tanta hipocrisia junta por metro quadrado. Dizer que vai votar contra a corrupção, colocando Michel Temer e Eduardo Cunha, como Presidente e Vice-Presidente, é de uma hipocrisia que não tem tamanho. E o povo sabe e vai enxergar isso. Então, pela democracia, contra o golpe de Estado e institucional que está sendo feito por esta Casa, eu voto, tranquilamente, com a minha consciência não.",
Roberto Góes,PDT,AP,Não,M,"Pelo Programa Minha Casa, Minha Vida, pelo PRONATEC, pelo desenvolvimento do Brasil, eu voto não, Sr. Presidente.",
Vinicius Gurgel,PR,AP,Abstenção,M,"Por novas eleições, porque trocar seis por meia dúzia não resolve, eu me abstenho.",
Arnaldo Jordy,PPS,PA,Sim,M,"Sr. Presidente, pelos trabalhadores brasileiros, pelo povo do Pará, pelos meus filhos, pela Constituição brasileira, contra Dilma e contra Cunha, o meu voto é sim.",
