Deputados
"Bruno Covas"
"Jutahy Junior"
"Nilson Leitão"
"Paulo Abi-Ackel"
"Elmar Nascimento"
"Mendonça Filho"
"Alex Manente"
"Bebeto"
"Danilo Forte"
"Fernando Coelho Filho"
"Paulo Pereira da Silva"
"Eduardo Bolsonaro"
"Pastor Marco Feliciano" 
"Jhonatan de Jesus"
"Marcelo Squassoni"
"Marcelo Aro"
"Marcos Montes"
"Paulo Magalhães"
"Weliton Prado"
"Flavio Nogueira"
"Leonardo Picciani"
"Washington Reis"
"Osmar Terra"
"Lucio Vieira Lima"
"Paulo Maluf"
"Aguinaldo Ribeiro" 	
"Roberto Britto" 		
"Jerônimo Goergen" 		
"Benito Gama"
"Arlindo Chinaglia"
"José Mentor" 		
"Paulo Teixeira"
"Vicente Candido"
"Zé Geraldo"
"Bacelar"
"Edio Lopes"
"José Rocha"																			
"Maurício Quintella Lessa"					
"Silvio Costa"															
