"Deputados";"valor";"partido"
"Bruno Covas";227486;"PSDB"
"Jutahy Junior";531875;"PSDB"
"Nilson Leitão";511550;"PSDB"
"Paulo Abi-Ackel";425000;"PSDB"
"Elmar Nascimento";201580;"DEM"
"Mendonça Filho";250000;"DEM"
"Alex Manente";400;"PPS"
"Bebeto";50000;"PSB"
"Danilo Forte";400000;"PSB"
"Fernando Coelho Filho";30000;"PSB"
"Paulo Pereira da Silva";240925;"SOLIDARIEDADE"
"Eduardo Bolsonaro";567;"PSC"
"Pastor Marco Feliciano";9837;"PSC"
"Jhonatan de Jesus";10000;"PRB"
"Marcelo Squassoni";770;"PRB"
"Marcelo Aro";30000;"PHS"
"Marcos Montes";100000;"PSD"
"Paulo Magalhães";19898;"PSD"
"Weliton Prado";166500;"PMB"
"Flavio Nogueira";100000;"PDT"
"Leonardo Picciani";199000;"PMDB"
"Washington Reis";500000;"PMDB"
"Osmar Terra";190000;"PMDB"
"Lucio Vieira Lima";732000;"PMDB"
"Paulo Maluf";648940;"PP"
"Aguinaldo Ribeiro";271900;"PP"
"Roberto Britto";7423;"PP"
"Jerônimo Goergen";100000;"PP"
"Benito Gama";211890;"PTB"
"Arlindo Chinaglia";412000;"PT"
"José Mentor";187500;"PT"
"Paulo Teixeira";285000;"PT"
"Vicente Candido";254125;"PT"
"Zé Geraldo";145500;"PT"
"Bacelar";4493;"PTN"
"Edio Lopes";680732;"PR"
"José Rocha";494407;"PR"
"Maurício Quintella Lessa";350000;"PR"
"Silvio Costa";100000;"PT do B"
