tipo,numero,ano,nome_proposicao,id_proposicao,id_proposicao_principal,nome_proposicao_origem,tipo_proposicao,tema,ementa,explicacao_ementa,autor,ide_cadastro,uf_autor,partido_autor,data_apresentacao,regime_tramitacao,data_ultimo_despacho,ultimo_despacho,apreciacao,indexacao,situacao,link_inteiro_teor,apensadas
REQ,2974,2015,REQ 2974/2015 => PL 2648/2015,1712931,1635840,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Requer urgência para o Projeto de Lei nº 2.648, de 2015.",NA,José Guimarães,141470,CE,PT,09/09/2015,Ordinária,NA,NA,Requerimento,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1382901,NA
REQ,1125,2015,REQ 1125/2015 CPIPETRO,1805871,NA,NA,Requerimento,NA,"Solicita a convocação do Senhor IRINEU BERNARDI MEIRELES, para prestar depoimento na CPI PETROBRAS.",NA,Onyx Lorenzoni,74399,RS,DEM,30/09/2015,Ordinária,NA,NA,Requerimento,NA,CPIPETRO - Pronta para Pauta,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393197,NA
REQ,4296,2016,REQ 4296/2016 => PL 2743/2015,2081630,1672827,NA,Requerimento de Urgência (Art. 155 do RICD),NA,Requer regime de urgência para apreciação do Projeto de Lei nº 2.743/2015.,NA,Andre Moura,160543,SE,PSC,06/04/2016,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1448961,NA
REQ,1681,2015,REQ 1681/2015 => PL 1358/2015,1228940,1228683,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 1.358/15.",NA,Leonardo Picciani,74254,RJ,PMDB,05/05/2015,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1328931,NA
PRC,134,2016,PRC 134/2016,2080919,NA,NA,Projeto de Resolução de Alteração do Regimento e outros,Processo Legislativo,"Determina o recálculo da proporcionalidade partidária na Câmara dos Deputados na 55ª Legislatura, após as migrações partidárias ocorridas no período autorizado pela Emenda Constitucional n. 91, de 18 de fevereiro de 2016; acrescenta dispositivo ao Regimento Interno para disciplinar a votação dos suplentes no âmbito das Comissões da Câmara dos Deputados e dá outras providências.",NA,Mesa Diretora da Câmara dos Deputados,NA,NA,NA,30/03/2016,Urgência art. 155 RICD,30/03/2016,"Decorrido o prazo regimental previsto no artigo 216, § 1º do RICD, encaminhe-se à Comissão de Constituição e Justiça e de Cidadania. Proposição Sujeita à Apreciação do Plenário. . Regime de Tramitação: Prioridade",Proposição Sujeita à Apreciação do Plenário,"Recálculo, proporcionalidade partidária, emenda constitucional, desfiliação partidária, troca, partido político, deputado federal, caráter excepcional, prazo  determinado,  janela partidária, alteração, Regimento Interno da Câmara dos Deputados, coleta, voto, suplente de comissão.",Tranformada no(a) Resolução da Câmara dos Deputados 14/2016,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1447034,NA
REQ,796,2015,REQ 796/2015 => PL 2177/2011,962435,518068,NA,Requerimento de Urgência (Art. 155 do RICD),NA,Requer regime de urgência para apreciação de proposição.,NA,Bruno Araújo,141394,PE,PSDB,04/03/2015,.,NA,NA,.,NA,Diversas,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1306224,NA
PL,6446,2013,PL 6446/2013,593856,NA,PLS 141/2011,Projeto de Lei,Direito e Justiça,"Dispõe sobre o direito de resposta ou retificação do ofendido por matéria divulgada, publicada ou transmitida por veículo de comunicação social.",NA,Senado Federal - Roberto Requião,NA,PR,PMDB,27/09/2013,Urgência art. 155 RICD,03/10/2013,Apense-se à(ao) PL-3779/1997.Proposição Sujeita à Apreciação do PlenárioRegime de Tramitação: Prioridade,Proposição Sujeita à Apreciação do Plenário,"Normas, prazo, exercício, direito de resposta, retificação, ofendido, reportagem, notícia, divulgação, publicação, transmissão, emissora, rádio, televisão, Internet, danos, honra, reputação, nome, marca, imagem, pessoa, empresa, prova, verdade, calúnia, difamação, reparação, indenização, multa.",Tranformada no(a) Lei Ordinária 13188/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1143637,NA
MPV,676,2015,MPV 676/2015,1504953,NA,NA,Medida Provisória,Previdência e Assistência Social,"Altera a Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social.

NOVA EMENTA: Altera as Leis nºs 8.212, de 24 de julho de 1991, e 8.213, de 24 de julho de 1991, para tratar da associação do segurado especial em cooperativa de crédito rural e, ainda essa última, para atualizar o rol de dependentes, estabelecer regra de não incidência do fator previdenciário, regras de pensão por morte e de empréstimo consignado, a Lei nº 10.779, de 25 de novembro de 2003, para assegurar pagamento do seguro-defeso para familiar que exerça atividade de apoio à pesca, a Lei nº 12.618, de 30 de abril de 2012, para estabelecer regra de inscrição no regime de previdência complementar dos servidores públicos federais titulares de cargo efetivo, a Lei nº 10.820, de 17 de dezembro de 2003, para dispor sobre o pagamento de empréstimos realizados por participantes e assistidos com entidades fechadas e abertas de previdência complementar e a Lei nº 7.998, de 11 de janeiro de 1990; e dá outras providências.",Estabelece fórmula progressiva para o cálculo das aposentadorias.,Poder Executivo,NA,NA,NA,18/06/2015,Urgência,25/09/2015,Ao Plenário para leitura. Publique-se.,Proposição Sujeita à Apreciação do Plenário,"Alteração, Lei de Benefícios da Previdência Social, critério, aposentadoria por tempo de contribuição, não incidência, fator previdenciário.",Tranformada no(a) Lei Ordinária 13183/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1350500,NA
PEC,74,2015,PEC 74/2015,1526944,NA,NA,Proposta de Emenda à Constituição,Finanças Públicas e Orçamento,"Acrescenta parágrafos ao artigo 100 da Constituição Federal, dispondo sobre o regime de pagamento de débitos públicos decorrentes de condenações judiciais, e acrescenta disposições ao Ato das Disposições Constitucionais Transitórias, instituindo regime especial de pagamento para os casos em mora.",NA,Carlos Sampaio,74262,SP,PSDB,25/06/2015,Especial,25/06/2015,À Comissão de Constituição e Justiça e de CidadaniaProposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Especial,Proposição Sujeita à Apreciação do Plenário,"Constituição Federal (1988), Ato das Disposições Constitucionais Transitórias, regime, pagamento, débito, fazenda pública, decisão judicial, regime especial, precatório, mora.",MESA - Aguardando Apreciação pelo Senado Federal,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1353360,NA
REQ,4250,2016,REQ 4250/2016 => PRC 134/2016,2080942,2080919,NA,Requerimento de Urgência (Art. 155 do RICD),NA,"Com base no art. 155 do Regimento Interno, requer regime de urgência para a apreciação do PRC nº 134/2016, que determina o recálculo da proporcionalidade partidária na Câmara dos Deputados na 55ª Legislatura, após as migrações partidárias ocorridas no período autorizado pela Emenda Constitucional nº 91, de 18 de fevereiro de 2016; acrescenta dispositivo ao Regimento Interno para disciplinar a votação dos suplentes no âmbito das Comissões da Câmara dos Deputados e dá outras providências""",NA,Líderes,NA,NA,NA,30/03/2016,.,NA,NA,.,NA,MESA - Tramitação do Requerimento Finalizada,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1447077,NA
