"id_dep","nome","uf","partido","clust"
178890,"Adelmo Carneiro Leão","MG","pt","1"
160508,"Afonso Florence","BA","pt","1"
160511,"Alessandro Molon","RJ","rede","1"
74057,"Alice Portugal","BA","pcdob","1"
178927,"Aliel Machado","PR","rede","1"
178973,"Ana Perugini","SP","pt","1"
178974,"Andres Sanchez","SP","pt","1"
178837,"Angelim","AC","pt","1"
73433,"Arlindo Chinaglia","SP","pt","1"
159237,"Assis Carvalho","PI","pt","1"
74378,"Assis do Couto","PR","pt","1"
69871,"Bacelar","BA","ptn","1"
73701,"Benedita da Silva","RJ","pt","1"
141335,"Beto Faro","PA","pt","1"
160538,"Bohn Gass","RS","pt","1"
178853,"Caetano","BA","pt","1"
74474,"Carlos Eduardo Cadoca","PE","pcdob","1"
141398,"Carlos Zarattini","SP","pt","1"
141439,"Chico D Angelo","RJ","pt","1"
141440,"Chico Lopes","CE","pcdob","1"
178928,"Christiane de Souza Yared","PR","ptn","1"
74060,"Daniel Almeida","BA","pcdob","1"
101309,"Davidson Magalhães","BA","pcdob","1"
141413,"Décio Lima","SC","pt","1"
132504,"Enio Verri","PR","pt","1"
160575,"Erika Kokay","DF","pt","1"
146829,"Fabiano Horta","RJ","pt","1"
73481,"Fernando Marroni","RS","pt","1"
129037,"Gabriel Guimarães","MG","pt","1"
178872,"Givaldo Vieira","ES","pt","1"
178873,"Helder Salomão","ES","pt","1"
73482,"Henrique Fontana","RS","pt","1"
74848,"Jandira Feghali","RJ","pcdob","1"
178970,"João Daniel","SE","pt","1"
178965,"João Derly","RS","rede","1"
141503,"Jô Moraes","MG","pcdob","1"
178857,"Jorge Solla","BA","pt","1"
141464,"José Airton Cirilo","CE","pt","1"
141470,"José Guimarães","CE","pt","1"
74275,"José Mentor","SP","pt","1"
178825,"Leo de Brito","AC","pt","1"
74156,"Leonardo Monteiro","MG","pt","1"
160628,"Luciana Santos","PE","pcdob","1"
74041,"Luiz Couto","PB","pt","1"
178866,"Luizianne Lins","CE","pt","1"
74688,"Luiz Sérgio","RJ","pt","1"
133373,"Marco Maia","RS","pt","1"
160535,"Marcon","RS","pt","1"
171619,"Margarida Salomão","MG","pt","1"
74398,"Maria do Rosário","RS","pt","1"
178859,"Moema Gramacho","BA","pt","1"
178986,"Nilto Tatto","SP","pt","1"
178868,"Odorico Monteiro","CE","pt","1"
178987,"Orlando Silva","SP","pcdob","1"
160556,"Padre João","MG","pt","1"
171617,"Paulão","AL","pt","1"
74400,"Paulo Pimenta","RS","pt","1"
141488,"Paulo Teixeira","SP","pt","1"
160604,"Pedro Uczai","SC","pt","1"
160641,"Professora Marcivania","AP","pt","1"
74161,"Reginaldo Lopes","MG","pt","1"
74371,"Rubens Otoni","GO","pt","1"
178887,"Rubens Pereira Júnior","MA","pcdob","1"
160630,"Ságuas Moraes","MT","pt","1"
160613,"Sibá Machado","AC","pt","1"
