anexo,codOrcamento,condicao,email,fone,gabinete,idParlamentar,ideCadastro,matricula,nome,nomeParlamentar,partido,sexo,uf,urlFoto
4,3283,Titular,dep.goulart@camara.gov.br,3215-5533,533,5830382,178980,361,ANTONIO GOULART DOS REIS,GOULART,PSD,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178980.jpg
4,2152,Titular,dep.betofaro@camara.gov.br,3215-5723,723,5830714,141335,19,JOSÉ ROBERTO OLIVEIRA FARO,BETO FARO,PT,masculino,PA,http://www.camara.gov.br/internet/deputado/bandep/141335.jpg
4,2488,Titular,dep.rodrigodecastro@camara.gov.br,3215-5701,701,5830453,141531,268,RODRIGO BATISTA DE CASTRO,RODRIGO DE CASTRO,PSDB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/141531.jpg
4,2551,Titular,dep.laertebessa@camara.gov.br,3215-5340,340,5830785,141478,412,LAERTE RODRIGUES DE BESSA,LAERTE BESSA,PR,masculino,DF,http://www.camara.gov.br/internet/deputado/bandep/141478.jpg
3,3712,Titular,dep.majorolimpio@camara.gov.br,3215-5279,279,5830405,178826,368,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,PDT,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/178826.jpg
4,2762,Titular,dep.luistibe@camara.gov.br,3215-5632,632,5830737,160510,251,LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBÉ,PTdoB,masculino,MG,http://www.camara.gov.br/internet/deputado/bandep/160510.jpg
3,3041,Titular,dep.alielmachado@camara.gov.br,3215-5480,480,5830336,178927,441,ALIEL MACHADO BARK,ALIEL MACHADO,PCdoB,masculino,PR,http://www.camara.gov.br/internet/deputado/bandep/178927.jpg
4,3228,Titular,dep.ivanvalente@camara.gov.br,3215-5716,716,5830668,73531,359,IVAN VALENTE,IVAN VALENTE,PSOL,masculino,SP,http://www.camara.gov.br/internet/deputado/bandep/73531.jpg
4,3672,Titular,dep.pedrochaves@camara.gov.br,3215-5406,406,5830691,74812,428,PEDRO PINHEIRO CHAVES,PEDRO CHAVES,PMDB,masculino,GO,http://www.camara.gov.br/internet/deputado/bandep/74812.jpg
4,2705,Titular,dep.assiscarvalho@camara.gov.br,3215-5909,909,5830359,159237,111,FRANCISCO DE ASSIS CARVALHO GONÇALVES,ASSIS CARVALHO,PT,masculino,PI,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg
3,3053,Titular,dep.betinhogomes@camara.gov.br,3215-5269,269,5830545,178915,141,HEBERTE LAMARCK GOMES DA SILVA,BETINHO GOMES,PSDB,masculino,PE,http://www.camara.gov.br/internet/deputado/bandep/178915.jpg
4,3068,Titular,dep.carloshenriquegaguim@camara.gov.br,3215-5222,222,5830622,178993,60,CARLOS HENRIQUE AMORIM,CARLOS HENRIQUE GAGUIM,PMDB,masculino,TO,http://www.camara.gov.br/internet/deputado/bandep/178993.jpg
4,3707,Titular,dep.luizcarlosramos@camara.gov.br,3215-5636,636,5830522,178802,318,LUIZ CARLOS RAMOS,LUIZ CARLOS RAMOS ,PSDC,masculino,RJ,http://www.camara.gov.br/internet/deputado/bandep/178802.jpg
