"nome";"partido";"uf"
"Abel Mesquita Jr.";"pdt";"RR"
"Adail Carneiro";"phs";"CE"
"Adalberto Cavalcanti";"ptb";"PE"
"Adelmo Carneiro Leão";"pt";"MG"
"Adelson Barreto";"ptb";"SE"
"Ademir Camilo";"pros";"MG"
"Adilton Sachetti";"psb";"MT"
"Aelton Freitas";"pr";"MG"
"Afonso Florence";"pt";"BA"
"Afonso Hamm";"pp";"RS"
"Afonso Motta";"pdt";"RS"
"Aguinaldo Ribeiro";"pp";"PB"
"Alan Rick";"prb";"AC"
"Alberto Filho";"pmdb";"MA"
"Alberto Fraga";"dem";"DF"
"Alceu Moreira";"pmdb";"RS"
"Alessandro Molon";"pt";"RJ"
"Alex Canziani";"ptb";"PR"
"Alex Manente";"pps";"SP"
"Alexandre Baldy";"psdb";"GO"
"Alexandre Leite";"dem";"SP"
"Alexandre Serfiotis";"psd";"RJ"
"Alexandre Valle";"prp";"RJ"
"Alfredo Kaefer";"psdb";"PR"
"Alfredo Nascimento";"pr";"AM"
"Alice Portugal";"pcdob";"BA"
"Aliel Machado";"pcdob";"PR"
"Altineu Côrtes";"pr";"RJ"
"Aluisio Mendes";"psdc";"MA"
"Ana Perugini";"pt";"SP"
"Anderson Ferreira";"pr";"PE"
"André Abdon";"prb";"AP"
"André Figueiredo";"pdt";"CE"
"André Fufuca";"pen";"MA"
"Andre Moura";"psc";"SE"
"Andres Sanchez";"pt";"SP"
"Angelim";"pt";"AC"
"Aníbal Gomes";"pmdb";"CE"
"Antonio Balhmann";"pros";"CE"
"Antonio Brito";"ptb";"BA"
"Antonio Bulhões";"prb";"SP"
"Antonio Carlos Mendes Thame";"psdb";"SP"
"Antonio Imbassahy";"psdb";"BA"
"Antônio Jácome";"pmn";"RN"
"Arlindo Chinaglia";"pt";"SP"
"Arnaldo Faria de Sá";"ptb";"SP"
"Arnaldo Jordy";"pps";"PA"
"Arnon Bezerra";"ptb";"CE"
"Arthur Lira";"pp";"AL"
"Arthur Oliveira Maia";"solidaried";"BA"
"Arthur Virgílio Bisneto";"psdb";"AM"
"Assis Carvalho";"pt";"PI"
"Assis do Couto";"pt";"PR"
"Átila Lins";"psd";"AM"
"Átila Lira";"psb";"PI"
"Augusto Carvalho";"solidaried";"DF"
"Augusto Coutinho";"solidaried";"PE"
"Aureo";"solidaried";"RJ"
"Bacelar";"ptn";"BA"
"Baleia Rossi";"pmdb";"SP"
"Bebeto";"psb";"BA"
"Benedita da Silva";"pt";"RJ"
"Benito Gama";"ptb";"BA"
"Benjamin Maranhão";"solidaried";"PB"
"Betinho Gomes";"psdb";"PE"
"Beto Faro";"pt";"PA"
"Beto Mansur";"prb";"SP"
"Beto Rosado";"pp";"RN"
"Beto Salame";"pros";"PA"
"Bilac Pinto";"pr";"MG"
"Bohn Gass";"pt";"RS"
"Bonifácio de Andrada";"psdb";"MG"
"Bruna Furlan";"psdb";"SP"
"Brunny";"ptc";"MG"
"Bruno Araújo";"psdb";"PE"
"Bruno Covas";"psdb";"SP"
"Cabo Daciolo";"s.part.";"RJ"
"Cabo Sabino";"pr";"CE"
"Cabuçu Borges";"pmdb";"AP"
"Cacá Leão";"pp";"BA"
"Caetano";"pt";"BA"
"Caio Narcio";"psdb";"MG"
"Capitão Augusto";"pr";"SP"
"Carlos Andrade";"phs";"RR"
"Carlos Bezerra";"pmdb";"MT"
"Carlos Eduardo Cadoca";"pcdob";"PE"
"Carlos Gomes";"prb";"RS"
"Carlos Henrique Gaguim";"pmdb";"TO"
"Carlos Manato";"solidaried";"ES"
"Carlos Marun";"pmdb";"MS"
"Carlos Melles";"dem";"MG"
"Carlos Sampaio";"psdb";"SP"
"Carlos Zarattini";"pt";"SP"
"Carmen Zanotto";"pps";"SC"
"Célio Silveira";"psdb";"GO"
"Celso Jacob";"pmdb";"RJ"
"Celso Maldaner";"pmdb";"SC"
"Celso Pansera";"pmdb";"RJ"
"Celso Russomanno";"prb";"SP"
"César Halum";"prb";"TO"
"César Messias";"psb";"AC"
"Cesar Souza";"psd";"SC"
"Chico Alencar";"psol";"RJ"
"Chico D Angelo";"pt";"RJ"
"Chico Lopes";"pcdob";"CE"
"Christiane de Souza Yared";"ptn";"PR"
"Cícero Almeida";"prtb";"AL"
"Clarissa Garotinho";"pr";"RJ"
"Claudio Cajado";"dem";"BA"
"Cleber Verde";"prb";"MA"
"Conceição Sampaio";"pp";"AM"
"Covatti Filho";"pp";"RS"
"Cristiane Brasil";"ptb";"RJ"
"Dagoberto";"pdt";"MS"
"Damião Feliciano";"pdt";"PB"
"Dâmina Pereira";"pmn";"MG"
"Daniel Almeida";"pcdob";"BA"
"Daniel Coelho";"psdb";"PE"
"Daniel Vilela";"pmdb";"GO"
"Danilo Forte";"pmdb";"CE"
"Danrlei de Deus Hinterholz";"psd";"RS"
"Darcísio Perondi";"pmdb";"RS"
"Davidson Magalhães";"pcdob";"BA"
"Décio Lima";"pt";"SC"
"Delegado Éder Mauro";"psd";"PA"
"Delegado Edson Moreira";"ptn";"MG"
"Delegado Waldir";"psdb";"GO"
"Deley";"ptb";"RJ"
"Diego Andrade";"psd";"MG"
"Diego Garcia";"phs";"PR"
"Dilceu Sperafico";"pp";"PR"
"Dimas Fabiano";"pp";"MG"
"Domingos Neto";"pros";"CE"
"Domingos Sávio";"psdb";"MG"
"Dr. João";"pr";"RJ"
"Dr. Jorge Silva";"pros";"ES"
"Dr. Sinval Malheiros";"pv";"SP"
"Dulce Miranda";"pmdb";"TO"
"Edinho Bez";"pmdb";"SC"
"Edio Lopes";"pmdb";"RR"
"Edmar Arruda";"psc";"PR"
"Edmilson Rodrigues";"psol";"PA"
"Eduardo Barbosa";"psdb";"MG"
"Eduardo Bolsonaro";"psc";"SP"
"Eduardo Cury";"psdb";"SP"
"Eduardo da Fonte";"pp";"PE"
"Efraim Filho";"dem";"PB"
"Elcione Barbalho";"pmdb";"PA"
"Elizeu Dionizio";"solidaried";"MS"
"Eliziane Gama";"pps";"MA"
"Elmar Nascimento";"dem";"BA"
"Enio Verri";"pt";"PR"
"Erika Kokay";"pt";"DF"
"Erivelton Santana";"psc";"BA"
"Eros Biondini";"ptb";"MG"
"Esperidião Amin";"pp";"SC"
"Evair de Melo";"pv";"ES"
"Evandro Gussi";"pv";"SP"
"Evandro Roman";"psd";"PR"
"Expedito Netto";"solidaried";"RO"
"Ezequiel Fonseca";"pp";"MT"
"Ezequiel Teixeira";"solidaried";"RJ"
"Fabiano Horta";"pt";"RJ"
"Fábio Faria";"psd";"RN"
"Fabio Garcia";"psb";"MT"
"Fábio Mitidieri";"psd";"SE"
"Fábio Ramalho";"pv";"MG"
"Fabio Reis";"pmdb";"SE"
"Fábio Sousa";"psdb";"GO"
"Fausto Pinato";"prb";"SP"
"Felipe Bornier";"psd";"RJ"
"Felipe Maia";"dem";"RN"
"Félix Mendonça Júnior";"pdt";"BA"
"Fernando Coelho Filho";"psb";"PE"
"Fernando Francischini";"solidaried";"PR"
"Fernando Jordão";"pmdb";"RJ"
"Fernando Marroni";"pt";"RS"
"Fernando Monteiro";"pp";"PE"
"Fernando Torres";"psd";"BA"
"Flávia Morais";"pdt";"GO"
"Flaviano Melo";"pmdb";"AC"
"Flavinho";"psb";"SP"
"Francisco Chapadinha";"psd";"PA"
"Francisco Floriano";"pr";"RJ"
"Gabriel Guimarães";"pt";"MG"
"Genecias Noronha";"solidaried";"CE"
"Geovania de Sá";"psdb";"SC"
"Geraldo Resende";"pmdb";"MS"
"Giacobo";"pr";"PR"
"Gilberto Nascimento";"psc";"SP"
"Giovani Cherini";"pdt";"RS"
"Giuseppe Vecci";"psdb";"GO"
"Givaldo Carimbão";"pros";"AL"
"Givaldo Vieira";"pt";"ES"
"Glauber Braga";"psb";"RJ"
"Gonzaga Patriota";"psb";"PE"
"Gorete Pereira";"pr";"CE"
"Goulart";"psd";"SP"
"Guilherme Mussi";"pp";"SP"
"Heitor Schuch";"psb";"RS"
"Helder Salomão";"pt";"ES"
"Hélio Leite";"dem";"PA"
"Henrique Fontana";"pt";"RS"
"Heráclito Fortes";"psb";"PI"
"Herculano Passos";"psd";"SP"
"Hermes Parcianello";"pmdb";"PR"
"Heuler Cruvinel";"psd";"GO"
"Hildo Rocha";"pmdb";"MA"
"Hiran Gonçalves";"pmn";"RR"
"Hissa Abrahão";"pps";"AM"
"Hugo Leal";"pros";"RJ"
"Hugo Motta";"pmdb";"PB"
"Indio da Costa";"psd";"RJ"
"Iracema Portella";"pp";"PI"
"Irajá Abreu";"psd";"TO"
"Irmão Lazaro";"psc";"BA"
"Ivan Valente";"psol";"SP"
"Izalci";"psdb";"DF"
"Jaime Martins";"psd";"MG"
"Jair Bolsonaro";"pp";"RJ"
"Jandira Feghali";"pcdob";"RJ"
"Janete Capiberibe";"psb";"AP"
"Jarbas Vasconcelos";"pmdb";"PE"
"Jean Wyllys";"psol";"RJ"
"Jefferson Campos";"psd";"SP"
"Jerônimo Goergen";"pp";"RS"
"Jéssica Sales";"pmdb";"AC"
"JHC";"solidaried";"AL"
"Jhonatan de Jesus";"prb";"RR"
"Jô Moraes";"pcdob";"MG"
"João Arruda";"pmdb";"PR"
"João Campos";"psdb";"GO"
"João Carlos Bacelar";"pr";"BA"
"João Castelo";"psdb";"MA"
"João Daniel";"pt";"SE"
"João Derly";"pcdob";"RS"
"João Fernando Coutinho";"psb";"PE"
"João Gualberto";"psdb";"BA"
"João Marcelo Souza";"pmdb";"MA"
"João Paulo Papa";"psdb";"SP"
"João Rodrigues";"psd";"SC"
"Joaquim Passarinho";"psd";"PA"
"Jony Marcos";"prb";"SE"
"Jorge Boeira";"pp";"SC"
"Jorge Côrte Real";"ptb";"PE"
"Jorge Solla";"pt";"BA"
"Jorge Tadeu Mudalen";"dem";"SP"
"Jorginho Mello";"pr";"SC"
"José Airton Cirilo";"pt";"CE"
"José Carlos Aleluia";"dem";"BA"
"José Carlos Araújo";"psd";"BA"
"José Fogaça";"pmdb";"RS"
"José Guimarães";"pt";"CE"
"José Maia Filho";"solidaried";"PI"
"José Mentor";"pt";"SP"
"José Nunes";"psd";"BA"
"José Otávio Germano";"pp";"RS"
"José Priante";"pmdb";"PA"
"José Reinaldo";"psb";"MA"
"José Rocha";"pr";"BA"
"Jose Stédile";"psb";"RS"
"Josi Nunes";"pmdb";"TO"
"Josué Bengtson";"ptb";"PA"
"Jovair Arantes";"ptb";"GO"
"Jozi Rocha";"ptb";"AP"
"Júlia Marinho";"psc";"PA"
"Júlio Cesar";"psd";"PI"
"Júlio Delgado";"psb";"MG"
"Julio Lopes";"pp";"RJ"
"Junior Marreca";"pen";"MA"
"Juscelino Filho";"prp";"MA"
"Jutahy Junior";"psdb";"BA"
"Kaio Maniçoba";"phs";"PE"
"Keiko Ota";"psb";"SP"
"Laercio Oliveira";"solidaried";"SE"
"Laerte Bessa";"pr";"DF"
"Laudivio Carvalho";"pmdb";"MG"
"Lázaro Botelho";"pp";"TO"
"Leandre";"pv";"PR"
"Lelo Coimbra";"pmdb";"ES"
"Leo de Brito";"pt";"AC"
"Leonardo Monteiro";"pt";"MG"
"Leonardo Picciani";"pmdb";"RJ"
"Leonardo Quintão";"pmdb";"MG"
"Leônidas Cristino";"pros";"CE"
"Leopoldo Meyer";"psb";"PR"
"Lincoln Portela";"pr";"MG"
"Lindomar Garçon";"pmdb";"RO"
"Lobbe Neto";"psdb";"SP"
"Lucas Vergilio";"solidaried";"GO"
"Luciana Santos";"pcdob";"PE"
