movieTitle,movieRating,year,Type
Gladiator,8.5,2000,winner
Gladiator,8.5,2000.1,best rating
A Beautiful Mind,8.2,2001,winner
The Lord of the Rings: The Fellowship of the Ring,8.8,2001.1,best rating
Chicago,7.2,2002,winner
The Lord of the Rings: The Two Towers,8.7,2002.1,best rating
The Lord of the Rings: The Return of the King,8.9,2003,winner
The Lord of the Rings: The Return of the King,8.9,2003.1,best rating
Million Dollar Baby,8.1,2004,winner
Million Dollar Baby,8.1,2004.1,best rating
Crash,7.9,2005,winner
Crash,7.9,2005.1,best rating
The Departed,8.5,2006,winner
The Departed,8.5,2006.1,best rating
No Country for Old Men,8.1,2007,winner
No Country for Old Men,8.1,2007.1,best rating
Slumdog Millionaire,8,2008,winner
Slumdog Millionaire,8,2008.1,best rating
The Hurt Locker,7.6,2009,winner
Inglourious Basterds,8.3,2009.1,best rating
The King's Speech,8.1,2010,winner
Inception,8.8,2010.1,best rating
The Artist,8,2011,winner
The Help,8.1,2011.1,best rating
Argo,7.8,2012,winner
Django Unchained,8.5,2012.1,best rating
12 Years a Slave,8.1,2013,winner
The Wolf of Wall Street,8.2,2013.1,best rating
Birdman: Or (The Unexpected Virtue of Ignorance),7.9,2014,winner
Whiplash,8.6,2014.1,best rating
