,genres,idIMDB,ranking,rating,releaseDate,title
1,Drama,tt0111161,1,9.3,19941014,The Shawshank Redemption
2,Drama,tt0068646,2,9.2,19720324,The Godfather
3,Drama,tt0071562,3,9.1,19741220,The Godfather: Part II
4,Drama,tt0468569,4,9,20080718,The Dark Knight
5,Drama,tt0108052,5,8.9,19940204,Schindler's List
6,Drama,tt0050083,6,8.9,195704,12 Angry Men
7,Drama,tt0110912,7,8.9,19941014,Pulp Fiction
8,Western,tt0060196,8,8.9,19680308,"The Good, the Bad and the Ugly"
9,Adventure,tt0167260,9,8.9,20031217,The Lord of the Rings: The Return of the King
10,Drama,tt0137523,10,8.9,19991015,Fight Club
11,Adventure,tt0120737,11,8.8,20011219,The Lord of the Rings: The Fellowship of the Ring
12,Action,tt0080684,12,8.8,19800620,Star Wars: Episode V - The Empire Strikes Back
13,Drama,tt0109830,13,8.8,19940706,Forrest Gump
14,Action,tt1375666,14,8.8,20100716,Inception
15,Drama,tt0073486,15,8.7,19751121,One Flew Over the Cuckoo's Nest
16,Adventure,tt0167261,16,8.7,20021218,The Lord of the Rings: The Two Towers
17,Drama,tt0099685,17,8.7,19900921,Goodfellas
18,Action,tt0133093,18,8.7,19990331,The Matrix
19,Action,tt0076759,19,8.7,19770525,Star Wars: Episode IV - A New Hope
20,Drama,tt0047478,20,8.7,19561119,Seven Samurai
21,Drama,tt0317248,21,8.7,20040213,City of God
22,Drama,tt0114369,22,8.6,19950922,Se7en
23,Drama,tt0102926,23,8.6,19910214,The Silence of the Lambs
24,Drama,tt0114814,24,8.6,19950915,The Usual Suspects
25,Drama,tt0038650,25,8.6,19470107,It's a Wonderful Life
26,Drama,tt0118799,26,8.6,19990212,Life Is Beautiful
27,Drama,tt0110413,27,8.6,19941118,Léon: The Professional
28,Western,tt0064116,28,8.6,19690827,Once Upon a Time in the West
29,Drama,tt0816692,29,8.7,20141107,Interstellar
30,Drama,tt0120815,30,8.6,19980724,Saving Private Ryan
31,Drama,tt0120586,31,8.6,19981120,American History X
32,Animation,tt0245429,32,8.6,20030328,Spirited Away
