"tipo","numero","ano","ementa","explicacao_ementa"
"MPV",676,2015,"Altera a Lei nº 8.213, de 24 de julho de 1991, que dispõe sobre os Planos de Benefícios da Previdência Social.

NOVA EMENTA: Altera as Leis nºs 8.212, de 24 de julho de 1991, e 8.213, de 24 de julho de 1991, para tratar da associação do segurado especial em cooperativa de crédito rural e, ainda essa última, para atualizar o rol de dependentes, estabelecer regra de não incidência do fator previdenciário, regras de pensão por morte e de empréstimo consignado, a Lei nº 10.779, de 25 de novembro de 2003, para assegurar pagamento do seguro-defeso para familiar que exerça atividade de apoio à pesca, a Lei nº 12.618, de 30 de abril de 2012, para estabelecer regra de inscrição no regime de previdência complementar dos servidores públicos federais titulares de cargo efetivo, a Lei nº 10.820, de 17 de dezembro de 2003, para dispor sobre o pagamento de empréstimos realizados por participantes e assistidos com entidades fechadas e abertas de previdência complementar e a Lei nº 7.998, de 11 de janeiro de 1990; e dá outras providências.","Estabelece fórmula progressiva para o cálculo das aposentadorias."
"PLP",25,2015,"Dá nova redação ao §1º do art. 1º da Lei Complementar nº 94, de 19 de novembro de 1998, que autoriza o Poder Executivo a criar a Região Integrada de Desenvolvimento do Distrito Federal e Entorno - RIDE e instituir o Programa Especial de Desenvolvimento do Entorno do Distrito Federal, e dá outras providências.",NA
"REQ",9909,2014,"Requer regime de urgência na apreciação do Projeto de Lei nº 5.201, de 2013, que ""altera a Lei nº 11.345, de 14 de setembro de 2006, para modificar a destinação dos valores arrecadados no concurso de prognóstico denominado Timemania com o objetivo de torná-la mais atraente para seus apostadores e de aumentar a capacidade de pagamento das entidades desportivas quanto às suas dívidas fiscais junto à União, e dá outras providências"" e apensado (PL6753/13) - PROFORTE.",NA
"PEC",443,2009,"Fixa parâmetros para a remuneração dos advogados públicos.",NA
"PEC",590,2006,"Dá nova redação ao parágrafo 1º do art. 58  da Constituição Federal.

NOVA EMENTA: Dá nova redação ao § 1º do art. 58 da Constituição Federal, para garantir a representação proporcional de cada sexo na composição das Mesas e Comissões do Congresso Nacional, da Câmara dos Deputados e do Senado Federal.","Garante a representação proporcional de cada sexo na composição das Mesas Diretoras da Câmara dos Deputados e do Senado e de cada Comissão, assegurando, ao menos, uma vaga para cada sexo."
"PL",10,2015,"Altera o art. 2º do Decreto-Lei nº 2.296, de 21 de novembro de 1986, a alínea ""p"" do § 9º do art. 28 da Lei nº 8.212, de 24 de julho de 1991 e o art. 63 da Medida Provisória nº 2.158-35, de 24 de agosto de 2001, e dá outras providências.","Trata da estruturação de seguros de vida com cláusula de cobertura por sobrevivência, incluindo os que contarão com isenção tributária."
"PEC",171,1993,"Altera a redação do art. 228 da Constituição Federal (imputabilidade penal do maior de dezesseis anos).",NA
"MPV",668,2015,"Altera a Lei nº 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/PASEP- Importação e da COFINS-Importação, e dá outras providências.

NOVA EMENTA: Altera as Leis nºs 10.865, de 30 de abril de 2004, para elevar alíquotas da Contribuição para o PIS/Pasep-Importação e da Cofins-Importação, 11.941, de 27 de maio de 2009, 11.079, de 30 de dezembro de 2004, 10.925, de 23 de julho de 2004, 11.051, de 29 de dezembro de 2004, 7.827, de 27 de setembro de 1989, 8.212, de 24 de julho de 1991, 8.935, de 18 de novembro de 1994, 10.150, de 21 de dezembro de 2000, 12.810, de 15 de maio de 2013, 5.861, de 12 de dezembro de 1972, 13.043, de 13 de novembro de 2014, 10.522, de 19 de julho de 2002, 12.469, de 26 de agosto de 2011, 12.995, de 18 de junho de 2014, 13.097, de 19 de janeiro de 2015, 10.996, de 15 de dezembro de 2004, 11.196, de 21 de novembro de 2005, 10.833, de 29 de dezembro de 2003, e 12.024, de 27 de agosto de 2009, e o Decreto-Lei nº 1.598, de 26 de dezembro de 1977; revoga dispositivos das Leis nºs 4.380, de 21 de agosto de 1964, 9.430, de 27 de dezembro de 1996, e 8.177, de 1º de março de 1991; e dá outras providências.","Altera a Lei  nº 11.941 de 2009."
"REQ",10903,2014,"Requer, nos termos do artigo 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 1.462, de 2007, que ""obriga, nas hipóteses que especifica, a veiculação de mensagens de advertência sobre o risco de escassez e de incentivo ao consumo moderado de água"".",NA
"REQ",1121,2015,"Solicita a convocação do Senhor GILES AZEVEDO, para prestar depoimento na CPI PETROBRAS.",NA
"PL",846,2015,"Acrescenta parágrafo ao artigo 121 do Decreto-lei nº 2.848, de 07 de dezembro de 1940 - Código Penal.

NOVA EMENTA: Altera os arts. 121 e 129 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal, e o art. 1º da Lei nº 8.072, de 25 de julho de 1990 - Lei dos Crimes Hediondos.",NA
"PEC",352,2013,"Altera os arts. 14, 17, 27, 29, 45 e 121 da Constituição Federal, para tornar o voto facultativo, modificar o sistema eleitoral e de coligações, dispor sobre o financiamento de campanhas eleitorais, estabelecer cláusulas de desempenho para candidatos e partidos, prazo mínimo de filiação partidária e critérios para o registro dos estatutos do partido no Tribunal Superior Eleitoral, determinar a coincidência das eleições e a proibição da reeleição para cargos do Poder Executivo, regular as competências da Justiça Eleitoral e submeter a referendo as alterações relativas ao sistema eleitoral.",NA
"PLP",366,2013,"Altera a Lei Complementar nº 116, de 31 de julho de 2003, que dispõe sobre o Imposto sobre Serviços de Qualquer Natureza; a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa); e a Lei Complementar nº 63, de 11 de janeiro de 1990, que dispõe sobre critérios e prazos de crédito das parcelas do produto da arrecadação de impostos de competência dos Estados e de transferências por estes recebidas, pertencentes aos Municípios, e dá outras providências.",NA
"REQ",1041,2015,"Requeremos a Vossa Excelência, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei n° 6232, de 2013, que ""Dispõe sobre a criação de 1 (uma) vara federal no Estado do Rio Grande do Sul e sobre a criação de cargos efetivos e em comissão e funções comissionadas no Quadro de Pessoal da Justiça Federal e dá outras providências"".",NA
"PL",5735,2013,"Altera dispositivos da Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), da Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos) e da Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições).","Promove ajustes à legislação eleitoral."
"REQ",796,2015,"Requer a convocação dos Srs MILTON PASCOWITCH e PEDRO BARUSCO, para acareação a fim de esclarecer fatos referentes a desvio de dinheiro da Petrobras a esta CPI",NA
"REQ",739,2015,"Requer regime de urgência na apreciação do Projeto de Lei 6361 de 2013 que ""denomina Rodovia PRESIDENTE NEREU RAMOS a BR-282 no Estado de Santa Catarina"".",NA
"PRC",11,2015,"Altera o Regimento Interno da Câmara dos Deputados, aprovado pela Resolução n° 17, de 21 de setembro de 1989, para dispor sobre a Secretaria de Comunicação Social.",NA
"REQ",2738,2015,"Requer regime de urgência para apreciação de proposição.",NA
"REQ",8530,2013,"Requeremos, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, urgência para a tramitação do Projeto de Lei nº 4330 de 2004, de autoria do Sr. Deputado Sandro Mabel - PMDB/GO, que dispõe sobre contrato de prestação de serviço a terceiros e as relações de trabalho dele decorrentes.",NA
"PLP",124,2015,"Dispõe sobre a aposentadoria compulsória por idade, com proventos proporcionais, nos termos do inciso II do § 1º do art. 40 da Constituição Federal.",NA
"REQ",7492,2013,"Requer, nos termos do art. 155 do Regimento Interno da Câmara dos Deputados, urgência para apreciação do Projeto de Lei nº 4.372, de 2012, do Executivo, que ""cria o Instituto Nacional de Supervisão e Avaliação da Educação Superior - INSAES, e dá outras providências"".",NA
"REQ",894,2015,"Requer que a CPI PETROBRAS sugira ao Procurador-Geral da República que tome as providências necessárias à declaração de nulidade dos procedimentos licitatórios realizados pela Empresa Petróleo Brasileiro S/A (PETROBRAS) e pela Sete Brasil Participações S/A (SETE BRASIL) comprovadamente fraudados e dos contratos considerados irregulares no âmbito da Operação Lava Jato, assim como ao impedimento do repasse do objeto desses contratos a terceiros, sem o prévio procedimento licitatório, e à responsabilização dos que aceitarem dar continuidade à execução do contrato ilícito.",NA
"PEC",471,2005,"Dá nova redação ao parágrafo 3º do art. 236 da Constituição Federal.","Estabelece a efetivação para os atuais responsáveis e substitutos pelos serviços notariais, investidos na forma da lei.  Conhecida como ""PEC dos Cartórios""."
"PL",7924,2014,"Dispõe sobre o subsídio do Defensor Público-Geral  Federal e dá outras providências.","Será de R$ 35.919,05 (trinta e cinco mil novecentos e dezenove reais e cinco centavos) a partir  de 01 de janeiro de 2015."
"PL",7699,2006,"Institui o Estatuto do Portador de Deficiência e dá outras providências.

NOVA EMENTA: Institui a Lei Brasileira da Inclusão da Pessoa com Deficiência; altera as Leis nºs 4.737, de 15 de julho de 1965, 7.853, de 24 de outubro de 1989, 8.036, de 11 de maio de 1990, 8.078, de 11 de setembro de 1990, 8.213, de 24 de julho de 1991, 8.313, de 23 de dezembro de 1991, 8.429, de 2 de junho de 1992, 8.666, de 21 de junho de 1993, 8.742, de 7 de dezembro de 1993, 8.989, de 24 de fevereiro de 1995, 9.029, de 13 de abril de 1995, 9.250, de 26 de dezembro de 1995,  9.503, de 23 de setembro de 1997, 9.615, de 24 de março de 1998, 10.048, de 8 de novembro de 2000, 10.098, de 19 de dezembro de 2000, 10.257, de 10 de julho de 2001, 10.406, de 10 de janeiro de 2002, 11.126, de 27 de junho de 2005, 11.904, de 14 de janeiro de 2009, e 12.587, de 3 de janeiro de 2012, e a Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943; e revoga dispositivo da Lei nº 9.008, de 21 de março de 1995.",NA
"PDC",1410,2013,"Aprova o texto do Acordo de Cooperação Técnica entre o Governo da República Federativa do Brasil e o Governo da República da Guiné, assinado em Brasília, em 21 de novembro de 2011.",NA
"REQ",796,2015,"Requer regime de urgência para apreciação de proposição.",NA
"MPV",661,2014,"Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias.

NOVA EMENTA: Autoriza a União a conceder crédito ao Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a destinar superávit financeiro das fontes de recursos existentes no Tesouro Nacional à cobertura de despesas primárias obrigatórias; e altera as Leis nºs 12.096, de 24 de novembro de 2009, 10.820, de 17 de dezembro de 2003, 8.213, de 24 de julho de 1991, e 8.112, de 11 de dezembro de 1990.",NA
"PL",3771,2012,"Dispõe sobre a política de valorização de longo prazo do salário mínimo.",NA
"PL",2211,2007,"Dispõe sobre a perda do mandato parlamentar em casos de desfiliação ou infidelidade partidária.","Altera as Leis nºs 9.096, de 1995 e 9.504, de 1997."
