Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Luiza Erundina,PSB       ,SP,Obstrução      ,74784,GOV.,Liberado       
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Chico D Angelo,PT        ,RJ,Obstrução      ,141439,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Odorico Monteiro,PT        ,CE,Obstrução      ,178868,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Fabiano Horta,PT        ,RJ,Obstrução      ,146829,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Rubens Pereira Júnior,PCdoB     ,MA,Obstrução      ,178887,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Dr. Jorge Silva,PROS      ,ES,Não            ,160643,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Décio Lima,PT        ,SC,Não            ,141413,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Adelmo Carneiro Leão,PT        ,MG,Obstrução      ,178890,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Eduardo Bolsonaro,PSC       ,SP,Sim            ,92346,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Luiz Couto,PT        ,PB,Obstrução      ,74041,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Afonso Florence,PT        ,BA,Não            ,160508,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Hugo Leal,PROS      ,RJ,Não            ,141450,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Jarbas Vasconcelos,PMDB      ,PE,Abstenção      ,131943,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Alessandro Molon,PT        ,RJ,Não            ,160511,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,João Marcelo,PMDB      ,MA,Obstrução      ,112437,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Roberto Góes,PDT       ,AP,Obstrução      ,178995,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Aliel Machado,PCdoB     ,PR,Obstrução      ,178927,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Sérgio Moraes,PTB       ,RS,Não            ,141542,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Vicente Candido,PT        ,SP,Não            ,160622,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Esperidião Amin,PP        ,SC,Obstrução      ,160649,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Enio Verri,PT        ,PR,Obstrução      ,132504,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Helder Salomão,PT        ,ES,Obstrução      ,178873,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Antonio Balhmann,PROS      ,CE,Não            ,74213,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Nelson Marquezelli,PTB       ,SP,Sim            ,73553,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,José Reinaldo,PSB       ,MA,Sim            ,73714,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Valmir Prascidelli,PT        ,SP,Obstrução      ,113247,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Janete Capiberibe,PSB       ,AP,Obstrução      ,73926,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Assis Carvalho,PT        ,PI,Obstrução      ,159237,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Miguel Haddad,PSDB      ,SP,Não            ,178984,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Laercio Oliveira,Solidaried,SE,Não            ,151208,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Márcio Marinho,PRB       ,BA,Sim            ,150418,-,-
2015,11,PRC,12/3/2015,18:54,PROJETO DE RESOLUÇÃO,Aprovado o Projeto de Resolução nº 11 de 2015. Sim: 226; não: 43; abstenção: 9; total: 278.,5467,Cleber Verde,PRB       ,MA,Sim            ,141408,-,-
