Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Liberado       
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Chico D Angelo,PT        ,RJ,Sim            ,141439,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Maria do Rosário,PT        ,RS,Sim            ,74398,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Odorico Monteiro,PT        ,CE,Sim            ,178868,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Wolney Queiroz,PDT       ,PE,Sim            ,74439,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Fabiano Horta,PT        ,RJ,Sim            ,146829,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Rubens Pereira Júnior,PCdoB     ,MA,Não            ,178887,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Ricardo Tripoli,PSDB      ,SP,Sim            ,141472,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Eduardo Bolsonaro,PSC       ,SP,Sim            ,92346,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Luiz Couto,PT        ,PB,Sim            ,74041,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Afonso Florence,PT        ,BA,Sim            ,160508,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Hugo Leal,PROS      ,RJ,Sim            ,141450,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Irmão Lazaro,PSC       ,BA,Sim            ,178855,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Alessandro Molon,PT        ,RJ,Sim            ,160511,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Vanderlei Macris,PSDB      ,SP,Sim            ,141553,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Jhonatan de Jesus,PRB       ,RR,Sim            ,160531,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Hugo Motta,PMDB      ,PB,Sim            ,160674,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Daniel Almeida,PCdoB     ,BA,Não            ,74060,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Enio Verri,PT        ,PR,Sim            ,132504,-,-
2015,1121,REQ,24/3/2015,19:20,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7224/2006,,5477,Fábio Faria,PSD       ,RN,Sim            ,141428,-,-
