Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Luiza Erundina,PSB       ,SP,Obstrução      ,74784,GOV.,Liberado       
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Lázaro Botelho,PP        ,TO,Não            ,141480,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Sérgio Brito,PSD       ,BA,Não            ,73808,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Erivelton Santana,PSC       ,BA,Não            ,99654,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Osmar Serraglio,PMDB      ,PR,Não            ,73463,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Bruno Araújo,PSDB      ,PE,Não            ,141394,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Capitão Fábio Abreu,PTB       ,PI,Obstrução      ,178924,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Cacá Leão,PP        ,BA,Não            ,93083,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Dimas Fabiano,PP        ,MG,Não            ,160599,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Hélio Leite,DEM       ,PA,Não            ,178909,-,-
2013,352,PEC,3/2/2015,22:04,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 22; não: 246; abstenção: 6; total: 274.,5436,Carlos Gomes,PRB       ,RS,Obstrução      ,178962,-,-
