Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Luiza Erundina,PSB       ,SP,Sim            ,74784,GOV.,Liberado       
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Maria do Rosário,PT        ,RS,Sim            ,74398,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Odorico Monteiro,PT        ,CE,Sim            ,178868,-,-
2015,37,PLP,24/3/2015,21:02,PROJETO DE LEI COMPLEMENTAR,Aprovado o Projeto de Lei Complementar nº 37 de 2015. Sim: 389; não: 2; total: 391.,5478,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
