Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2014,665,MPV,6/5/2015,15:29,REQUERIMENTO DE RETIRADA DE PAUTA,Rejeitado o Requerimento. Sim: 180; não: 229; total: 409.,5519,Renato Molling,PP        ,RS,Sim            ,141527,GOV.,Não            
2014,665,MPV,6/5/2015,17:24,EFEITO SUSPENSIVO,,5520,Renato Molling,PP        ,RS,Não            ,141527,GOV.,Não            
2014,665,MPV,6/5/2015,17:57,REQ. DE VOTAÇÃO NOMINAL P/ O REQ. DE ENCERRAMENTO DISCUSSÃO E ENCAMINHAMENTO,Rejeitado o Requerimento. Sim: 49; não: 304; abstenção: 13; total: 366.,5520,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,6/5/2015,19:35,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,Rejeitado o Requerimento. Sim: 90; não: 283; abstenção: 8; total: 381.,5520,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,6/5/2015,21:31,PROJETO DE LEI DE CONVERSÃO,Aprovado o Projeto de Lei de Conversão nº 3 de 2015 apresentado à Medida Provisória nº 665 de 2014  ressalvados os destaques. Sim: 252; não: 227; abstenção: 1; total: 480.,5520,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,6/5/2015,22:03,DVS - SD - ART. 9º DA LEI Nº 7.998/1990  MODIFICADO PELO ART. 1 DO PLV,Mantido o artigo destacado. Sim: 247; não: 220; abstenção: 4; total: 471.,5520,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,6/5/2015,22:22,DVS - PSB - EXPR. "CONTRATADO POR PRAZO INDETERMINADO",Mantida a expressão destacada. Sim: 234; não: 229; abstenção: 2; total: 465.,5520,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,7/5/2015,14:51,DVS - DEM - ART. 3º DA LEI 7998/90,Mantido o texto destacado. Sim: 258; não: 195; abstenção:3; total: 456.
,5522,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,7/5/2015,16:15,EMENDA AGLUTINATIVA Nº 1,Rejeitada a Emenda. Sim: 186; não: 251; abstenção:3; total: 440.,5522,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,7/5/2015,16:39,DVS - PSDB - INCISO I DO ART. 3º DA LEI 7998/90,Mantido o texto destacado. Sim: 253; não: 186; abstenção:4; total: 443.,5522,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,7/5/2015,17:11,DVS - PSDB - EMENDA Nº 208,Rejeitada a Emenda. Sim: 179; não: 241; abstenção: 2; total: 422;
,5523,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,7/5/2015,17:28,DVS - PSOL - EMENDA Nº 98,Rejeitada a Emenda. Sim: 155; não: 255; abstenção: 7; total: 417.,5523,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,7/5/2015,17:48,DVS - PPS - EMENDA Nº 94,Rejeitada a Emenda. Sim: 180; não: 241; abstenção: 3; total: 424.,5523,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
2014,665,MPV,7/5/2015,17:59,DVS - PMDB - ART. 2º DO PLV,Mantido o texto destacado. Sim: 223; não: 180; abstenção: 3; total: 406.,5523,Renzo Braz,PP        ,MG,Não            ,160654,GOV.,Sim            
2014,665,MPV,7/5/2015,18:19,DVS - PDT - EMENDA 68,Rejeitada a Emenda. Sim: 180; não: 244; abstenção: 2; total: 426.,5523,Renzo Braz,PP        ,MG,Sim            ,160654,GOV.,Não            
