Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Sim            
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Erivelton Santana,PSC       ,BA,Sim            ,99654,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Chico D Angelo,PT        ,RJ,Sim            ,141439,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Odorico Monteiro,PT        ,CE,Sim            ,178868,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Wolney Queiroz,PDT       ,PE,Sim            ,74439,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Fabiano Horta,PT        ,RJ,Sim            ,146829,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Rubens Pereira Júnior,PCdoB     ,MA,Sim            ,178887,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Ricardo Tripoli,PSDB      ,SP,Sim            ,141472,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Dr. Jorge Silva,PROS      ,ES,Sim            ,160643,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Eduardo Bolsonaro,PSC       ,SP,Sim            ,92346,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Luiz Couto,PT        ,PB,Sim            ,74041,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Afonso Florence,PT        ,BA,Sim            ,160508,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Hugo Leal,PROS      ,RJ,Sim            ,141450,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Arthur Lira,PP        ,AL,Sim            ,160541,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Irmão Lazaro,PSC       ,BA,Sim            ,178855,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Alan Rick,PRB       ,AC,Sim            ,178836,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Odelmo Leão,PP        ,MG,Sim            ,74752,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Alessandro Molon,PT        ,RJ,Sim            ,160511,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Felipe Maia,DEM       ,RN,Sim            ,141429,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,João Marcelo Souza,PMDB      ,MA,Sim            ,112437,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Remídio Monai,PR        ,RR,Sim            ,178960,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Aliel Machado,PCdoB     ,PR,Sim            ,178927,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Francisco Chapadinha,PSD       ,PA,Sim            ,178907,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Fausto Pinato,PRB       ,SP,Sim            ,66828,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Leonardo Picciani,PMDB      ,RJ,Sim            ,74254,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Sérgio Moraes,PTB       ,RS,Sim            ,141542,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Jhonatan de Jesus,PRB       ,RR,Sim            ,160531,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Hugo Motta,PMDB      ,PB,Sim            ,160674,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Vicente Candido,PT        ,SP,Sim            ,160622,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Daniel Almeida,PCdoB     ,BA,Sim            ,74060,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Esperidião Amin,PP        ,SC,Sim            ,160649,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Cristiane Brasil,PTB       ,RJ,Sim            ,93472,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Enio Verri,PT        ,PR,Sim            ,132504,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Fábio Faria,PSD       ,RN,Sim            ,141428,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Delegado Waldir,PSDB      ,GO,Sim            ,164359,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Helder Salomão,PT        ,ES,Sim            ,178873,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Antonio Balhmann,PROS      ,CE,Sim            ,74213,-,-
2007,789,PL,25/3/2015,22:21,REQ. DE PREFERÊNCIA PARA VOTAÇÃO DO PL Nº 8.077/2014,Aprovado o destaque de preferência. Sim: 375; não: 5; abstenção: 2; total: 382.,5480,Nelson Marquezelli,PTB       ,SP,Sim            ,73553,-,-
