Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Liberado       
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Lázaro Botelho,PP        ,TO,Não            ,141480,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Erivelton Santana,PSC       ,BA,Sim            ,99654,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Cacá Leão,PP        ,BA,Não            ,93083,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Chico D Angelo,PT        ,RJ,Não            ,141439,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2015,846,PL,26/3/2015,13:54,DVS PPS - ART 3º DA SUBEMENDA SUBSTITUTIVA,Mantido o texto. Sim: 215; não: 100; abstenção: 5; total: 320.,5481,Odorico Monteiro,PT        ,CE,Obstrução      ,178868,-,-
