Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Não            
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Roberto Alves,PRB       ,SP,Não            ,152610,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Sérgio Brito,PSD       ,BA,Sim            ,73808,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Erivelton Santana,PSC       ,BA,Sim            ,99654,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Bruno Araújo,PSDB      ,PE,Sim            ,141394,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Chico D Angelo,PT        ,RJ,Não            ,141439,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Hélio Leite,DEM       ,PA,Sim            ,178909,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Maria do Rosário,PT        ,RS,Não            ,74398,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Odorico Monteiro,PT        ,CE,Não            ,178868,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Wolney Queiroz,PDT       ,PE,Não            ,74439,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,João Rodrigues,PSD       ,SC,Sim            ,160571,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Fabiano Horta,PT        ,RJ,Não            ,146829,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Rubens Pereira Júnior,PCdoB     ,MA,Não            ,178887,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Ricardo Tripoli,PSDB      ,SP,Sim            ,141472,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Dr. Jorge Silva,PROS      ,ES,Não            ,160643,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Décio Lima,PT        ,SC,Não            ,141413,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Adelmo Carneiro Leão,PT        ,MG,Não            ,178890,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Eduardo Bolsonaro,PSC       ,SP,Sim            ,92346,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Luiz Carlos Hauly,PSDB      ,PR,Sim            ,73778,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Luiz Couto,PT        ,PB,Não            ,74041,-,-
2013,8530,REQ,7/4/2015,21:30,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 4330/2004,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 316; não: 166; abstenção: 3; total: 485.,5491,Afonso Florence,PT        ,BA,Não            ,160508,-,-
