id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer,Prosseguimento da 2ª denúncia contra Temer
178957,Abel Mesquita Jr.,dem,RR,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,-1,1,0,0,1,1,0,1
73579,Alberto Fraga,dem,DF,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0
160545,Alexandre Leite,dem,SP,1,1,-2,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,-1,1,1,1,-2,-2
74651,Carlos Melles,dem,MG,1,0,1,1,1,1,1,1,1,1,-1,0,1,0,1,1,1,1,-1,1,1,1,0,0
74537,Claudio Cajado,dem,BA,-1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,-1,1,-1,1,0,0
141422,Efraim Filho,dem,PB,1,1,1,1,1,1,-1,1,1,1,0,0,0,0,1,-1,-1,1,1,1,1,1,0,0
160532,Eli Corrêa Filho,dem,SP,-1,-1,1,-1,1,-1,1,1,1,1,0,1,0,0,1,0,1,1,-1,1,1,1,0,0
178854,Elmar Nascimento,dem,BA,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,0,1,1,1,1,1,0,0
141429,Felipe Maia,dem,RN,1,1,-2,1,1,1,1,1,1,1,0,1,0,0,1,1,-1,1,1,1,1,1,0,0
160677,Francisco Floriano,dem,RJ,0,1,-2,0,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,0,1,1,0,0
178909,Hélio Leite,dem,PA,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,-1,1,0,0
73535,Jorge Tadeu Mudalen,dem,SP,1,0,-2,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0
74553,José Carlos Aleluia,dem,BA,1,0,-1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
178886,Juscelino Filho,dem,MA,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
160633,Mandetta,dem,MS,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1
160660,Marcelo Aguiar,dem,SP,1,0,-2,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,1,1,-1,0,0
167722,Marcos Rogério,dem,RO,0,0,-2,-2,0,0,1,1,1,1,0,1,0,1,0,0,-1,1,-1,1,1,1,1,1
178943,Marcos Soares,dem,RJ,1,1,0,-1,-1,-1,1,1,1,1,1,1,0,1,-1,-2,-1,-2,-1,1,1,1,0,-1
74428,Mendonça Filho,dem,PE,1,0,-1,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,1,1,1,1,1,0,0
178895,Misael Varella,dem,MG,1,1,0,1,1,0,1,1,1,1,-1,1,1,1,1,-2,1,1,1,1,1,1,0,0
160561,Missionário José Olimpio,dem,SP,1,1,-2,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0
74457,Moroni Torgan,dem,CE,1,0,1,1,1,0,1,-1,1,1,0,1,0,0,0,-1,-1,1,0,1,1,1,-1,-1
66179,Norma Ayub,dem,ES,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
74399,Onyx Lorenzoni,dem,RS,-1,0,0,-1,-1,-1,-1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,1
180545,Osmar Bertoldi,dem,PR,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,0,-1,1,1,-1,1,-1,-1,-1,-1,0,0
74095,Pauderney Avelino,dem,AM,-1,0,-2,1,1,1,-1,1,1,1,0,1,0,0,1,1,-1,1,-1,1,1,1,0,0
178860,Paulo Azi,dem,BA,1,0,-2,1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,0,0
160639,Professora Dorinha Seabra Rezende,dem,TO,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,-1,1,1,1,0,0
74693,Rodrigo Maia,dem,RJ,1,0,-2,1,1,1,1,-4,1,1,1,1,1,0,1,-4,-1,1,1,1,1,1,-1,-1
178947,Sóstenes Cavalcante,dem,RJ,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,-1,0,1,1,1,1,1,1,1
195866,Vaidon Oliveira,dem,CE,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,0
74057,Alice Portugal,pcdob,BA,0,0,1,1,0,0,-1,0,0,-1,-1,1,1,0,0,0,1,0,0,0,1,0,1,1
160581,Assis Melo,pcdob,RS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
141440,Chico Lopes,pcdob,CE,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
74060,Daniel Almeida,pcdob,BA,0,0,1,1,0,0,0,-1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
101309,Davidson Magalhães,pcdob,BA,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,-1,1
74848,Jandira Feghali,pcdob,RJ,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
141503,Jô Moraes,pcdob,MG,0,0,-1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,-1,0,1,1
160628,Luciana Santos,pcdob,PE,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,-1,0,1,0,1,1
195278,Moisés Diniz,pcdob,AC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1
178987,Orlando Silva,pcdob,SP,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1
