nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
dem,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pcdob,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
pdt,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0
pen,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
phs,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
pmb,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0
pmdb,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
pmn,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-10.0,1.0,1.0,1.0,0.0,1.0
pp,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
pps,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
pr,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
prb,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
pros,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0
prp,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
prtb,-10.0,0.0,-1.0,0.0,1.0,0.0,1.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-10.0,1.0,1.0,1.0,0.0,1.0
psb,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0
psc,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
psd,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0
psdb,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
psdc,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-10.0,1.0,1.0,1.0,0.0,1.0
psl,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
psol,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pt,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ptb,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0
ptc,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-10.0,1.0,1.0,1.0,0.0,1.0
ptdob,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
ptn,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0
pv,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
rede,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,-10.0,-10.0,-10.0
solidaried,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,1.0
