nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
dem,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim
pcdob,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim
pdt,sim,liberado,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,liberado,não,não,sim
pen,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
phs,sim,liberado,liberado,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
pmb,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou
pmdb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
pmn,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim
pp,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
pps,sim,não,sim,não,não,não,sim,sim,não,não,não,sim,não,não,sim,liberado,sim,sim,liberado,sim,sim
pr,liberado,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
prb,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim
pros,sim,sim,liberado,liberado,sim,liberado,sim,sim,não,não,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,não,sim
prp,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim
prtb,não votou,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim
psb,liberado,sim,liberado,não,liberado,liberado,sim,não,não,não,não,sim,não,sim,sim,sim,liberado,não,sim,não,sim
psc,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
psd,sim,liberado,sim,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,não,sim
psdb,sim,não,liberado,liberado,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,não,sim
psdc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim
psl,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim
psol,não,não,sim,não,obstrução,não,não,não,não,obstrução,não,sim,não,sim,não,não,não,não,não,não,sim
pt,liberado,não,sim,não,não,não,não,não,não,não,sim,sim,sim,sim,não,não,sim,não,sim,não,sim
ptb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim
ptc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim
ptdob,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim
ptn,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim
pv,sim,liberado,sim,não,sim,não,não,sim,não,não,liberado,sim,liberado,liberado,sim,sim,sim,não,sim,sim,sim
rede,não,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou
solidaried,sim,sim,liberado,sim,sim,sim,sim,não,sim,sim,não,sim,não,sim,sim,liberado,sim,sim,sim,não,sim
