tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,nome_votacao
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Cobrança de cursos em universidades públicas
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,Transgênico
PL,4302,1998,4,Aprovados os dispositivos do Substitutivo do Senado Federal ao Projeto de Lei nº 4.302 de 1998. com parecer pela aprovação. ressalvados os destaques. Sim: 231; não:188; abstenção: 8; total: 427.,22/3/2017,20:24,SUBSTITUTIVO DO SENADO FEDERAL,6148,Terceirização total 2017
PL,1057,2007,1,Aprovada a Subemenda Substitutiva Global de Plenário apresentada ao Projeto de Lei nº 1.057 de 2007. ressalvados os destaques. Sim: 361; não: 84; abstenção: 9; total: 454.,26/8/2015,19:14,SUBEMENDA SUBSTITUTIVA GLOBAL,5639,Infaticídio indígena
PL,4330,2004,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Constituição e Justiça e de Cidadania às Emendas de Plenário e ao Projeto de Lei nº 4.330 de 2004. ressalvados os destaques. Sim: 324; não: 137; abstenção: 2; total: 463.,8/4/2015,20:49,SUBEMENDA SUBSTITUTIVA,5494,Terceirização
PEC,171,1993,1,Rejeitado o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 171 de 1993. Sim: 303; não: 184; abstenções: 3; total: 490.,30/6/2015,00:16,SUBSTITUTIVO DA COMISSÃO ESPECIAL,5587,Maioridade 1
PEC,171,1993,4,Aprovada a Emenda Aglutinativa nº 16. Sim: 323; não: 155; abstenção: 2; total: 480.,1/7/2015,00:03,EMENDA AGLUTINATIVA Nº 16,5590,Maioridade 2
PEC,182,2007,3,Rejeitado o artigo 1º do Substitutivo. Sim: 210; não: 267; abstenção: 5; total: 482.,26/5/2015,21:49,ART. 1º DO SUBSTITUTIVO,5545,Distritao
PEC,182,2007,5,Rejeitada a Emenda Aglutinativa nº 22. Sim: 264; não: 207; abstenção: 4; total: 475.,26/5/2015,23:53,EMENDA AGLUTINATIVA Nº 22,5545,Financiamento privado para partidos e candidatos
PEC,182,2007,7,Rejeitado o artigo 8º do Substitutivo. Sim: 134; não: 311; abstenção: 3; total: 448.,10/6/2015,19:19,ARTIGO 8º DO SUBSTITUTIVO  - VOTO FACULTATIVO,5562,Voto Facultativo
PEC,182,2007,14,Aprovada a Emenda Aglutinativa nº 28. Sim: 330; não: 141; abstenção: 1; total: 472.,27/5/2015,21:08,EMENDA AGLUTINATIVA Nº 28,5547,Financiamento privado para partidos
PEC,182,2007,15,Aprovado o art. 3º do Substitutivo oferecido pelo Relator da Comissão Especial. Sim: 452; não: 19; abstenção: 1; total: 472.,27/5/2015,23:09,ARTIGO 3º DO SUBSTITUTIVO - FIM DA REELEIÇÃO,5548,Reeleição
PEC,182,2007,20,Aprovada a Emenda Aglutinativa nº 48. Sim: 348; não: 110; abstenção: 3; total: 461.,10/6/2015,20:58,EMENDA AGLUTINATIVA Nº 48,5562,Tempo Mandato
PEC,182,2007,23,Rejeitada a Emenda Aglutinativa nº 54. Sim: 220; não: 225; abstenção: 3; total: 448.,10/6/2015,22:38,EMENDA AGLUTINATIVA Nº 54,5563,Coincidência reeleição
PEC,182,2007,26,Rejeitada a Emenda Aglutinativa nº 57. Sim: 293; não: 101; abstenção: 53; tota: 447.,16/6/2015,19:07,EMENDA AGLUTINATIVA Nº 57,5569,Cota para mulheres legislativo
PEC,182,2007,28,Aprovada a Emenda Aglutinativa nº 60. Sim: 433; não: 7; abstenção: 2; total: 442.,16/6/2015,20:04,EMENDA AGLUTINATIVA Nº 60,5569,Voto impresso
MPV,665,2014,1,Aprovado o Projeto de Lei de Conversão nº 3 de 2015 apresentado à Medida Provisória nº 665 de 2014. ressalvados os destaques. Sim: 252; não: 227; abstenção: 1; total: 480.,6/5/2015,21:31,PROJETO DE LEI DE CONVERSÃO,5520,Seguro Desemprego
PLP,366,2013,1,Aprovada a Subemenda Substitutiva Global de Plenário. Sim: 293; não: 64; abstenção: 5; total: 362.,10/9/2015,13:43,SUBEMENDA SUBSTITUTIVA OFERECIDA PELO RELATOR DA CDEIC,5657,Tributação serviços de internet
MPV,664,2014,5,Aprovado o Projeto de Lei de Conversão nº 4 de 2015. apresentado à Medida Provisória nº 664 de 2014. ressalvados os destaques. Sim: 277; não: 178; abstenção: 01; total: 456.,13/5/2015,19:22,PROJETO DE LEI DE CONVERSÃO,5529,Pensão
PL,6787,2016,3,Aprovada a Subemenda Substitutiva Global apresentada pelo Relator da Comissão Especial. ressalvados os destaques. Sim: 296; não:177; total: 473.,26/4/2017,21:56,SUBEMENDA SUBSTITUTIVA GLOBAL,16186,Lei trabalhista
PL,2016,2015,1,Aprovada a Emenda Aglutinativa nº 4. Sim: 362; não: 85; abstenção: 3; total: 450.,12/8/2015,20:22,EMENDA AGLUTINATIVA Nº 4,5624,Terrorismo
