nome,id_dep,partido
Abel Mesquita Jr.,178957,pdt
Adail Carneiro,178864,phs
Adalberto Cavalcanti,178914,ptb
Adelmo Carneiro Leão,178890,pt
Adelson Barreto,178968,ptb
Ademir Camilo,133374,pros
Adilton Sachetti,178903,psb
Aelton Freitas,141372,pr
Afonso Florence,160508,pt
Afonso Hamm,136811,pp
Afonso Motta,178835,pdt
Aguinaldo Ribeiro,160527,pp
Alan Rick,178836,prb
Alberto Filho,160582,pmdb
Alberto Fraga,73579,dem
Alceu Moreira,160559,pmdb
Alessandro Molon,160511,rede
Alex Canziani,73458,ptb
Alex Manente,178972,pps
Alexandre Baldy,178875,psdb
Alexandre Leite,160545,dem
Alexandre Serfiotis,178833,psd
Alexandre Valle,178936,prp
Alfredo Kaefer,141454,psdb
Alfredo Nascimento,178846,pr
Alice Portugal,74057,pcdob
Aliel Machado,178927,rede
Altineu Côrtes,178937,pr
Aluisio Mendes,178881,psdc
Ana Perugini,178973,pt
Anderson Ferreira,160551,pr
Andre Moura,160543,psc
Andres Sanchez,178974,pt
André Abdon,178831,prb
André Figueiredo,133439,pdt
André Fufuca,178882,pen
Angelim,178837,pt
Antonio Balhmann,74213,pros
Antonio Brito,160553,ptb
Antonio Bulhões,141383,prb
Antonio Carlos Mendes Thame,73584,psdb
Antonio Imbassahy,160530,psdb
Antônio Jácome,178950,pmn
Aníbal Gomes,74212,pmdb
Ariosto Holanda,74103,pros
Arlindo Chinaglia,73433,pt
Arnaldo Faria de Sá,73434,ptb
Arnaldo Jordy,160602,pps
Arnon Bezerra,74291,ptb
Arthur Lira,160541,pp
Arthur Oliveira Maia,160600,solidaried
Arthur Virgílio Bisneto,178847,psdb
Assis Carvalho,159237,pt
Assis do Couto,74378,pt
Augusto Carvalho,73655,solidaried
Augusto Coutinho,160665,solidaried
Aureo,160512,solidaried
Bacelar,69871,ptn
Baleia Rossi,178975,pmdb
Bebeto,178834,psb
Benedita da Silva,73701,pt
Benito Gama,74535,ptb
Benjamin Maranhão,74040,solidaried
Betinho Gomes,178915,psdb
Beto Faro,141335,pt
Beto Mansur,73437,prb
Beto Rosado,178948,pp
Beto Salame,178906,pros
Bilac Pinto,141513,pr
Bohn Gass,160538,pt
Bonifácio de Andrada,74650,psdb
Bruna Furlan,160589,psdb
Brunny,178999,ptc
Bruno Araújo,141394,psdb
Bruno Covas,178976,psdb
Cabo Daciolo,178938,s.part.
Cabo Sabino,178865,pr
