id_dep,nome,partido,uf,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Maioridade 1,Maioridade 2,Pensão, Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Transgênico,Voto Facultativo,Voto impresso
73579,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,não,sim
160545,Alexandre Leite,dem,SP,sim,abstenção,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim
74651,Carlos Melles,dem,MG,não,sim,sim,sim,sim,sim,sim,não votou,não,sim,não,sim,sim,sim,sim
74537,Claudio Cajado,dem,BA,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,não votou
141422,Efraim Filho,dem,PB,sim,sim,sim,sim,sim,sim,sim,não,não,não,não,sim,sim,sim,sim
160532,Eli Corrêa Filho,dem,SP,não votou,sim,não votou,sim,não votou,sim,sim,não,sim,não,não,sim,sim,sim,sim
178854,Elmar Nascimento,dem,BA,sim,não,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,sim,sim
141429,Felipe Maia,dem,RN,sim,abstenção,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim
178909,Hélio Leite,dem,PA,não,não,não,sim,sim,sim,sim,não,não,não,não,sim,sim,sim,não votou
73535,Jorge Tadeu Mudalen,dem,SP,não,abstenção,sim,sim,não,sim,sim,não,sim,não,não,sim,sim,sim,sim
74553,José Carlos Aleluia,dem,BA,não,não votou,não,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim
160633,Mandetta,dem,MS,sim,sim,não,sim,não,não,sim,não,sim,não,não,sim,sim,sim,sim
160660,Marcelo Aguiar,dem,SP,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim
74428,Mendonça Filho,dem,PE,não,não votou,sim,sim,sim,sim,sim,não,não,não,não,não votou,sim,sim,sim
178895,Misael Varella,dem,MG,sim,não,sim,sim,não,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim
74457,Moroni Torgan,dem,CE,não,sim,sim,sim,não,sim,sim,não,sim,não,não,não,sim,sim,sim
74399,Onyx Lorenzoni,dem,RS,não,não,não votou,não votou,não votou,sim,sim,não votou,não votou,não,não,sim,sim,sim,sim
180545,Osmar Bertoldi,dem,PR,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não,não votou,sim,sim,não votou,não votou
74095,Pauderney Avelino,dem,AM,não,abstenção,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim
178860,Paulo Azi,dem,BA,não,abstenção,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim
160639,Professora Dorinha Seabra Rezende,dem,TO,sim,sim,não,sim,não,não,não,não,sim,não,sim,não,sim,sim,sim
74693,Rodrigo Maia,dem,RJ,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim
74057,Alice Portugal,pcdob,BA,não,sim,sim,não,não,não,não votou,não votou,sim,sim,não,não,não,não,sim
178927,Aliel Machado,pcdob,PR,não,sim,sim,não,não,não,não,sim,sim,não,não,não,não,não votou,sim
74474,Carlos Eduardo Cadoca,pcdob,PE,não,sim,sim,não,não,não,não,sim,sim,sim,não,sim,não,sim,não votou
141440,Chico Lopes,pcdob,CE,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
74060,Daniel Almeida,pcdob,BA,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
101309,Davidson Magalhães,pcdob,BA,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
74848,Jandira Feghali,pcdob,RJ,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
178965,João Derly,pcdob,RS,não votou,sim,sim,não,não,não,não,sim,sim,não,não,não,não,não,sim
141503,Jô Moraes,pcdob,MG,não,não votou,sim,não,não,não,não,sim,sim,sim,não,não,não,não,não votou
160628,Luciana Santos,pcdob,PE,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
178987,Orlando Silva,pcdob,SP,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
178887,Rubens Pereira Júnior,pcdob,MA,não,não votou,sim,não,não,não,não,sim,sim,sim,não,não,não,não,não votou
137853,Wadson Ribeiro,pcdob,MG,não,sim,sim,não,não,não,não,sim,sim,sim,não,não,não,não,sim
178957,Abel Mesquita Jr.,pdt,RR,sim,sim,não,sim,sim,não,sim,não,sim,não,sim,sim,sim,não,sim
178835,Afonso Motta,pdt,RS,sim,sim,não,não,não,não,não,não,sim,não,sim,sim,sim,não,sim
133439,André Figueiredo,pdt,CE,não votou,sim,não,não,não,não,não,não,sim,não,não votou,sim,não votou,não votou,sim
141411,Dagoberto,pdt,MS,sim,sim,não,não,não,não,não,não,sim,não,sim,sim,sim,não,sim
74467,Damião Feliciano,pdt,PB,não votou,sim,não,não,não,não,não,não,sim,não,não votou,não,não,não votou,sim
185500,Deoclides Macedo,pdt,MA,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou
160666,Félix Mendonça Júnior,pdt,BA,sim,sim,não,não,não,não,não,não,sim,não,sim,sim,sim,não,sim
160598,Flávia Morais,pdt,GO,não votou,sim,não,não,não,não,não,não,sim,não,não votou,sim,sim,não votou,sim
160673,Giovani Cherini,pdt,RS,sim,sim,não,não votou,não,não,não,não,sim,não,sim,sim,sim,não,sim
178826,Major Olimpio,pdt,SP,sim,abstenção,não,não,não,sim,sim,não votou,sim,não,sim,sim,não,não,sim
76287,Marcelo Matos,pdt,RJ,sim,sim,não,não,não,abstenção,sim,não,sim,não,sim,não,não,não,sim
167722,Marcos Rogério,pdt,RO,não,abstenção,abstenção,não,não,sim,sim,não,sim,não,sim,não,sim,sim,sim
74158,Mário Heringer,pdt,MG,sim,sim,não votou,não votou,não votou,não,não,não,não votou,não,sim,sim,sim,não,sim
73486,Pompeo de Mattos,pdt,RS,não,sim,não,não,não,não,não,não,sim,não,sim,não votou,sim,não,sim
178995,Roberto Góes,pdt,AP,sim,sim,não,sim,não,não,não,não,não,não,sim,sim,não,não,sim
178845,Ronaldo Lessa,pdt,AL,sim,sim,não,não votou,não votou,não,não,não,não votou,não,sim,não votou,não,sim,sim
178874,Sergio Vidigal,pdt,ES,abstenção,sim,não,não,não,não,não,não,sim,não,abstenção,sim,não,abstenção,sim
177282,Subtenente Gonzaga,pdt,MG,sim,sim,não,não,não,não,sim,não,sim,não,sim,não,não votou,não,sim
167493,Weverton Rocha,pdt,MA,sim,sim,não,não,não,não,não,não,sim,não,sim,sim,não,não,sim
74439,Wolney Queiroz,pdt,PE,sim,não votou,não,não,não,não,não,não,sim,não,não,não,não,não,sim
178882,André Fufuca,pen,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178885,Junior Marreca,pen,MA,sim,não votou,sim,sim,sim,sim,sim,não,não votou,não votou,sim,sim,não votou,sim,não votou
178864,Adail Carneiro,phs,CE,não,não,sim,sim,sim,não,não,sim,sim,não,sim,sim,sim,não,sim
178958,Carlos Andrade,phs,RR,não,não,sim,sim,sim,sim,sim,sim,não votou,não,sim,sim,sim,não,não votou
178929,Diego Garcia,phs,PR,não,não,sim,sim,não,não,não,sim,sim,não,sim,não,sim,não,sim
178918,Kaio Maniçoba,phs,PE,não,não,sim,sim,sim,não,sim,não votou,sim,não,sim,sim,sim,não,sim
146788,Marcelo Aro,phs,MG,não,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou,não,sim
160582,Alberto Filho,pmdb,MA,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,não,sim
160559,Alceu Moreira,pmdb,RS,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
74212,Aníbal Gomes,pmdb,CE,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não votou,não votou,não votou,sim
178975,Baleia Rossi,pmdb,SP,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,sim,sim
105112,Cabuçu Borges,pmdb,AP,sim,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não votou
141401,Carlos Bezerra,pmdb,MT,sim,sim,não,sim,sim,não,não,sim,sim,sim,sim,não votou,sim,não,sim
178993,Carlos Henrique Gaguim,pmdb,TO,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
178900,Carlos Marun,pmdb,MS,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
73568,Celso Jacob,pmdb,RJ,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim
141405,Celso Maldaner,pmdb,SC,sim,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim
72912,Celso Pansera,pmdb,RJ,sim,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não votou,sim,não votou
144523,Daniel Vilela,pmdb,GO,sim,não,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
62881,Danilo Forte,pmdb,CE,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
73891,Darcísio Perondi,pmdb,RS,não,sim,não,sim,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim
178994,Dulce Miranda,pmdb,TO,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim
73793,Edinho Bez,pmdb,SC,não votou,não,sim,sim,abstenção,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim
141417,Edio Lopes,pmdb,RR,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
74173,Eduardo Cunha,pmdb,RJ,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17,art. 17
74075,Elcione Barbalho,pmdb,PA,não votou,sim,sim,não,não,não,não,sim,sim,sim,não votou,sim,não votou,não votou,não votou
171623,Fabio Reis,pmdb,SE,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim
163831,Fernando Jordão,pmdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
141434,Flaviano Melo,pmdb,AC,não,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,não votou
74374,Geraldo Resende,pmdb,MS,sim,sim,não,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim
73772,Hermes Parcianello,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,sim,sim,sim
178884,Hildo Rocha,pmdb,MA,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,sim,sim,não
160674,Hugo Motta,pmdb,PB,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,não votou
131943,Jarbas Vasconcelos,pmdb,PE,não,não,não,sim,sim,não,não,não,sim,não,sim,sim,sim,sim,sim
178839,Jéssica Sales,pmdb,AC,sim,não votou,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,não votou,sim,não,não votou
160573,João Arruda,pmdb,PR,não,não,sim,sim,não,não,não,não votou,sim,não,sim,não,sim,sim,sim
112437,João Marcelo Souza,pmdb,MA,não votou,não votou,sim,sim,sim,não,não,sim,sim,sim,não votou,sim,sim,não votou,não votou
131966,José Fogaça,pmdb,RS,não,não votou,não,não,não,não,não,não,sim,não,não,sim,não,não,sim
74079,José Priante,pmdb,PA,não,sim,sim,não votou,não votou,não votou,não votou,sim,não votou,sim,sim,não votou,não votou,não,não votou
114941,Josi Nunes,pmdb,TO,sim,sim,sim,sim,sim,não,não,sim,sim,não,sim,sim,sim,não,sim
178894,Laudivio Carvalho,pmdb,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim
141562,Lelo Coimbra,pmdb,ES,sim,sim,não,sim,não,não,não,sim,sim,não,sim,sim,não votou,sim,sim
74254,Leonardo Picciani,pmdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou
141482,Leonardo Quintão,pmdb,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim
141483,Lindomar Garçon,pmdb,RO,sim,não votou,sim,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,não votou
178954,Lucio Mosquini,pmdb,RO,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim
94931,Lucio Vieira Lima,pmdb,BA,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,não votou
141490,Manoel Junior,pmdb,PB,não votou,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
74460,Marcelo Castro,pmdb,PI,sim,não votou,não,não,não,sim,abstenção,sim,sim,sim,sim,sim,sim,não,não votou
178850,Marcos Rotta,pmdb,AM,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim
74177,Marinha Raupp,pmdb,RO,sim,sim,não,sim,não,não,não,sim,sim,não votou,sim,não,não votou,não,sim
181315,Marquinho Mendes,pmdb,RJ,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
178843,Marx Beltrão,pmdb,AL,sim,não votou,sim,sim,sim,sim,sim,não,não,sim,sim,sim,sim,sim,sim
74749,Mauro Lopes,pmdb,MG,não votou,não,sim,sim,sim,sim,não votou,sim,sim,sim,não votou,sim,sim,não votou,sim
141507,Mauro Mariani,pmdb,SC,não,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
124411,Mauro Pereira,pmdb,RS,sim,sim,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
178896,Newton Cardoso Jr,pmdb,MG,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,sim,sim,não,não
73463,Osmar Serraglio,pmdb,PR,sim,não votou,sim,sim,sim,sim,sim,não votou,sim,não votou,sim,sim,sim,não votou,não votou
73692,Osmar Terra,pmdb,RS,sim,sim,não votou,não votou,não votou,não,não,sim,não votou,sim,não votou,não,não votou,não,sim
74812,Pedro Chaves,pmdb,GO,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178897,Rodrigo Pacheco,pmdb,MG,não votou,não,sim,sim,não,não votou,não votou,sim,sim,sim,não votou,sim,sim,não votou,sim
160651,Rogério Peninha Mendonça,pmdb,SC,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160515,Ronaldo Benedet,pmdb,SC,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
178870,Roney Nemer,pmdb,DF,sim,sim,sim,sim,não,sim,sim,não votou,não,sim,sim,sim,sim,sim,sim
74762,Saraiva Felipe,pmdb,MG,sim,sim,não votou,sim,não votou,não,não,sim,sim,sim,sim,sim,sim,não,sim
178933,Sergio Souza,pmdb,PR,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não votou
74765,Silas Brasileiro,pmdb,MG,sim,não,não votou,não votou,não votou,não votou,sim,não votou,não votou,não votou,sim,sim,sim,sim,sim
178911,Simone Morgado,pmdb,PA,sim,sim,não,não,não,não,não,sim,sim,sim,sim,não votou,sim,não,sim
178946,Soraya Santos,pmdb,RJ,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim
74010,Valdir Colatto,pmdb,SC,não,sim,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim
178913,Veneziano Vital do Rêgo,pmdb,PB,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim
178869,Vitor Valim,pmdb,CE,sim,sim,sim,sim,não,sim,sim,não,sim,não,sim,não,não votou,sim,sim
178952,Walter Alves,pmdb,RN,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim
160620,Washington Reis,pmdb,RJ,não votou,sim,sim,não votou,sim,não,não,sim,não votou,sim,não votou,sim,sim,não votou,sim
178950,Antônio Jácome,pmn,RN,sim,não votou,não,sim,não,sim,sim,não,sim,não,não,não votou,sim,sim,sim
178892,Dâmina Pereira,pmn,MG,sim,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,não votou
178959,Hiran Gonçalves,pmn,RR,não,sim,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,não,não
136811,Afonso Hamm,pp,RS,sim,não,não,não,não,sim,sim,não,sim,não,sim,sim,sim,não,sim
160527,Aguinaldo Ribeiro,pp,PB,sim,não,sim,sim,sim,não votou,não votou,sim,sim,sim,sim,sim,sim,não,sim
160541,Arthur Lira,pp,AL,não votou,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não votou,não votou
178948,Beto Rosado,pp,RN,sim,não,não,sim,sim,sim,sim,não votou,sim,não,sim,sim,sim,não,sim
93083,Cacá Leão,pp,BA,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
178848,Conceição Sampaio,pp,AM,sim,sim,sim,sim,não,não,não,não,sim,não,sim,sim,sim,sim,sim
178963,Covatti Filho,pp,RS,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,não,sim
73768,Dilceu Sperafico,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim
160599,Dimas Fabiano,pp,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim
