id_dep,nome,partido,uf,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
73579,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,não,sim
160545,Alexandre Leite,dem,SP,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,não votou,sim,sim
74651,Carlos Melles,dem,MG,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim,não,sim,sim,sim,não votou,sim,sim
74537,Claudio Cajado,dem,BA,não votou,não votou,não votou,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não votou,não votou,sim,sim,não votou,sim,não votou
141422,Efraim Filho,dem,PB,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,não,não,não,sim,não votou,sim,sim,sim,sim
160532,Eli Corrêa Filho,dem,SP,não votou,não votou,sim,não votou,sim,não votou,sim,sim,sim,não,sim,não,não,sim,sim,sim,não votou,sim,sim
178854,Elmar Nascimento,dem,BA,sim,sim,não,sim,sim,sim,sim,sim,sim,não votou,sim,sim,não,sim,não,sim,sim,sim,sim
141429,Felipe Maia,dem,RN,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,não votou,sim,sim,sim,sim
178909,Hélio Leite,dem,PA,sim,não,não,não,sim,sim,sim,sim,sim,não,não,não,não,sim,sim,sim,sim,sim,não votou
73535,Jorge Tadeu Mudalen,dem,SP,sim,não,abstenção,sim,sim,não,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim
74553,José Carlos Aleluia,dem,BA,sim,não,não votou,não,sim,sim,não,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim
160633,Mandetta,dem,MS,sim,sim,sim,não,sim,não,sim,não,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim
160660,Marcelo Aguiar,dem,SP,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,sim,sim,sim,sim
74428,Mendonça Filho,dem,PE,sim,não,não votou,sim,sim,sim,sim,sim,sim,não,não,não,não,não votou,não votou,sim,sim,sim,sim
178895,Misael Varella,dem,MG,sim,sim,não,sim,sim,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim
74457,Moroni Torgan,dem,CE,sim,não,sim,sim,sim,não,sim,sim,sim,não,sim,não,não,não,não votou,sim,não,sim,sim
74399,Onyx Lorenzoni,dem,RS,não votou,não,não,não votou,não votou,não votou,não votou,sim,sim,não votou,não votou,não,não,sim,não votou,sim,não votou,sim,sim
180545,Osmar Bertoldi,dem,PR,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não,não votou,sim,não votou,sim,não votou,não votou,não votou
74095,Pauderney Avelino,dem,AM,não votou,não,abstenção,sim,sim,sim,não votou,sim,sim,não,sim,não,não,sim,não votou,sim,não votou,sim,sim
178860,Paulo Azi,dem,BA,sim,não,abstenção,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,sim,sim,sim
160639,Professora Dorinha Seabra Rezende,dem,TO,sim,sim,sim,não,sim,não,sim,não,não,não,sim,não,sim,não,sim,sim,não votou,sim,sim
74693,Rodrigo Maia,dem,RJ,sim,não,abstenção,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não votou,sim,sim,sim,sim
74057,Alice Portugal,pcdob,BA,não,não,sim,sim,não,não,não votou,não,não votou,não votou,sim,sim,não,não,sim,não,não,não,sim
