id_dep,nome,partido,uf,Cobrança.de.cursos.em.universidades.públicas,Coincidência.reeleição,Cota.para.mulheres.legislativo,Distritao,Financiamento.privado.para.partidos,Financiamento.privado.para.partidos.e.candidatos,Infaticídio.indígena,Maioridade.1,Maioridade.2,Pensão,Reeleição,Seguro.Desemprego,Tempo.Mandato,Terceirização,Terrorismo,Transgênico,Tributação.serviços.de.internet,Voto.Facultativo,Voto.impresso,Impeachment
4930,Silvio Costa,psc,PE,sim,não,não,não,sim,sim,não,não,não,sim,sim,sim,não,sim,sim,sim,sim,não,sim,não
4931,Izalci,psdb,DF,sim,não,não,não,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,não,sim,sim
62881,Danilo Forte,pmdb,CE,não votou,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,não,sim,não votou,não,sim,sim
64960,Maria Helena,psb,RR,não,sim,sim,não,sim,sim,sim,não,não,não,sim,não,sim,não,não votou,não,não votou,não,sim,sim
66828,Fausto Pinato,prb,SP,sim,não,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,sim,não votou,não,sim,sim
67138,Iracema Portella,pp,PI,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim
67312,Júlia Marinho,psc,PA,sim,sim,sim,não votou,sim,não votou,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,sim,sim,sim
69871,Bacelar,ptn,BA,sim,não,não,não,sim,não,sim,não,não,sim,sim,sim,não,não,sim,sim,sim,não,sim,não
72912,Celso Pansera,pmdb,RJ,não votou,sim,sim,sim,sim,sim,não votou,não,não,sim,não,sim,não,sim,sim,não votou,não votou,sim,não votou,não
73424,Simão Sessim,pp,RJ,sim,não votou,não votou,não votou,não votou,não votou,não votou,sim,sim,sim,não votou,sim,não votou,sim,não votou,sim,não votou,não votou,não votou,sim
73433,Arlindo Chinaglia,pt,SP,não,não,sim,não,não,não,não votou,não,não,sim,sim,sim,sim,não,sim,não,não votou,não,sim,não
73434,Arnaldo Faria de Sá,ptb,SP,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,não,sim,sim,sim,sim,sim,sim
73437,Beto Mansur,prb,SP,sim,não votou,não,não,sim,sim,sim,sim,sim,não votou,sim,sim,não votou,sim,sim,sim,sim,não votou,não votou,sim
73441,Celso Russomanno,prb,SP,sim,não,sim,não,sim,não,não votou,sim,sim,sim,sim,sim,não,não votou,sim,sim,não votou,não,sim,sim
73447,Edinho Araújo,pmdb,SP,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não votou,sim
73458,Alex Canziani,ptb,PR,sim,não,sim,não,sim,sim,não votou,não,não,sim,não,sim,não,sim,sim,sim,não votou,não votou,sim,sim
73463,Osmar Serraglio,pmdb,PR,sim,sim,não votou,sim,sim,sim,sim,sim,sim,não votou,sim,não votou,sim,sim,sim,sim,sim,não votou,não votou,sim
73466,Rubens Bueno,pps,PR,sim,não,sim,não,não,não,sim,não,não,não,sim,não,não,sim,sim,sim,não,sim,sim,sim
73481,Fernando Marroni,pt,RS,não votou,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,não votou
73482,Henrique Fontana,pt,RS,não votou,não,sim,não,não,não,não,não,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,não
73483,Luis Carlos Heinze,pp,RS,sim,não,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,não,sim,sim,não,sim,sim
73486,Pompeo de Mattos,pdt,RS,sim,não,sim,não,não,não,sim,não,não,não,sim,não,sim,não votou,sim,sim,não votou,não,sim,abstenção
73531,Ivan Valente,psol,SP,não,não,sim,não,obstrução,não,não,não,obstrução,não,sim,não,sim,não,não,não,não,não,sim,não
73535,Jorge Tadeu Mudalen,dem,SP,sim,não,abstenção,sim,sim,não,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim
73553,Nelson Marquezelli,ptb,SP,sim,sim,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,não,sim,sim,sim,não,não,sim,sim
73560,Silvio Torres,psdb,SP,sim,não votou,abstenção,não,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,não,sim,sim
73568,Celso Jacob,pmdb,RJ,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não votou,sim,não votou
73579,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,não,sim,sim
73584,Antonio Carlos Mendes Thame,psdb,SP,sim,não,sim,não,sim,sim,sim,não votou,não votou,não votou,sim,não,não,não votou,sim,não votou,sim,não,sim,não votou
73586,Júlio Delgado,psb,MG,não,sim,sim,não,não,sim,sim,não,abstenção,não,sim,não votou,sim,sim,sim,não,sim,não,sim,sim
73655,Augusto Carvalho,solidaried,DF,sim,sim,sim,sim,sim,não,não,não,não,não,sim,não,sim,sim,não,não,sim,sim,sim,sim
73666,Jovair Arantes,ptb,GO,sim,sim,abstenção,sim,sim,sim,sim,sim,sim,sim,não,sim,sim,sim,sim,sim,não votou,não,sim,sim
73674,Roberto Balestra,pp,GO,sim,não,sim,sim,sim,não votou,sim,sim,sim,não,sim,não votou,sim,sim,não,sim,sim,sim,sim,sim
73692,Osmar Terra,pmdb,RS,não votou,sim,sim,não votou,não votou,não votou,sim,não,não,sim,não votou,sim,não votou,não,sim,não votou,sim,não,sim,sim
73701,Benedita da Silva,pt,RJ,não,não,sim,não,não,não,não votou,não,não,sim,sim,sim,sim,não,sim,não,sim,não,sim,não
73714,José Reinaldo,psb,MA,sim,sim,não,sim,sim,sim,não votou,sim,sim,sim,sim,sim,sim,sim,sim,não votou,não,não,sim,sim
73720,Cesar Souza,psd,SC,sim,não,sim,sim,sim,sim,sim,sim,sim,não votou,sim,sim,sim,sim,não,sim,sim,sim,não votou,sim
73768,Dilceu Sperafico,pp,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,sim
73772,Hermes Parcianello,pmdb,PR,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,sim,não,não,sim,sim,sim,sim,sim
73778,Luiz Carlos Hauly,psdb,PR,não votou,não,sim,não,sim,sim,não votou,sim,sim,não,sim,não,não,sim,sim,sim,não votou,não,sim,sim
