partido,nome_votacao,orientacao_partido
pdt,Cobrança de cursos em universidades públicas,sim
pros,Cobrança de cursos em universidades públicas,sim
psb,Cobrança de cursos em universidades públicas,liberado
prb,Cobrança de cursos em universidades públicas,sim
pp,Cobrança de cursos em universidades públicas,sim
psd,Cobrança de cursos em universidades públicas,sim
psc,Cobrança de cursos em universidades públicas,sim
pmdb,Cobrança de cursos em universidades públicas,
psdb,Cobrança de cursos em universidades públicas,sim
pt,Cobrança de cursos em universidades públicas,liberado
dem,Cobrança de cursos em universidades públicas,sim
pcdob,Cobrança de cursos em universidades públicas,não
ptb,Cobrança de cursos em universidades públicas,sim
pr,Cobrança de cursos em universidades públicas,liberado
rede,Cobrança de cursos em universidades públicas,não
solidaried,Cobrança de cursos em universidades públicas,sim
ptn,Cobrança de cursos em universidades públicas,sim
pv,Cobrança de cursos em universidades públicas,sim
psdc,Cobrança de cursos em universidades públicas,sim
pps,Cobrança de cursos em universidades públicas,sim
pmn,Cobrança de cursos em universidades públicas,sim
phs,Cobrança de cursos em universidades públicas,sim
psol,Cobrança de cursos em universidades públicas,não
psl,Cobrança de cursos em universidades públicas,sim
prp,Cobrança de cursos em universidades públicas,sim
pen,Cobrança de cursos em universidades públicas,
ptc,Cobrança de cursos em universidades públicas,sim
ptdob,Cobrança de cursos em universidades públicas,sim
s.part.,Cobrança de cursos em universidades públicas,
prb,Transgênico,sim
pp,Transgênico,sim
psd,Transgênico,sim
psc,Transgênico,sim
pmdb,Transgênico,sim
psdb,Transgênico,sim
pt,Transgênico,não
dem,Transgênico,sim
pdt,Transgênico,liberado
pcdob,Transgênico,não
ptb,Transgênico,sim
pros,Transgênico,sim
pr,Transgênico,sim
solidaried,Transgênico,sim
ptn,Transgênico,sim
psb,Transgênico,não
pv,Transgênico,não
psdc,Transgênico,sim
pps,Transgênico,sim
pmn,Transgênico,sim
phs,Transgênico,sim
psol,Transgênico,não
psl,Transgênico,sim
prp,Transgênico,sim
prtb,Transgênico,sim
ptc,Transgênico,sim
ptdob,Transgênico,sim
pen,Transgênico,sim
psol,Terceirização total 2017,não
prb,Terceirização total 2017,sim
pp,Terceirização total 2017,sim
psd,Terceirização total 2017,sim
pen,Terceirização total 2017,
pt,Terceirização total 2017,não
dem,Terceirização total 2017,sim
pros,Terceirização total 2017,sim
pdt,Terceirização total 2017,não
pcdob,Terceirização total 2017,não
psdb,Terceirização total 2017,sim
ptn,Terceirização total 2017,sim
phs,Terceirização total 2017,sim
pmdb,Terceirização total 2017,sim
psc,Terceirização total 2017,sim
psb,Terceirização total 2017,sim
pr,Terceirização total 2017,sim
rede,Terceirização total 2017,não
ptb,Terceirização total 2017,sim
solidaried,Terceirização total 2017,liberado
pmb,Terceirização total 2017,
pv,Terceirização total 2017,sim
pps,Terceirização total 2017,liberado
ptdob,Terceirização total 2017,
psl,Terceirização total 2017,sim
prp,Terceirização total 2017,
psb,Infaticídio indígena,sim
prb,Infaticídio indígena,sim
pp,Infaticídio indígena,sim
psd,Infaticídio indígena,sim
psc,Infaticídio indígena,sim
pmdb,Infaticídio indígena,sim
psdb,Infaticídio indígena,sim
pt,Infaticídio indígena,não
dem,Infaticídio indígena,sim
pdt,Infaticídio indígena,sim
pcdob,Infaticídio indígena,não
ptb,Infaticídio indígena,sim
pros,Infaticídio indígena,sim
pr,Infaticídio indígena,sim
solidaried,Infaticídio indígena,sim
ptn,Infaticídio indígena,sim
pv,Infaticídio indígena,não
psdc,Infaticídio indígena,sim
pps,Infaticídio indígena,sim
pmn,Infaticídio indígena,sim
phs,Infaticídio indígena,sim
psol,Infaticídio indígena,não
prp,Infaticídio indígena,sim
prtb,Infaticídio indígena,sim
pen,Infaticídio indígena,sim
ptc,Infaticídio indígena,sim
ptdob,Infaticídio indígena,sim
psb,Terceirização,sim
pp,Terceirização,sim
psd,Terceirização,sim
psc,Terceirização,sim
pmdb,Terceirização,sim
pt,Terceirização,não
dem,Terceirização,sim
prb,Terceirização,liberado
pdt,Terceirização,sim
pcdob,Terceirização,não
psdb,Terceirização,sim
ptb,Terceirização,sim
pros,Terceirização,liberado
pr,Terceirização,sim
solidaried,Terceirização,sim
ptn,Terceirização,liberado
pv,Terceirização,sim
psdc,Terceirização,liberado
pps,Terceirização,sim
phs,Terceirização,sim
psol,Terceirização,não
psl,Terceirização,liberado
prp,Terceirização,liberado
pmn,Terceirização,liberado
pen,Terceirização,sim
ptc,Terceirização,liberado
ptdob,Terceirização,liberado
psb,Maioridade 1,não
prb,Maioridade 1,sim
pp,Maioridade 1,sim
psd,Maioridade 1,sim
psc,Maioridade 1,sim
pmdb,Maioridade 1,sim
psdb,Maioridade 1,sim
pt,Maioridade 1,não
dem,Maioridade 1,sim
pdt,Maioridade 1,não
pcdob,Maioridade 1,não
ptb,Maioridade 1,sim
pros,Maioridade 1,não
pr,Maioridade 1,sim
solidaried,Maioridade 1,sim
ptn,Maioridade 1,sim
pv,Maioridade 1,não
psdc,Maioridade 1,sim
pps,Maioridade 1,não
pmn,Maioridade 1,sim
phs,Maioridade 1,sim
psol,Maioridade 1,não
prp,Maioridade 1,sim
prtb,Maioridade 1,sim
pen,Maioridade 1,sim
