nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso
dem,1,-1,-1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
pcdob,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1
pdt,1,-1,1,0,0,0,1,0,0,0,1,0,1,1,1,-1,0,0,1
pen,-5,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
phs,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
pmdb,-5,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
pmn,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
pp,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
pps,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,-1,1,1
pr,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
prb,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
pros,1,1,-1,-1,1,-1,1,0,0,1,1,1,1,-1,1,1,-1,0,1
prp,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
prtb,-10,0,-1,0,1,0,1,1,1,1,1,1,0,-10,1,1,1,0,1
psb,-1,1,-1,0,-1,-1,1,0,0,0,1,0,1,1,-1,0,1,0,1
psc,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
psd,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,0,1
psdb,1,0,-1,-1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
psdc,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
psl,1,0,-1,0,1,0,-10,-10,-10,1,1,1,0,-1,1,1,1,0,1
psol,0,0,1,0,-3,0,0,0,-3,0,1,0,1,0,0,0,0,0,1
pt,-1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1
ptb,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1
ptc,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
ptdob,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
ptn,1,0,-1,0,1,0,1,1,1,1,1,1,0,-1,1,1,1,0,1
pv,1,-1,1,0,1,0,0,0,0,-1,1,-1,-1,1,1,0,1,1,1
rede,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
s.part.,-5,-5,-10,-10,-5,-10,-10,-5,-5,0,-5,0,-5,0,-5,0,-10,-5,-10
solidaried,1,1,-1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
