nome,Cobrança de cursos em universidades públicas,Coincidência reeleição,Cota para mulheres legislativo,Distritao,Financiamento privado para partidos,Financiamento privado para partidos e candidatos,Infaticídio indígena,Lei trabalhista,Maioridade 1,Maioridade 2,Pensão,Reeleição,Seguro Desemprego,Tempo Mandato,Terceirização,Terceirização total 2017,Terrorismo,Transgênico,Tributação serviços de internet,Voto Facultativo,Voto impresso,Impeachment,Prosseguimento da denúncia contra Temer
dem,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não,sim,sim,sim,sim,sim,sim,sim,sim,não
pcdob,não,não,sim,sim,não,não,não,não,não,não,sim,sim,sim,não,não,não,sim,não,não,não,sim,não,sim
pdt,sim,liberado,sim,não,não,não,sim,não,não,não,não,sim,não,sim,sim,não,sim,liberado,não,não,sim,não,sim
pen,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,não,não
phs,sim,liberado,liberado,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,liberado,sim
pmb,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,sim,sim
pmdb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não
pmn,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou
pp,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não
pps,sim,não,sim,não,não,não,sim,sim,não,não,não,sim,não,não,sim,liberado,sim,sim,liberado,sim,sim,sim,sim
pr,liberado,sim,sim,não,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,não,sim,não,não
prb,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,sim,não
pros,sim,sim,liberado,liberado,sim,liberado,sim,sim,não,não,sim,sim,sim,sim,liberado,sim,sim,sim,liberado,não,sim,liberado,não
prp,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não votou,não votou
prtb,não votou,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou
psb,liberado,sim,liberado,não,liberado,liberado,sim,não,não,não,não,sim,não,sim,sim,sim,liberado,não,sim,não,sim,sim,sim
psc,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não
psd,sim,liberado,sim,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,não,sim,sim,não
psdb,sim,não,liberado,liberado,sim,sim,sim,sim,sim,sim,não,sim,não,sim,sim,sim,sim,sim,sim,não,sim,sim,sim
psdc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou
psl,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,sim,não
psol,não,não,sim,não,obstrução,não,não,não,não,obstrução,não,sim,não,sim,não,não,não,não,não,não,sim,não,sim
pt,liberado,não,sim,não,não,não,não,não,não,não,sim,sim,sim,sim,não,não,sim,não,sim,não,sim,não,sim
ptb,sim,liberado,liberado,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,liberado,sim,sim,sim,sim,sim,liberado,sim,sim,não
ptc,sim,não,liberado,não,sim,não,sim,não votou,sim,sim,sim,sim,sim,não,liberado,não votou,sim,sim,sim,não,sim,não votou,não votou
ptdob,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não,não
ptn,sim,não,liberado,não,sim,não,sim,sim,sim,sim,sim,sim,sim,não,liberado,sim,sim,sim,sim,não,sim,não,não votou
pv,sim,liberado,sim,não,sim,não,não,sim,não,não,liberado,sim,liberado,liberado,sim,sim,sim,não,sim,sim,sim,sim,liberado
rede,não,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não votou,não votou,não,não votou,não votou,não votou,não votou,não votou,não,sim
solidaried,sim,sim,liberado,sim,sim,sim,sim,não,sim,sim,não,sim,não,sim,sim,liberado,sim,sim,sim,não,sim,sim,sim
