tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,partido,orientacao_partido,nome_votacao
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PpPtbPscPhs,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PmdbPen,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PT,liberado,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSDB,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PrbPtnPmnPrpPsdcPtcPslPtdoB,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PR,liberado,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSD,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSB,liberado,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,DEM,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PDT,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Solidaried,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PROS,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PCdoB,não,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PPS,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PV,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,PSOL,não,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,REDE,não,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Minoria,sim,Cobrança de cursos em universidades públicas
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,GOV.,liberado,Cobrança de cursos em universidades públicas
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PmdbPpPtbPscPhsPen,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PT,não,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSDB,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PrbPtnPmnPrpPsdcPrtbPtcPslPtdoB,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSD,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PR,sim,Transgênico
PL,4148,2008,2,Aprovada a Subemenda Substitutiva Global oferecida pelo Relator da Comissão de Desenvolvimento Econômico. Indústria e Comércio ao Projeto de Lei nº 4.148 de 2008. ressalvados os destaques. Sim: 320; não: 135; abstenção: 2; total: 457.,28/4/2015,20:41,SUBEMENDA SUBSTITUTIVA DA CDEIC,5513,PSB,não,Transgênico
