partido,nome_votacao,orientacao_partido
pp,Cobrança de cursos em universidades públicas,sim
ptb,Cobrança de cursos em universidades públicas,sim
psc,Cobrança de cursos em universidades públicas,sim
phs,Cobrança de cursos em universidades públicas,sim
pmdb,Cobrança de cursos em universidades públicas,sim
pen,Cobrança de cursos em universidades públicas,sim
pt,Cobrança de cursos em universidades públicas,liberado
psdb,Cobrança de cursos em universidades públicas,sim
prb,Cobrança de cursos em universidades públicas,sim
ptn,Cobrança de cursos em universidades públicas,sim
pmn,Cobrança de cursos em universidades públicas,sim
prp,Cobrança de cursos em universidades públicas,sim
psdc,Cobrança de cursos em universidades públicas,sim
ptc,Cobrança de cursos em universidades públicas,sim
psl,Cobrança de cursos em universidades públicas,sim
ptdob,Cobrança de cursos em universidades públicas,sim
pr,Cobrança de cursos em universidades públicas,liberado
psd,Cobrança de cursos em universidades públicas,sim
psb,Cobrança de cursos em universidades públicas,liberado
dem,Cobrança de cursos em universidades públicas,sim
pdt,Cobrança de cursos em universidades públicas,sim
solidaried,Cobrança de cursos em universidades públicas,sim
pros,Cobrança de cursos em universidades públicas,sim
pcdob,Cobrança de cursos em universidades públicas,não
pps,Cobrança de cursos em universidades públicas,sim
pv,Cobrança de cursos em universidades públicas,sim
psol,Cobrança de cursos em universidades públicas,não
rede,Cobrança de cursos em universidades públicas,não
pmdb,Transgênico,sim
pp,Transgênico,sim
ptb,Transgênico,sim
psc,Transgênico,sim
phs,Transgênico,sim
pen,Transgênico,sim
pt,Transgênico,não
psdb,Transgênico,sim
prb,Transgênico,sim
ptn,Transgênico,sim
pmn,Transgênico,sim
prp,Transgênico,sim
psdc,Transgênico,sim
prtb,Transgênico,sim
ptc,Transgênico,sim
psl,Transgênico,sim
ptdob,Transgênico,sim
psd,Transgênico,sim
pr,Transgênico,sim
psb,Transgênico,não
dem,Transgênico,sim
pdt,Transgênico,liberado
solidaried,Transgênico,sim
pcdob,Transgênico,não
pros,Transgênico,sim
pps,Transgênico,sim
pv,Transgênico,não
psol,Transgênico,não
pp,Terceirização total 2017,sim
ptn,Terceirização total 2017,sim
phs,Terceirização total 2017,sim
prp,Terceirização total 2017,sim
ptdob,Terceirização total 2017,sim
pmdb,Terceirização total 2017,sim
pt,Terceirização total 2017,não
psdb,Terceirização total 2017,sim
pr,Terceirização total 2017,sim
psd,Terceirização total 2017,sim
psb,Terceirização total 2017,sim
dem,Terceirização total 2017,sim
ptb,Terceirização total 2017,sim
pros,Terceirização total 2017,sim
psl,Terceirização total 2017,sim
prb,Terceirização total 2017,sim
pdt,Terceirização total 2017,não
solidaried,Terceirização total 2017,liberado
pcdob,Terceirização total 2017,não
psc,Terceirização total 2017,sim
pps,Terceirização total 2017,liberado
psol,Terceirização total 2017,não
pv,Terceirização total 2017,sim
rede,Terceirização total 2017,não
pen,Terceirização total 2017,sim
pmb,Terceirização total 2017,não
pmdb,Infaticídio indígena,sim
pp,Infaticídio indígena,sim
ptb,Infaticídio indígena,sim
psc,Infaticídio indígena,sim
phs,Infaticídio indígena,sim
pen,Infaticídio indígena,sim
pt,Infaticídio indígena,não
psdb,Infaticídio indígena,sim
prb,Infaticídio indígena,sim
ptn,Infaticídio indígena,sim
pmn,Infaticídio indígena,sim
prp,Infaticídio indígena,sim
psdc,Infaticídio indígena,sim
prtb,Infaticídio indígena,sim
ptc,Infaticídio indígena,sim
psl,Infaticídio indígena,sim
ptdob,Infaticídio indígena,sim
pr,Infaticídio indígena,sim
psd,Infaticídio indígena,sim
psb,Infaticídio indígena,sim
dem,Infaticídio indígena,sim
pdt,Infaticídio indígena,sim
solidaried,Infaticídio indígena,sim
pcdob,Infaticídio indígena,não
pros,Infaticídio indígena,sim
pps,Infaticídio indígena,sim
pv,Infaticídio indígena,não
psol,Infaticídio indígena,não
pmdb,Terceirização,sim
pp,Terceirização,sim
ptb,Terceirização,sim
psc,Terceirização,sim
phs,Terceirização,sim
pen,Terceirização,sim
pt,Terceirização,não
psdb,Terceirização,sim
prb,Terceirização,liberado
ptn,Terceirização,liberado
pmn,Terceirização,liberado
prp,Terceirização,liberado
psdc,Terceirização,liberado
prtb,Terceirização,liberado
ptc,Terceirização,liberado
psl,Terceirização,liberado
ptdob,Terceirização,liberado
psd,Terceirização,sim
