tipo,num_pro,ano,id_votacao,resumo,data,hora,objetivo,sessao,nome,id_dep,partido,uf,voto,orientacao_partido,orientacao_gov,cunha,nome_votacao,data_date
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Rosângela Curado,191684,pdt,MA,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Ariosto Holanda,74103,pdt,CE,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Flavio Nogueira,191923,pdt,PI,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Luiza Erundina,74784,psol,SP,não,liberado,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Roberto Alves,152610,prb,SP,não,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Lázaro Botelho,141480,pp,TO,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Sérgio Brito,73808,psd,BA,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Erivelton Santana,99654,pen,BA,não,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Osmar Serraglio,73463,pmdb,PR,sim,,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Bruno Araújo,141394,psdb,PE,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Cacá Leão,93083,pp,BA,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Dimas Fabiano,160599,pp,MG,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Chico D´Angelo,141439,pt,RJ,não,liberado,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Hélio Leite,178909,dem,PA,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Maria do Rosário,74398,pt,RS,não,liberado,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Odorico Monteiro,178868,pros,CE,sim,liberado,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Carlos Gomes,178962,prb,RS,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Wolney Queiroz,74439,pdt,PE,não,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,João Rodrigues,160571,psd,SC,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Rubens Pereira Júnior,178887,pcdob,MA,não,não,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Ricardo Tripoli,141472,psdb,SP,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Jozi  Araújo,178851,ptn,AP,sim,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Dr. Jorge Silva,160643,phs,ES,não,sim,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Rôney Nemer,178870,pp,DF,não,,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
PEC,395,2014,1,Aprovada. em primeiro turno. a Proposta de Emenda à Constituição nº 395 de 2014 na forma do Substitutivo adotado pela Comissão Especial. ressalvados os destaques. Sim: 318; não: 129; abstenções:4 ; total: 451.,21/10/2015,21:23,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,5704,Dulce Miranda,178994,pmdb,TO,sim,,liberado,sim,Cobrança de cursos em universidades públicas,2015-10-21
