id_dep,deputado,partido,uf,voto
178864,Adail Carneiro,phs,CE,sim
178914,Adalberto Cavalcanti,ptb,PE,não
178890,Adelmo Carneiro Leão,pt,MG,não
178968,Adelson Barreto,ptb,SE,sim
178903,Adilton Sachetti,psb,MT,sim
141372,Aelton Freitas,pr,MG,não
160508,Afonso Florence,pt,BA,não
136811,Afonso Hamm,pp,RS,sim
178835,Afonso Motta,pdt,RS,não
160527,Aguinaldo Ribeiro,pp,PB,sim
178836,Alan Rick,prb,AC,sim
160582,Alberto Filho,pmdb,MA,sim
73579,Alberto Fraga,dem,DF,sim
160559,Alceu Moreira,pmdb,RS,sim
160511,Alessandro Molon,rede,RJ,não
178875,Alexandre Baldy,psdb,GO,sim
160545,Alexandre Leite,dem,SP,sim
178833,Alexandre Serfiotis,psd,RJ,sim
178936,Alexandre Valle,prp,RJ,sim
73458,Alex Canziani,ptb,PR,sim
178972,Alex Manente,pps,SP,sim
141454,Alfredo Kaefer,psdb,PR,sim
178846,Alfredo Nascimento,pr,AM,sim
74057,Alice Portugal,pcdob,BA,não
178927,Aliel Machado,rede,PR,não
178937,Altineu Côrtes,pr,RJ,sim
178881,Aluisio Mendes,psdc,MA,não
178973,Ana Perugini,pt,SP,não
160551,Anderson Ferreira,pr,PE,sim
178831,André Abdon,prb,AP,sim
178882,André Fufuca,pen,MA,sim
160543,Andre Moura,psc,SE,sim
178974,Andres Sanchez,pt,SP,não
178837,Angelim,pt,AC,não
74212,Aníbal Gomes,pmdb,CE,não votou
160553,Antonio Brito,ptb,BA,não
141383,Antonio Bulhões,prb,SP,sim
160530,Antonio Imbassahy,psdb,BA,sim
178950,Antônio Jácome,pmn,RN,sim
74103,Ariosto Holanda,pros,CE,não
73433,Arlindo Chinaglia,pt,SP,não
73434,Arnaldo Faria de Sá,ptb,SP,sim
160602,Arnaldo Jordy,pps,PA,sim
74291,Arnon Bezerra,ptb,CE,não
160541,Arthur Lira,pp,AL,sim
160600,Arthur Oliveira Maia,solidaried,BA,sim
178847,Arthur Virgílio Bisneto,psdb,AM,sim
159237,Assis Carvalho,pt,PI,não
74378,Assis do Couto,pt,PR,não
74090,Átila Lins,psd,AM,sim
74459,Átila Lira,psb,PI,sim
73655,Augusto Carvalho,solidaried,DF,sim
160665,Augusto Coutinho,solidaried,PE,sim
160512,Aureo,solidaried,RJ,sim
69871,Bacelar,ptn,BA,não
178975,Baleia Rossi,pmdb,SP,sim
178834,Bebeto,psb,BA,não
73701,Benedita da Silva,pt,RJ,não
74535,Benito Gama,ptb,BA,sim
74040,Benjamin Maranhão,solidaried,PB,sim
178915,Betinho Gomes,psdb,PE,sim
141335,Beto Faro,pt,PA,não
73437,Beto Mansur,prb,SP,sim
178948,Beto Rosado,pp,RN,sim
178906,Beto Salame,pros,PA,abstenção
141513,Bilac Pinto,pr,MG,sim
160538,Bohn Gass,pt,RS,não
74650,Bonifácio de Andrada,psdb,MG,sim
160589,Bruna Furlan,psdb,SP,sim
178999,Brunny,ptc,MG,não
141394,Bruno Araújo,psdb,PE,sim
178976,Bruno Covas,psdb,SP,sim
178938,Cabo Daciolo,s.part.,RJ,sim
178865,Cabo Sabino,pr,CE,sim
93083,Cacá Leão,pp,BA,abstenção
178853,Caetano,pt,BA,não
178891,Caio Narcio,psdb,MG,sim
178829,Capitão Augusto,pr,SP,sim
178958,Carlos Andrade,phs,RR,sim
141401,Carlos Bezerra,pmdb,MT,sim
178962,Carlos Gomes,prb,RS,sim
178993,Carlos Henrique Gaguim,pmdb,TO,sim
74163,Carlos Manato,solidaried,ES,sim
178900,Carlos Marun,pmdb,MS,sim
74651,Carlos Melles,dem,MG,sim
74262,Carlos Sampaio,psdb,SP,sim
141398,Carlos Zarattini,pt,SP,não
164360,Carmen Zanotto,pps,SC,sim
178876,Célio Silveira,psdb,GO,sim
141405,Celso Maldaner,pmdb,SC,sim
72912,Celso Pansera,pmdb,RJ,não
73441,Celso Russomanno,prb,SP,sim
160576,César Halum,prb,TO,sim
178838,César Messias,psb,AC,não
73720,Cesar Souza,psd,SC,sim
74171,Chico Alencar,psol,RJ,não
141440,Chico Lopes,pcdob,CE,não
178928,Christiane de Souza Yared,ptn,PR,sim
178841,Cícero Almeida,pmdb,AL,sim
178939,Clarissa Garotinho,pr,RJ,não votou
74537,Claudio Cajado,dem,BA,sim
141408,Cleber Verde,prb,MA,sim
178963,Covatti Filho,pp,RS,sim
93472,Cristiane Brasil,ptb,RJ,sim
141411,Dagoberto,pdt,MS,não
74467,Damião Feliciano,pdt,PB,não
178892,Dâmina Pereira,pmn,MG,sim
74060,Daniel Almeida,pcdob,BA,não
178916,Daniel Coelho,psdb,PE,sim
144523,Daniel Vilela,pmdb,GO,sim
62881,Danilo Forte,pmdb,CE,sim
160552,Danrlei de Deus Hinterholz,psd,RS,sim
73891,Darcísio Perondi,pmdb,RS,sim
101309,Davidson Magalhães,pcdob,BA,não
141413,Décio Lima,pt,SC,não
178908,Delegado Éder Mauro,psd,PA,sim
178893,Delegado Edson Moreira,ptn,MG,sim
164359,Delegado Waldir,psdb,GO,sim
74172,Deley,ptb,RJ,sim
160588,Diego Andrade,psd,MG,sim
178929,Diego Garcia,phs,PR,sim
73768,Dilceu Sperafico,pp,PR,sim
160599,Dimas Fabiano,pp,MG,sim
143632,Domingos Neto,pros,CE,não
160758,Domingos Sávio,psdb,MG,sim
178994,Dulce Miranda,pmdb,TO,sim
73447,Edinho Araújo,pmdb,SP,sim
141417,Edio Lopes,pmdb,RR,não
134812,Edmilson Rodrigues,psol,PA,não
74655,Eduardo Barbosa,psdb,MG,sim
92346,Eduardo Bolsonaro,psc,SP,sim
74173,Eduardo Cunha,pmdb,RJ,sim
178977,Eduardo Cury,psdb,SP,sim
141421,Eduardo da Fonte,pp,PE,sim
141422,Efraim Filho,dem,PB,sim
74075,Elcione Barbalho,pmdb,PA,não
160532,Eli Corrêa Filho,dem,SP,sim
181316,Elizeu Dionizio,psdb,MS,sim
178883,Eliziane Gama,pps,MA,sim
178854,Elmar Nascimento,dem,BA,sim
132504,Enio Verri,pt,PR,não
160575,Erika Kokay,pt,DF,não
99654,Erivelton Santana,psc,BA,sim
160640,Eros Biondini,ptb,MG,sim
160649,Esperidião Amin,pp,SC,sim
178871,Evair de Melo,pv,ES,sim
178828,Evandro Gussi,pv,SP,sim
178930,Evandro Roman,psd,PR,sim
178953,Expedito Netto,solidaried,RO,sim
178941,Ezequiel Teixeira,solidaried,RJ,sim
141428,Fábio Faria,psd,RN,sim
178905,Fabio Garcia,psb,MT,sim
178969,Fábio Mitidieri,psd,SE,não
141427,Fábio Ramalho,pv,MG,sim
171623,Fabio Reis,pmdb,SE,sim
178877,Fábio Sousa,psdb,GO,sim
66828,Fausto Pinato,prb,SP,sim
141430,Felipe Bornier,psd,RJ,sim
141429,Felipe Maia,dem,RN,sim
141431,Fernando Coelho Filho,psb,PE,sim
160646,Fernando Francischini,solidaried,PR,sim
163831,Fernando Jordão,pmdb,RJ,sim
160676,Fernando Torres,psd,BA,não
160598,Flávia Morais,pdt,GO,sim
141434,Flaviano Melo,pmdb,AC,sim
178978,Flavinho,psb,SP,sim
178907,Francisco Chapadinha,psd,PA,sim
160677,Francisco Floriano,pr,RJ,sim
129037,Gabriel Guimarães,pt,MG,não
160669,Genecias Noronha,solidaried,CE,sim
178966,Geovania de Sá,psdb,SC,sim
74374,Geraldo Resende,pmdb,MS,sim
74383,Giacobo,pr,PR,sim
74270,Gilberto Nascimento,psc,SP,sim
160673,Giovani Cherini,pdt,RS,sim
178878,Giuseppe Vecci,psdb,GO,sim
74558,Givaldo Carimbão,pros,AL,não
178872,Givaldo Vieira,pt,ES,não
152605,Glauber Braga,psol,RJ,não
74419,Gonzaga Patriota,psb,PE,sim
129618,Gorete Pereira,pr,CE,abstenção
178980,Goulart,psd,SP,sim
160667,Guilherme Mussi,pp,SP,sim
178964,Heitor Schuch,psb,RS,sim
178873,Helder Salomão,pt,ES,não
178909,Hélio Leite,dem,PA,sim
73482,Henrique Fontana,pt,RS,não
97707,Heráclito Fortes,psb,PI,sim
178981,Herculano Passos,psd,SP,sim
73772,Hermes Parcianello,pmdb,PR,sim
160596,Heuler Cruvinel,psd,GO,sim
178884,Hildo Rocha,pmdb,MA,sim
178849,Hissa Abrahão,pps,AM,sim
141450,Hugo Leal,pros,RJ,sim
160674,Hugo Motta,pmdb,PB,sim
141389,Indio da Costa,psd,RJ,sim
67138,Iracema Portella,pp,PI,sim
81232,Irajá Abreu,psd,TO,não
178855,Irmão Lazaro,psc,BA,sim
73531,Ivan Valente,psol,SP,não
4931,Izalci,psdb,DF,sim
74665,Jaime Martins,psd,MG,sim
74847,Jair Bolsonaro,pp,RJ,sim
