nome,voto,id_dep
Abel Mesquita Jr.,não,178957
Carlos Andrade,não,178958
Edio Lopes,sim,141417
Hiran Gonçalves,sim,178959
Jhonatan de Jesus,sim,160531
Maria Helena,sim,64960
Remídio Monai,sim,178960
Shéridan,não,178961
Afonso Hamm,não,136811
Afonso Motta,não,178835
Alceu Moreira,sim,160559
Bohn Gass,não,160538
Cajar Nardes,sim,194261
Carlos Gomes,sim,178962
Covatti Filho,sim,178963
Danrlei de Deus Hinterholz,não,160552
Darcísio Perondi,sim,73891
Giovani Cherini,sim,160673
Heitor Schuch,não,178964
Henrique Fontana,não,73482
Jerônimo Goergen,não,160570
João Derly,não,178965
Jones Martins,sim,194262
José Fogaça,sim,131966
José Otávio Germano,sim,74395
Jose Stédile,não,160607
Luis Carlos Heinze,não,73483
Marco Maia,não,133373
Marcon,não,160535
Maria do Rosário,não,74398
Mauro Pereira,sim,124411
Onyx Lorenzoni,não,74399
Paulo Pimenta,não,74400
Pepe Vargas,não,141445
Pompeo de Mattos,não,73486
Renato Molling,sim,141527
Ronaldo Nogueira,sim,163321
Sérgio Moraes,sim,141542
Carmen Zanotto,não,164360
Celso Maldaner,sim,141405
Cesar Souza,sim,73720
Décio Lima,não,141413
Esperidião Amin,não,160649
Geovania de Sá,não,178966
João Paulo Kleinübing,não,178967
João Rodrigues,sim,160571
Jorge Boeira,não,74388
Jorginho Mello,não,160509
Mauro Mariani,não,141507
Pedro Uczai,não,160604
Rogério Peninha Mendonça,sim,160651
Ronaldo Benedet,sim,160515
Valdir Colatto,sim,74010
André Abdon,sim,178831
Cabuçu Borges,sim,105112
Janete Capiberibe,não,73926
Jozi  Araújo,sim,178851
Marcos Reategui,sim,178852
Professora Marcivania,não,160641
Arnaldo Jordy,não,160602
Beto Faro,não,141335
Beto Salame,sim,178906
Delegado Éder Mauro,não,178908
Elcione Barbalho,sim,74075
Francisco Chapadinha,sim,178907
Hélio Leite,sim,178909
Joaquim Passarinho,não,178910
José Priante,sim,74079
Josué Bengtson,sim,74351
Júlia Marinho,sim,67312
Lúcio Vale,sim,141484
Nilson Pinto,sim,74352
Simone Morgado,sim,178911
Wladimir Costa,sim,73930
Zé Geraldo,não,73931
Alex Canziani,sim,73458
Alfredo Kaefer,sim,141454
Aliel Machado,não,178927
Assis do Couto,não,74378
Christiane de Souza Yared,não,178928
Delegado Francischini,não,160646
Diego Garcia,não,178929
Dilceu Sperafico,sim,73768
Edmar Arruda,sim,160578
Enio Verri,não,132504
Evandro Roman,sim,178930
Giacobo,sim,74383
Hermes Parcianello,sim,73772
João Arruda,sim,160573
Leandre,não,178832
Leopoldo Meyer,não,160663
Luciano Ducci,não,178931
Luiz Carlos Hauly,sim,73778
Luiz Nishimori,sim,162332
Nelson Meurer,sim,73781
Nelson Padovani,sim,160566
Osmar Bertoldi,sim,180545
Osmar Serraglio,sim,73463
Reinhold Stephanes,sim,73786
Rubens Bueno,não,73466
Sandro Alex,não,160621
Sergio Souza,sim,178933
Takayama,sim,74385
Toninho Wandscheer,sim,178934
Zeca Dirceu,não,160592
Carlos Marun,sim,178900
Dagoberto Nogueira,não,141411
Elizeu Dionizio,sim,181316
Geraldo Resende,sim,74374
Mandetta,não,160633
Tereza Cristina,sim,178901
Vander Loubet,não,74376
Zeca do Pt,não,178902
Alfredo Nascimento,sim,178846
Átila Lins,sim,74090
Conceição Sampaio,não,178848
Pauderney Avelino,sim,74095
Silas Câmara,sim,74356
Expedito Netto,não,178953
Lindomar Garçon,sim,141483
Lucio Mosquini,sim,178954
Luiz Cláudio,sim,178955
Marcos Rogério,não,167722
Mariana Carvalho,não,178956
Marinha Raupp,sim,74177
Nilton Capixaba,sim,74359
Alexandre Baldy,sim,178875
Célio Silveira,sim,178876
Daniel Vilela,sim,144523
Delegado Waldir,não,164359
Fábio Sousa,não,178877
Flávia Morais,não,160598
Giuseppe Vecci,sim,178878
Heuler Cruvinel,não,160596
João Campos,não,74366
Jovair Arantes,sim,73666
Lucas Vergilio,sim,178879
Magda Mofatto,sim,166402
Marcos Abrão,não,178880
Pedro Chaves,sim,74812
Roberto Balestra,sim,73674
Rubens Otoni,não,74371
Thiago Peixoto,sim,160617
Alberto Fraga,sim,73579
Augusto Carvalho,não,73655
Erika Kokay,não,160575
Izalci Lucas,sim,4931
Laerte Bessa,sim,141478
Rogério Rosso,sim,160426
Ronaldo Fonseca,sim,160637
Rôney Nemer,sim,178870
Alan Rick,não,178836
Angelim,não,178837
César Messias,não,178838
Flaviano Melo,sim,141434
Jéssica Sales,sim,178839
Leo de Brito,não,178825
Moisés Diniz,não,195278
Rocha,não,178840
Carlos Henrique Gaguim,sim,178993
César Halum,sim,160576
Dulce Miranda,sim,178994
Irajá Abreu,não,81232
Lázaro Botelho,sim,141480
Professora Dorinha Seabra Rezende,sim,160639
Vicentinho Júnior,sim,137070
Adilton Sachetti,sim,178903
Carlos Bezerra,sim,141401
Ezequiel Fonseca,sim,178904
Fabio Garcia,sim,178905
Nilson Leitão,sim,166401
Professor Victório Galli,sim,148134
Rogerio Silva,sim,198963
Ságuas Moraes,não,160630
Alex Manente,não,178972
Alexandre Leite,abstenção,160545
Ana Perugini,não,178973
Andres Sanchez,não,178974
Antonio Bulhões,sim,141383
Antonio Carlos Mendes Thame,não,73584
Arlindo Chinaglia,não,73433
Arnaldo Faria de Sá,não,73434
Baleia Rossi,sim,178975
Beto Mansur,sim,73437
Bruna Furlan,sim,160589
Capitão Augusto,não,178829
Carlos Sampaio,não,74262
Carlos Zarattini,não,141398
Celso Russomanno,sim,73441
Dr. Sinval Malheiros,sim,178830
Eduardo Bolsonaro,não,92346
Eduardo Cury,não,178977
Eli Corrêa Filho,sim,160532
Evandro Gussi,sim,178828
Fausto Pinato,sim,66828
Flavinho,não,178978
Gilberto Nascimento,sim,74270
Goulart,sim,178980
Guilherme Mussi,sim,160667
Herculano Passos,sim,178981
Ivan Valente,não,73531
Izaque Silva,não,196378
Jefferson Campos,não,74273
João Paulo Papa,não,178988
Jorge Tadeu Mudalen,sim,73535
José Mentor,não,74275
Keiko Ota,não,160659
Lobbe Neto,não,74277
Luiz Lauro Filho,não,178982
Luiza Erundina,não,74784
Major Olimpio,não,178826
Marcelo Aguiar,sim,160660
Marcelo Squassoni,sim,118594
Marcio Alvino,sim,178983
Miguel Haddad,não,178984
Miguel Lombardi,sim,178985
Milton Monti,sim,74787
Missionário José Olimpio,sim,160561
Nelson Marquezelli,sim,73553
Nilto Tatto,não,178986
Orlando Silva,não,178987
Paulo Maluf,sim,132056
Paulo Pereira da Silva,sim,141518
Paulo Teixeira,não,141488
Pollyana Gama,não,195997
Pr. Marco Feliciano,sim,160601
Renata Abreu,não,178989
Ricardo Izar,sim,160655
Ricardo Tripoli,não,141472
Roberto Alves,sim,152610
Roberto de Lucena,sim,160653
Roberto Freire,não,73805
Sérgio Reis,não,178991
Silvio Torres,não,73560
Tiririca,não,160976
