id_dep,nome,voto
178845,Ronaldo Lessa,sim
171617,Paulao,sim
178842,JHC,sim
74558,Givaldo Carimbao,sim
141384,Valadares Filho,sim
151208,Laercio Oliveira,sim
178971,Jony Marcos,sim
178970,Joao Daniel,sim
178969,Fabio Mitidieri,sim
178968,Adelson Barreto,sim
74439,Wolney Queiroz,sim
178922,Tadeu Alencar,sim
4930,Silvio Costa,sim
160642,Pastor Eurico,sim
160628,Luciana Santos,sim
131943,Jarbas Vasconcelos,sim
74419,Gonzaga Patriota,sim
160528,Danilo Cabral,sim
178916,Daniel Coelho,sim
178915,Betinho Gomes,sim
74471,Andre de Paula,sim
74043,Wellington Roberto,sim
178913,Veneziano Vital do Rego,sim
178912,Pedro Cunha Lima,sim
74041,Luiz Couto,sim
74467,Damiao Feliciano,sim
160569,Waldenor Pereira,sim
160610,Valmir Assuncao,sim
178863,Uldurico Junior,sim
73808,Sergio Brito,sim
74574,Paulo Magalhaes,sim
74571,Nelson Pellegrino,sim
74570,Jutahy Junior,sim
74141,Josias Gomes,sim
160619,Jose Nunes,sim
178857,Jorge Solla,sim
178856,Joao Gualberto,sim
178855,Irmao Lazaro,sim
160676,Fernando Torres,sim
160666,Felix Mendonca Junior,sim
74060,Daniel Almeida,sim
178853,Caetano,sim
178834,Bebeto,sim
69871,Bacelar,sim
160553,Antonio Brito,sim
74057,Alice Portugal,sim
160508,Afonso Florence,sim
160518,Weliton Prado,sim
177282,Subtenente Gonzaga,sim
92776,Stefano Aguiar,sim
74161,Reginaldo Lopes,sim
74160,Patrus Ananias,sim
160556,Padre Joao,sim
171619,Margarida Salomao,sim
179000,Marcelo Alvaro Antonio,sim
198198,Luzia Ferreira,sim
74585,Lincoln Portela,sim
74156,Leonardo Monteiro,sim
178894,Laudivio Carvalho,sim
73586,Julio Delgado,sim
141503,Jo Moraes,sim
141441,George Hilton,sim
129037,Gabriel Guimaraes,sim
160640,Eros Biondini,sim
178890,Adelmo Carneiro Leao,sim
178949,Zenaide Maia,sim
178951,Rafael Motta,sim
178950,Antonio Jacome,sim
187008,Silas Freire,sim
178926,Rodrigo Martins,sim
159237,Assis Carvalho,sim
178874,Sergio Vidigal,sim
160517,Paulo Foletto,sim
66179,Norma Ayub,sim
178873,Helder Salomao,sim
178872,Givaldo Vieira,sim
178871,Evair Vieira de Melo,sim
160643,Dr. Jorge Silva,sim
74163,Carlos Manato,sim
189593,Wadih Damous,sim
178947,Sostenes Cavalcante,sim
160612,Sergio Zveiter,sim
141515,Otavio Leite,sim
74862,Miro Teixeira,sim
76287,Marcelo Matos,sim
74688,Luiz Sergio,sim
178802,Luiz Carlos Ramos,sim
74856,Laura Carneiro,sim
160672,Jean Wyllys,sim
74848,Jandira Feghali,sim
74847,Jair Bolsonaro,sim
141450,Hugo Leal,sim
152605,Glauber Braga,sim
141430,Felipe Bornier,sim
74172,Deley,sim
141439,Chico D'Angelo,sim
74171,Chico Alencar,sim
72912,Celso Pansera,sim
178938,Cabo Daciolo,sim
73701,Benedita da Silva,sim
74833,Arolde de Oliveira,sim
160511,Alessandro Molon,sim
178869,Vitor Valim,sim
122466,Ronaldo Martins,sim
178868,Odorico Monteiro,sim
178866,Luizianne Lins,sim
74299,Leonidas Cristino,sim
141470,Jose Guimaraes,sim
141464,Jose Airton Cirilo,sim
141440,Chico Lopes,sim
178865,Cabo Sabino,sim
74103,Ariosto Holanda,sim
133439,Andre Figueiredo,sim
178889,Ze Carlos,sim
167493,Weverton Rocha,sim
141558,Waldir Maranhao,sim
178887,Rubens Pereira Junior,sim
81366,Luana Costa,sim
178883,Eliziane Gama,sim
185500,Deoclides Macedo,sim
178992,Vitor Lippi,sim
74283,Vicentinho,sim
160622,Vicente Candido,sim
141553,Vanderlei Macris,sim
113247,Valmir Prascidelli,sim
160976,Tiririca,sim
73560,Silvio Torres,sim
178991,Sergio Reis,sim
73805,Roberto Freire,sim
141472,Ricardo Tripoli,sim
178989,Renata Abreu,sim
195997,Pollyana Gama,sim
141488,Paulo Teixeira,sim
178984,Miguel Haddad,sim
178826,Major Olimpio,sim
74784,Luiza Erundina,sim
